GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA01AWAY01,bat,Holcombe flied out to rf (2-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA01AWAY02,bat,Auerbach grounded out to ss (2-0).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA01AWAY03,bat,McCullough grounded out to 2b (1-0).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA02HOME01,bat,Mangum flied out to lf (2-1).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA02HOME02,bat,Westburg struck out swinging (0-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA02HOME03,bat,Allen singled to left center (2-1).,2,NA,NA,NA,A,A2,2,Allen,NA,NA,B,B2,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA02HOME04,bat,MacNamee grounded out to 2b (1-2).,2,Allen,NA,NA,B,B2,3,Allen,NA,NA,B,B3,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA03AWAY01,bat,Gentry hit by pitch (0-0).,0,NA,NA,NA,A,A0,0,Gentry,NA,NA,B,B0,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA03AWAY02,bat,Williamson grounded into double play p to ss to 1b (1-0);,0,Gentry,NA,NA,B,B0,1,Gentry,NA,NA,B,B1,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA03AWAY02,br,Gentry out on the play.,0,Gentry,NA,NA,B,B0,2,NA,NA,NA,A,A2,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA03AWAY03,batbr,Reeves doubled out at third rf to ss to 3b (1-1).,2,NA,NA,NA,A,A2,2,NA,Reeves,NA,C,C2,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA03AWAY03,batbr,Reeves doubled out at third rf to ss to 3b (1-1).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA04HOME01,bat,Foscue flied out to lf (3-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA04HOME02,bat,Jordan  R. struck out swinging (3-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA04HOME03,bat,Skelton struck out swinging (0-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA05AWAY01,bat,Breaux grounded out to ss (3-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA05AWAY02,bat,Robinson singled to right field (2-2).,1,NA,NA,NA,A,A1,1,Robinson,NA,NA,B,B1,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA05AWAY03,bat,Trousdale singled to center field (1-1);,1,Robinson,NA,NA,B,B1,1,Trousdale,NA,NA,B,B1,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA05AWAY03,br,Robinson advanced to second.,1,Robinson,NA,NA,B,B1,1,Trousdale,Robinson,NA,E,E1,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA05AWAY04,bat,Holcombe struck out swinging (1-2).,1,Trousdale,Robinson,NA,E,E1,2,Trousdale,Robinson,NA,E,E2,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA05AWAY05,bat,Auerbach grounded out to 3b (1-2).,2,Trousdale,Robinson,NA,E,E2,3,Trousdale,Robinson,NA,E,E3,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA06HOME01,bat,Cumbest popped up to 1b (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA06HOME02,bat,Gilbert struck out swinging (2-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA06HOME03,bat,Mangum flied out to cf (0-1).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA07AWAY01,bat,McCullough walked (3-1).,0,NA,NA,NA,A,A0,0,Mccullough,NA,NA,B,B0,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA07AWAY02,bat,Gentry flied out to cf (1-1).,0,Mccullough,NA,NA,B,B0,1,Mccullough,NA,NA,B,B1,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA07AWAY03,br,McCullough out at second c to ss caught stealing.,1,Mccullough,NA,NA,B,B1,2,NA,NA,NA,A,A2,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA07AWAY04,bat,Williamson flied out to cf (2-0).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA08HOME01,bat,Westburg singled to second base (1-2).,0,NA,NA,NA,A,A0,0,Westburg,NA,NA,B,B0,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA08HOME02,bat,Allen walked (3-1);,0,Westburg,NA,NA,B,B0,0,Allen,NA,NA,B,B0,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA08HOME02,br,Westburg advanced to second.,0,Westburg,NA,NA,B,B0,0,Allen,Westburg,NA,E,E0,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA08HOME03,br,Allen advanced to second on a wild pitch;,0,Allen,Westburg,NA,E,E0,0,NA,Allen,NA,C,C0,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA08HOME03,br,Westburg advanced to third on a wild pitch.,0,Allen,Westburg,NA,E,E0,0,NA,Allen,Westburg,G,G0,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA08HOME04,bat,MacNamee walked (3-2).,0,NA,Allen,Westburg,G,G0,0,Macnamee,Allen,Westburg,H,H0,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA08HOME05,bat,Foscue infield fly to 2b (1-2).,0,Macnamee,Allen,Westburg,H,H0,0,Macnamee,Allen,Westburg,H,H0,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA08HOME06,bat,Jordan  R. singled to left field  2 RBI (3-2);,0,Macnamee,Allen,Westburg,H,H0,0,Jordan,Allen,Westburg,H,H0,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA08HOME06,br,MacNamee advanced to second;,0,Macnamee,Allen,Westburg,H,H0,0,Jordan,Macnamee,Westburg,H,H0,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA08HOME06,br,Allen scored;,0,Macnamee,Allen,Westburg,H,H0,0,Jordan,Macnamee,Westburg,H,H0,1
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA08HOME06,br,Westburg scored.,0,Macnamee,Allen,Westburg,H,H0,0,Jordan,Macnamee,NA,E,E0,1
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA08HOME07,bat,Skelton flied out to cf (0-0).,0,Jordan,Macnamee,NA,E,E0,1,Jordan,Macnamee,NA,E,E1,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA08HOME08,bat,Cumbest grounded out to 2b (1-1).,1,Jordan,Macnamee,NA,E,E1,2,Jordan,Macnamee,NA,E,E2,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA09AWAY01,bat,Reeves struck out swinging (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA09AWAY02,bat,Breaux walked (3-2).,1,NA,NA,NA,A,A1,1,Breaux,NA,NA,B,B1,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA09AWAY03,bat,Robinson singled to pitcher (1-1);,1,Breaux,NA,NA,B,B1,1,Robinson,NA,NA,B,B1,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA09AWAY03,br,Breaux advanced to second advanced to third on a throwing error by p.,1,Breaux,NA,NA,B,B1,1,Robinson,Breaux,NA,E,E1,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA09AWAY04,bat,Trousdale flied out to cf (0-0).,1,Robinson,Breaux,NA,E,E1,2,Robinson,Breaux,NA,E,E2,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA09AWAY05,bat,Holcombe grounded out to p  bunt (1-1).,2,Robinson,Breaux,NA,E,E2,3,Robinson,Breaux,NA,E,E3,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA10HOME01,bat,Gilbert walked (3-0).,0,NA,NA,NA,A,A0,0,Gilbert,NA,NA,B,B0,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA10HOME02,sub,Cameron to p for Love.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA10HOME03,bat,Mangum singled to left field (2-1);,0,Gilbert,NA,NA,B,B0,0,Mangum,NA,NA,B,B0,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA10HOME03,br,Gilbert advanced to second.,0,Gilbert,NA,NA,B,B0,0,Mangum,Gilbert,NA,E,E0,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA10HOME04,bat,Westburg singled through the left side  RBI (1-2);,0,Mangum,Gilbert,NA,E,E0,0,Westburg,Gilbert,NA,E,E0,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA10HOME04,br,Mangum advanced to second;,0,Mangum,Gilbert,NA,E,E0,0,Westburg,Mangum,NA,E,E0,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA10HOME04,br,Gilbert scored.,0,Mangum,Gilbert,NA,E,E0,0,Westburg,Mangum,NA,E,E0,1
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA10HOME05,bat,Allen flied out to lf (0-0).,0,Westburg,Mangum,NA,E,E0,1,Westburg,Mangum,NA,E,E1,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA10HOME06,bat,MacNamee lined out to 3b (0-0);,1,Westburg,Mangum,NA,E,E1,2,Westburg,Mangum,NA,E,E2,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA10HOME06,br,Mangum advanced to third on a throwing error by 3b.,1,Westburg,Mangum,NA,E,E1,2,Westburg,NA,Mangum,F,F2,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA10HOME07,bat,Foscue grounded out to 3b (0-0).,2,Westburg,NA,Mangum,F,F2,3,Westburg,NA,Mangum,F,F3,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA11AWAY01,sub,James to p for Plumlee.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA11AWAY02,bat,Auerbach grounded out to p (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA11AWAY03,bat,McCullough flied out to lf (0-0).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA11AWAY04,bat,Gentry doubled down the lf line (2-2).,2,NA,NA,NA,A,A2,2,NA,Gentry,NA,C,C2,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA11AWAY05,bat,Williamson struck out swinging (2-2).,2,NA,Gentry,NA,C,C2,3,NA,Gentry,NA,C,C3,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA12HOME01,sub,Vainer to p for Cameron.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA12HOME02,bat,Jordan  R. singled through the left side (3-2).,0,NA,NA,NA,A,A0,0,Jordan,NA,NA,B,B0,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA12HOME03,bat,Skelton grounded out to 1b unassisted  SAC  bunt (1-0);,0,Jordan,NA,NA,B,B0,1,Jordan,NA,NA,B,B1,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA12HOME03,br,Jordan R. advanced to second.,0,Jordan,NA,NA,B,B0,1,NA,Jordan,NA,C,C1,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA12HOME04,bat,Cumbest flied out to cf (0-1).,1,NA,Jordan,NA,C,C1,2,NA,Jordan,NA,C,C2,0
ABAM_MSST_0413201901,ABAM_MSST_0413201901_PA12HOME05,bat,Gilbert popped up to 2b (1-1).,2,NA,Jordan,NA,C,C2,3,NA,Jordan,NA,C,C3,0
