GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
ARKS_ABAM_0323201901,ARKS_ABAM_0323201901_PA01AWAY01,bat,C. Martin fouled out to 1b (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ARKS_ABAM_0323201901,ARKS_ABAM_0323201901_PA01AWAY02,bat,H. Kjerstad flied out to lf (3-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ARKS_ABAM_0323201901,ARKS_ABAM_0323201901_PA01AWAY03,bat,T. Ezell grounded out to 2b (1-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
ARKS_ABAM_0323201901,ARKS_ABAM_0323201901_PA02HOME01,bat,Breaux flied out to lf (2-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ARKS_ABAM_0323201901,ARKS_ABAM_0323201901_PA02HOME02,bat,Robinson reached on a throwing error by 3b (3-1).,1,NA,NA,NA,A,A1,1,Robinson,NA,NA,B,B1,0
ARKS_ABAM_0323201901,ARKS_ABAM_0323201901_PA02HOME03,bat,McCullough grounded out to 2b (0-0);,1,Robinson,NA,NA,B,B1,2,Robinson,NA,NA,B,B2,0
ARKS_ABAM_0323201901,ARKS_ABAM_0323201901_PA02HOME03,br,Robinson advanced to second.,1,Robinson,NA,NA,B,B1,2,NA,Robinson,NA,C,C2,0
ARKS_ABAM_0323201901,ARKS_ABAM_0323201901_PA02HOME04,bat,Gentry popped up to 3b (1-0).,2,NA,Robinson,NA,C,C2,3,NA,Robinson,NA,C,C3,0
ARKS_ABAM_0323201901,ARKS_ABAM_0323201901_PA03AWAY01,bat,D. Fletcher flied out to rf to right center (1-1).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ARKS_ABAM_0323201901,ARKS_ABAM_0323201901_PA03AWAY02,bat,C. Opitz struck out swinging (0-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ARKS_ABAM_0323201901,ARKS_ABAM_0323201901_PA03AWAY03,bat,T. Harris doubled to left field (0-1).,2,NA,NA,NA,A,A2,2,NA,Harris,NA,C,C2,0
ARKS_ABAM_0323201901,ARKS_ABAM_0323201901_PA03AWAY04,bat,J. Kenley walked (3-2).,2,NA,Harris,NA,C,C2,2,Kenley,Harris,NA,E,E2,0
