GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
ARKS_AUBN_0405201901,ARKS_AUBN_0405201901_PA01AWAY01,bat,T. Ezell popped up to 3b (0-2 KFF).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ARKS_AUBN_0405201901,ARKS_AUBN_0405201901_PA01AWAY02,bat,H. Kjerstad struck out swinging (0-2 SKFK).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ARKS_AUBN_0405201901,ARKS_AUBN_0405201901_PA01AWAY03,bat,C. Martin grounded out to 3b (0-0).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
ARKS_AUBN_0405201901,ARKS_AUBN_0405201901_PA02HOME01,bat,Ward  J. grounded out to 2b (0-2 KSF).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ARKS_AUBN_0405201901,ARKS_AUBN_0405201901_PA02HOME02,bat,Howell  K. grounded out to p (2-2 KBBF).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ARKS_AUBN_0405201901,ARKS_AUBN_0405201901_PA02HOME03,bat,Woley  R. struck out swinging (2-2 FBFBS).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
ARKS_AUBN_0405201901,ARKS_AUBN_0405201901_PA03AWAY01,bat,D. Fletcher singled to left center (0-2 KK).,0,NA,NA,NA,A,A0,0,Fletcher,NA,NA,B,B0,0
ARKS_AUBN_0405201901,ARKS_AUBN_0405201901_PA03AWAY02,bat,M. Goodheart singled up the middle (1-2 KKB);,0,Fletcher,NA,NA,B,B0,0,Goodheart,NA,NA,B,B0,0
ARKS_AUBN_0405201901,ARKS_AUBN_0405201901_PA03AWAY02,br,D. Fletcher advanced to second.,0,Fletcher,NA,NA,B,B0,0,Goodheart,Fletcher,NA,E,E0,0
ARKS_AUBN_0405201901,ARKS_AUBN_0405201901_PA03AWAY03,bat,J. Kenley infield fly to 1b (2-2 BBKKF).,0,Goodheart,Fletcher,NA,E,E0,0,Goodheart,Fletcher,NA,E,E0,0
ARKS_AUBN_0405201901,ARKS_AUBN_0405201901_PA03AWAY04,br,M. Goodheart advanced to second on a wild pitch;,0,Goodheart,Fletcher,NA,E,E0,0,NA,Goodheart,NA,C,C0,0
ARKS_AUBN_0405201901,ARKS_AUBN_0405201901_PA03AWAY04,br,D. Fletcher advanced to third.,0,NA,Goodheart,NA,C,C0,0,NA,Goodheart,Fletcher,G,G0,0
ARKS_AUBN_0405201901,ARKS_AUBN_0405201901_PA03AWAY05,bat,J. Nesbit flied out to cf  SAC  RBI (2-2 BBFFF);,0,NA,Goodheart,Fletcher,G,G0,1,NA,Goodheart,Fletcher,G,G1,0
ARKS_AUBN_0405201901,ARKS_AUBN_0405201901_PA03AWAY05,br,M. Goodheart advanced to third;,0,NA,Goodheart,Fletcher,G,G0,1,NA,NA,Goodheart,D,D1,0
ARKS_AUBN_0405201901,ARKS_AUBN_0405201901_PA03AWAY05,br,D. Fletcher scored.,0,NA,Goodheart,Fletcher,G,G0,1,NA,NA,Goodheart,D,D1,1
ARKS_AUBN_0405201901,ARKS_AUBN_0405201901_PA03AWAY06,bat,C. Franklin struck out swinging (2-2 BBSSS).,1,NA,NA,Goodheart,D,D1,2,NA,NA,Goodheart,D,D2,0
ARKS_AUBN_0405201901,ARKS_AUBN_0405201901_PA04HOME01,bat,Julien  E. walked (3-2 BBBKSB).,0,NA,NA,NA,A,A0,0,Julien,NA,NA,B,B0,0
ARKS_AUBN_0405201901,ARKS_AUBN_0405201901_PA04HOME02,br,Julien E. out at second c to 2b caught stealing.,0,Julien,NA,NA,B,B0,1,NA,NA,NA,A,A1,0
ARKS_AUBN_0405201901,ARKS_AUBN_0405201901_PA04HOME03,bat,Davis  Co. grounded out to 3b (1-2 KBFFFF).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
