GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA01AWAY01,bat,T. Ezell struck out swinging.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA01AWAY02,bat,C. Martin flied out to 1b.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA01AWAY03,bat,M. Goodheart walked.,2,NA,NA,NA,A,A2,2,Goodheart,NA,NA,B,B2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA01AWAY04,bat,D. Fletcher struck out swinging.,2,Goodheart,NA,NA,B,B2,3,Goodheart,NA,NA,B,B3,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA02HOME01,bat,R. Johnson grounded out to ss.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA02HOME02,bat,C. Hill struck out swinging.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA02HOME03,bat,E. Curtis walked.,2,NA,NA,NA,A,A2,2,Curtis,NA,NA,B,B2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA02HOME04,br,E. Curtis out at second c to ss caught stealing.,2,Curtis,NA,NA,B,B2,3,NA,NA,NA,A,A3,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA03AWAY01,bat,H. Kjerstad struck out looking.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA03AWAY02,bat,J. Kenley flied out to ss.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA03AWAY03,bat,J. Nesbit walked.,2,NA,NA,NA,A,A2,2,Nesbit,NA,NA,B,B2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA03AWAY04,bat,C. Opitz grounded out to ss.,2,Nesbit,NA,NA,B,B2,3,Nesbit,NA,NA,B,B3,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA04HOME01,bat,C. Kessler homered to right field  RBI.,0,NA,NA,NA,A,A0,0,NA,NA,NA,A,A0,1
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA04HOME02,bat,R. Shinn homered to left center  RBI.,0,NA,NA,NA,A,A0,0,NA,NA,NA,A,A0,1
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA04HOME03,sub,T. Collett pinch hit for J. Ramsey.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA04HOME04,bat,T. Collett struck out swinging.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA04HOME05,bat,A. Schultz singled up the middle.,1,NA,NA,NA,A,A1,1,Schultz,NA,NA,B,B1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA04HOME06,bat,D. Reed struck out swinging.,1,Schultz,NA,NA,B,B1,2,Schultz,NA,NA,B,B2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA04HOME07,br,A. Schultz out at second c to ss caught stealing.,2,Schultz,NA,NA,B,B2,3,NA,NA,NA,A,A3,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA05AWAY01,sub,T. Collett to dh.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA05AWAY02,bat,C. Franklin walked.,0,NA,NA,NA,A,A0,0,Franklin,NA,NA,B,B0,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA05AWAY03,bat,T. Ezell struck out looking.,0,Franklin,NA,NA,B,B0,1,Franklin,NA,NA,B,B1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA05AWAY04,br,C. Franklin stole second.,1,Franklin,NA,NA,B,B1,1,NA,Franklin,NA,C,C1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA05AWAY05,bat,C. Martin struck out swinging.,1,NA,Franklin,NA,C,C1,2,NA,Franklin,NA,C,C2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA05AWAY06,bat,M. Goodheart singled to first base  RBI;,2,NA,Franklin,NA,C,C2,2,Goodheart,Franklin,NA,E,E2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA05AWAY06,br,C. Franklin scored.,2,NA,Franklin,NA,C,C2,2,Goodheart,NA,NA,B,B2,1
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA05AWAY07,bat,D. Fletcher flied out to cf.,2,Goodheart,NA,NA,B,B2,3,Goodheart,NA,NA,B,B3,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA06HOME01,br,M. Gei out at first 1b to p.,3,Goodheart,NA,NA,B,B3,4,Goodheart,NA,NA,B,B4,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA06HOME02,bat,R. Johnson grounded out to 2b.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA06HOME03,bat,C. Hill struck out looking.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA07AWAY01,bat,H. Kjerstad flied out to rf.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA07AWAY02,bat,J. Kenley struck out looking.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA07AWAY03,bat,J. Nesbit flied out to rf.,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA08HOME01,bat,E. Curtis homered to right field  RBI.,0,NA,NA,NA,A,A0,0,NA,NA,NA,A,A0,1
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA08HOME02,bat,C. Kessler grounded out to 2b.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA08HOME03,bat,R. Shinn singled to center field.,1,NA,NA,NA,A,A1,1,Shinn,NA,NA,B,B1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA08HOME04,bat,T. Collett doubled to left center  RBI;,1,Shinn,NA,NA,B,B1,1,Shinn,Collett,NA,E,E1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA08HOME04,br,R. Shinn scored.,1,Shinn,NA,NA,B,B1,1,NA,Collett,NA,C,C1,1
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA08HOME05,sub,J Kostyshock to p for C. Noland.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA08HOME06,bat,A. Schultz struck out swinging.,1,NA,Collett,NA,C,C1,2,NA,Collett,NA,C,C2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA08HOME07,br,D. Reed out at first 1b to p.,2,NA,Collett,NA,C,C2,3,NA,Collett,NA,C,C3,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA09AWAY01,bat,C. Opitz walked.,0,NA,NA,NA,A,A0,0,Opitz,NA,NA,B,B0,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA09AWAY02,bat,C. Franklin flied out to cf.,0,Opitz,NA,NA,B,B0,1,Opitz,NA,NA,B,B1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA09AWAY03,bat,T. Ezell doubled to right center  RBI;,1,Opitz,NA,NA,B,B1,1,Opitz,Ezell,NA,E,E1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA09AWAY03,br,C. Opitz scored.,1,Opitz,NA,NA,B,B1,1,NA,Ezell,NA,C,C1,1
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA09AWAY04,bat,C. Martin struck out swinging.,1,NA,Ezell,NA,C,C1,2,NA,Ezell,NA,C,C2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA09AWAY05,bat,M. Goodheart struck out swinging.,2,NA,Ezell,NA,C,C2,3,NA,Ezell,NA,C,C3,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA10HOME01,bat,M. Gei flied out to cf.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA10HOME02,bat,R. Johnson struck out swinging.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA10HOME03,bat,C. Hill grounded out to ss.,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA11AWAY01,bat,D. Fletcher struck out swinging.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA11AWAY02,bat,H. Kjerstad flied out to cf.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA11AWAY03,bat,J. Kenley singled to right field.,2,NA,NA,NA,A,A2,2,Kenley,NA,NA,B,B2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA11AWAY04,br,J. Kenley advanced to second on a wild pitch.,2,Kenley,NA,NA,B,B2,2,NA,Kenley,NA,C,C2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA11AWAY05,bat,J. Nesbit walked.,2,NA,Kenley,NA,C,C2,2,Nesbit,Kenley,NA,E,E2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA11AWAY06,bat,C. Opitz struck out looking.,2,Nesbit,Kenley,NA,E,E2,3,Nesbit,Kenley,NA,E,E3,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA12HOME01,sub,K. Kopps to p for J Kostyshock.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA12HOME02,bat,E. Curtis lined out to 2b.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA12HOME03,bat,C. Kessler struck out swinging.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA12HOME04,bat,R. Shinn reached on a fielding error by ss.,2,NA,NA,NA,A,A2,2,Shinn,NA,NA,B,B2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA12HOME05,bat,T. Collett struck out swinging.,2,Shinn,NA,NA,B,B2,3,Shinn,NA,NA,B,B3,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA13AWAY01,sub,Jr. Shelby to rf for R. Johnson.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA13AWAY02,sub,Z. Lewis to 2b for E. Curtis.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA13AWAY03,sub,A. Rodriguez to 3b for C. Kessler.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA13AWAY04,bat,C. Franklin struck out swinging.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA13AWAY05,bat,T. Ezell doubled down the lf line.,1,NA,NA,NA,A,A1,1,NA,Ezell,NA,C,C1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA13AWAY06,bat,C. Martin walked.,1,NA,Ezell,NA,C,C1,1,Martin,Ezell,NA,E,E1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA13AWAY07,bat,M. Goodheart singled to center field  RBI;,1,Martin,Ezell,NA,E,E1,1,Goodheart,Ezell,NA,E,E1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA13AWAY07,br,C. Martin advanced to third;,1,Martin,Ezell,NA,E,E1,1,Goodheart,Ezell,Martin,H,H1,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA13AWAY07,br,T. Ezell scored.,1,Martin,Ezell,NA,E,E1,1,Goodheart,NA,Martin,F,F1,1
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA13AWAY08,sub,C. Coleman to p for Z. Thompson.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA13AWAY09,bat,D. Fletcher grounded into double play ss to 2b to 1b;,1,Goodheart,NA,Martin,F,F1,2,Goodheart,NA,Martin,F,F2,0
ARKS_KENT_0505201902,ARKS_KENT_0505201902_PA13AWAY09,br,M. Goodheart out on the play.,1,Goodheart,NA,Martin,F,F1,3,NA,NA,Martin,D,D3,0
