GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
ARKS_TXAM_0518201901,ARKS_TXAM_0518201901_PA01AWAY01,bat,EZELL struck out swinging (3-2 KBBFBS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ARKS_TXAM_0518201901,ARKS_TXAM_0518201901_PA01AWAY02,bat,MARTIN homered to left field  RBI (0-0).,1,NA,NA,NA,A,A1,1,NA,NA,NA,A,A1,1
ARKS_TXAM_0518201901,ARKS_TXAM_0518201901_PA01AWAY03,bat,GOODHEART singled to left field (0-1 K).,1,NA,NA,NA,A,A1,1,Goodheart,NA,NA,B,B1,0
ARKS_TXAM_0518201901,ARKS_TXAM_0518201901_PA01AWAY04,bat,FLETCHER struck out swinging (2-2 BBFKS).,1,Goodheart,NA,NA,B,B1,2,Goodheart,NA,NA,B,B2,0
ARKS_TXAM_0518201901,ARKS_TXAM_0518201901_PA01AWAY05,bat,KJERSTAD grounded out to 3b (2-2 FBFB).,2,Goodheart,NA,NA,B,B2,3,Goodheart,NA,NA,B,B3,0
ARKS_TXAM_0518201901,ARKS_TXAM_0518201901_PA02HOME01,bat,SHEWMAKE struck out swinging (0-2 FKS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ARKS_TXAM_0518201901,ARKS_TXAM_0518201901_PA02HOME02,bat,BLAUM grounded out to 3b (1-0 B).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ARKS_TXAM_0518201901,ARKS_TXAM_0518201901_PA02HOME03,bat,DELOACH grounded out to 2b (0-1 K).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
ARKS_TXAM_0518201901,ARKS_TXAM_0518201901_PA03AWAY01,batbr,KENLEY out at first 2b to p (0-1 K).,0,NA,NA,NA,A,A0,0,NA,NA,NA,A,A0,0
ARKS_TXAM_0518201901,ARKS_TXAM_0518201901_PA03AWAY01,batbr,KENLEY out at first 2b to p (0-1 K).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
