GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA01AWAY01,other,No play.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA01AWAY02,bat,Ward  J. struck out swinging (1-2 KBSS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA01AWAY03,bat,Howell  K. singled through the right side (1-2 KBSF).,1,NA,NA,NA,A,A1,1,Howell,NA,NA,B,B1,0
AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA01AWAY04,bat,Julien  E. flied out to lf (2-0 BB).,1,Howell,NA,NA,B,B1,2,Howell,NA,NA,B,B2,0
AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA01AWAY05,bat,Woley  R. grounded out to 1b unassisted (0-1 K).,2,Howell,NA,NA,B,B2,3,Howell,NA,NA,B,B3,0
AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA02HOME01,bat,Campbell grounded out to ss (1-0 B).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA02HOME02,bat,Hopkins walked (3-2 SBBBKB).,1,NA,NA,NA,A,A1,1,Hopkins,NA,NA,B,B1,0
AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA02HOME03,bat,Berryhill singled up the middle (1-0 B);,1,Hopkins,NA,NA,B,B1,1,Berryhill,NA,NA,B,B1,0
AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA02HOME03,br,Hopkins advanced to second.,1,Hopkins,NA,NA,B,B1,1,Berryhill,Hopkins,NA,E,E1,0
AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA02HOME04,bat,Olson singled through the left side (0-0);,1,Berryhill,Hopkins,NA,E,E1,1,Olson,Hopkins,NA,E,E1,0
AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA02HOME04,br,Berryhill advanced to second;,1,Berryhill,Hopkins,NA,E,E1,1,Olson,Berryhill,NA,E,E1,0
AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA02HOME04,br,Hopkins advanced to third.,1,Berryhill,Hopkins,NA,E,E1,1,Olson,Berryhill,Hopkins,H,H1,0
AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA02HOME05,bat,Cullen walked  RBI (3-0 BBBB);,1,Olson,Berryhill,Hopkins,H,H1,1,Cullen,Berryhill,Hopkins,H,H1,0
AUBN_SCAR_0331201901,AUBN_SCAR_0331201901_PA02HOME05,br,Olson advanced to second;,1,Olson,Berryhill,Hopkins,H,H1,1,Cullen,Olson,Hopkins,H,H1,0
