GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA01AWAY01,bat,Ward  J. grounded out to 1b unassisted (2-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA01AWAY02,bat,Bliss  R. flied out to cf (2-1).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA01AWAY03,bat,Julien  E. grounded out to p (1-1).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA02HOME01,bat,Martin doubled to left center (1-0).,0,NA,NA,NA,A,A0,0,NA,Martin,NA,C,C0,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA02HOME02,bat,Bleday walked (3-1).,0,NA,Martin,NA,C,C0,0,Bleday,Martin,NA,E,E0,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA02HOME03,bat,Paul struck out swinging (0-2).,0,Bleday,Martin,NA,E,E0,1,Bleday,Martin,NA,E,E1,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA02HOME04,other,Call at second base reviewed. Confirmed out.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA02HOME05,bat,"Clarke reached on a fielders choice (1-1);,1,Bleday,Martin,NA,E,E1,1,Clarke,Martin,NA,E,E1,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA02HOME05,br,Bleday out at second 2b to ss;,1,Bleday,Martin,NA,E,E1,2,Clarke,Martin,NA,E,E2,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA02HOME05,br,Martin advanced to third.",1,Bleday,Martin,NA,E,E1,2,Clarke,NA,Martin,F,F2,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA02HOME06,bat,Ray struck out swinging (1-2).,2,Clarke,NA,Martin,F,F2,3,Clarke,NA,Martin,F,F3,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA03AWAY01,bat,Davis  Co. grounded out to 1b unassisted (1-1).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA03AWAY02,bat,Scheffler  M grounded out to 3b (0-0).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA03AWAY03,bat,Woley  R. walked (3-0).,2,NA,NA,NA,A,A2,2,Woley,NA,NA,B,B2,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA03AWAY04,bat,Howell  K. struck out swinging (2-2).,2,Woley,NA,NA,B,B2,3,Woley,NA,NA,B,B3,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA04HOME01,bat,Scott homered to right field  RBI (0-1).,0,NA,NA,NA,A,A0,0,NA,NA,NA,A,A0,1
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA04HOME02,bat,DeMarco doubled to pitcher (1-1).,0,NA,NA,NA,A,A0,0,NA,Demarco,NA,C,C0,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA04HOME03,sub,Duvall pinch hit for Raby.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA04HOME04,bat,Duvall walked (3-2).,0,NA,Demarco,NA,C,C0,0,Duvall,Demarco,NA,E,E0,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA04HOME05,bat,Infante walked (3-2);,0,Duvall,Demarco,NA,E,E0,0,Infante,Demarco,NA,E,E0,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA04HOME05,br,Duvall advanced to second;,0,Duvall,Demarco,NA,E,E0,0,Infante,Duvall,NA,E,E0,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA04HOME05,br,DeMarco advanced to third.,0,Duvall,Demarco,NA,E,E0,0,Infante,Duvall,Demarco,H,H0,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA04HOME06,br,Infante advanced to second on a wild pitch;,0,Infante,Duvall,Demarco,H,H0,0,NA,Infante,Demarco,G,G0,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA04HOME06,br,Duvall advanced to third on a wild pitch;,0,Infante,Duvall,Demarco,H,H0,0,NA,Infante,Duvall,G,G0,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA04HOME06,br,DeMarco scored on a wild pitch.,0,Infante,Duvall,Demarco,H,H0,0,NA,Infante,Duvall,G,G0,1
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA04HOME07,bat,Martin flied out to rf  SF  RBI (1-2);,0,NA,Infante,Duvall,G,G0,1,NA,Infante,Duvall,G,G1,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA04HOME07,br,Infante advanced to third;,0,NA,Infante,Duvall,G,G0,1,NA,NA,Infante,D,D1,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA04HOME07,br,Duvall scored.,0,NA,Infante,Duvall,G,G0,1,NA,NA,Infante,D,D1,1
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA04HOME08,bat,Bleday struck out swinging (0-2).,1,NA,NA,Infante,D,D1,2,NA,NA,Infante,D,D2,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA04HOME09,bat,Paul struck out looking (1-2).,2,NA,NA,Infante,D,D2,3,NA,NA,Infante,D,D3,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA05AWAY01,bat,Williams  S. singled to first base (3-2).,0,NA,NA,NA,A,A0,0,Williams,NA,NA,B,B0,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA05AWAY02,bat,Holland  W. hit by pitch (2-2);,0,Williams,NA,NA,B,B0,0,Holland,NA,NA,B,B0,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA05AWAY02,br,Williams S. advanced to second.,0,Williams,NA,NA,B,B0,0,Holland,Williams,NA,E,E0,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA05AWAY03,bat,Ward  J. hit by pitch (1-2);,0,Holland,Williams,NA,E,E0,0,Ward,Williams,NA,E,E0,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA05AWAY03,br,Holland W. advanced to second;,0,Holland,Williams,NA,E,E0,0,Ward,Holland,NA,E,E0,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA05AWAY03,br,Williams S. advanced to third.,0,Holland,Williams,NA,E,E0,0,Ward,Holland,Williams,H,H0,0
AUBN_VAND_0425201901,AUBN_VAND_0425201901_PA05AWAY04,bat,Bliss  R. grounded into double play p to c to 1b  interference (2-1);,0,Ward,Holland,Williams,H,H0,1,Ward,Holland,Williams,H,H1,0
