GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
FLOR_GEOR_0505201902,FLOR_GEOR_0505201902_PA01AWAY01,bat,McConnell grounded out to 3b (1-1 BF).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
FLOR_GEOR_0505201902,FLOR_GEOR_0505201902_PA01AWAY02,bat,Langworthy flied out to lf (3-1 SBBB).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
FLOR_GEOR_0505201902,FLOR_GEOR_0505201902_PA01AWAY03,bat,Maldonado singled to right field (0-1 F).,2,NA,NA,NA,A,A2,2,Maldonado,NA,NA,B,B2,0
FLOR_GEOR_0505201902,FLOR_GEOR_0505201902_PA01AWAY04,bat,Calilao walked (3-1 BBBKB);,2,Maldonado,NA,NA,B,B2,2,Calilao,NA,NA,B,B2,0
FLOR_GEOR_0505201902,FLOR_GEOR_0505201902_PA01AWAY04,br,Maldonado advanced to second.,2,Maldonado,NA,NA,B,B2,2,Calilao,Maldonado,NA,E,E2,0
FLOR_GEOR_0505201902,FLOR_GEOR_0505201902_PA01AWAY05,bat,Acton grounded out to 2b (1-2 KSB);,2,Calilao,Maldonado,NA,E,E2,3,Calilao,Maldonado,NA,E,E3,0
FLOR_GEOR_0505201902,FLOR_GEOR_0505201902_PA01AWAY05,br,Calilao advanced to second;,2,Calilao,Maldonado,NA,E,E2,3,NA,Calilao,NA,C,C3,0
FLOR_GEOR_0505201902,FLOR_GEOR_0505201902_PA01AWAY05,br,Maldonado advanced to third.,2,Calilao,Maldonado,NA,E,E2,3,NA,Calilao,Maldonado,G,G3,0
FLOR_GEOR_0505201902,FLOR_GEOR_0505201902_PA02HOME01,bat,Shepherd flied out to rf (2-0 BB).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
FLOR_GEOR_0505201902,FLOR_GEOR_0505201902_PA02HOME02,bat,King  R. homered to left field  RBI (0-0).,1,NA,NA,NA,A,A1,1,NA,NA,NA,A,A1,1
