GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA01AWAY01,bat,McConnell flied out to rf (0-1).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA01AWAY02,bat,Langworthy struck out swinging (1-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA01AWAY03,bat,Maldonado singled to left field (0-2).,2,NA,NA,NA,A,A2,2,Maldonado,NA,NA,B,B2,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA01AWAY04,bat,Smith flied out to lf (3-2).,2,Maldonado,NA,NA,B,B2,3,Maldonado,NA,NA,B,B3,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA02HOME01,batbr,Holt out at first 1b to p (0-1).,0,NA,NA,NA,A,A0,0,NA,NA,NA,A,A0,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA02HOME01,batbr,Holt out at first 1b to p (0-1).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA02HOME02,bat,Cornelius grounded out to 3b (1-1).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA02HOME03,bat,Misner singled to center field (0-1).,2,NA,NA,NA,A,A2,2,Misner,NA,NA,B,B2,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA02HOME04,bat,Zimmermann grounded out to 2b (1-0).,2,Misner,NA,NA,B,B2,3,Misner,NA,NA,B,B3,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA03AWAY01,bat,Dalton singled to center field (2-0).,0,NA,NA,NA,A,A0,0,Dalton,NA,NA,B,B0,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA03AWAY02,bat,Calilao struck out swinging (2-2).,0,Dalton,NA,NA,B,B0,1,Dalton,NA,NA,B,B1,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA03AWAY03,bat,Acton grounded into double play 2b to ss to 1b (1-1);,1,Dalton,NA,NA,B,B1,2,Dalton,NA,NA,B,B2,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA03AWAY03,br,Dalton out on the play.,1,Dalton,NA,NA,B,B1,3,NA,NA,NA,A,A3,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA04HOME01,bat,McDaniel grounded out to ss (2-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA04HOME02,batbr,Vierling struck out swinging out at first c to 1b (0-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA04HOME02,batbr,Vierling struck out swinging out at first c to 1b (0-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA04HOME03,bat,Ortiz singled to center field (1-1).,2,NA,NA,NA,A,A2,2,Ortiz,NA,NA,B,B2,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA04HOME04,bat,Gomez grounded out to 2b (1-2).,2,Ortiz,NA,NA,B,B2,3,Ortiz,NA,NA,B,B3,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA05AWAY01,bat,J. Young struck out swinging (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA05AWAY02,bat,Fabian struck out swinging (1-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA05AWAY03,bat,McConnell flied out to lf (2-1).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA06HOME01,bat,Brumfield grounded out to 2b (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA06HOME02,bat,Holt walked (3-1).,1,NA,NA,NA,A,A1,1,Holt,NA,NA,B,B1,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA06HOME03,bat,Cornelius grounded into double play 2b to ss to 1b (1-1);,1,Holt,NA,NA,B,B1,2,Holt,NA,NA,B,B2,0
FLOR_MIZZ_0516201901,FLOR_MIZZ_0516201901_PA06HOME03,br,Holt out on the play.,1,Holt,NA,NA,B,B1,3,NA,NA,NA,A,A3,0
