GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
FLOR_OMSS_0406201901,FLOR_OMSS_0406201901_PA01AWAY01,bat,J. Young flied out to rf.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
FLOR_OMSS_0406201901,FLOR_OMSS_0406201901_PA01AWAY02,bat,McConnell grounded out to ss.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
FLOR_OMSS_0406201901,FLOR_OMSS_0406201901_PA01AWAY03,bat,Maldonado singled through the right side.,2,NA,NA,NA,A,A2,2,Maldonado,NA,NA,B,B2,0
FLOR_OMSS_0406201901,FLOR_OMSS_0406201901_PA01AWAY04,bat,Calilao struck out swinging.,2,Maldonado,NA,NA,B,B2,3,Maldonado,NA,NA,B,B3,0
FLOR_OMSS_0406201901,FLOR_OMSS_0406201901_PA02HOME01,bat,R. Olenek grounded out to ss.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
FLOR_OMSS_0406201901,FLOR_OMSS_0406201901_PA02HOME02,bat,G. Kessinger singled to left field.,1,NA,NA,NA,A,A1,1,Kessinger,NA,NA,B,B1,0
FLOR_OMSS_0406201901,FLOR_OMSS_0406201901_PA02HOME03,bat,T. Keenan struck out swinging.,1,Kessinger,NA,NA,B,B1,2,Kessinger,NA,NA,B,B2,0
FLOR_OMSS_0406201901,FLOR_OMSS_0406201901_PA02HOME04,bat,T. Dillard walked;,2,Kessinger,NA,NA,B,B2,2,Dillard,NA,NA,B,B2,0
FLOR_OMSS_0406201901,FLOR_OMSS_0406201901_PA02HOME04,br,G. Kessinger advanced to second.,2,Kessinger,NA,NA,B,B2,2,Dillard,Kessinger,NA,E,E2,0
FLOR_OMSS_0406201901,FLOR_OMSS_0406201901_PA02HOME05,br,T. Dillard advanced to second on a wild pitch;,2,Dillard,Kessinger,NA,E,E2,2,NA,Dillard,NA,C,C2,0
FLOR_OMSS_0406201901,FLOR_OMSS_0406201901_PA02HOME05,br,G. Kessinger advanced to third.,2,Dillard,Kessinger,NA,E,E2,2,NA,Dillard,Kessinger,G,G2,0
