GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
FLOR_VAND_0321201901,FLOR_VAND_0321201901_PA01AWAY01,bat,J. Young grounded out to p  bunt (3-1).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
FLOR_VAND_0321201901,FLOR_VAND_0321201901_PA01AWAY02,bat,McConnell singled to right field (1-2).,1,NA,NA,NA,A,A1,1,Mcconnell,NA,NA,B,B1,0
FLOR_VAND_0321201901,FLOR_VAND_0321201901_PA01AWAY03,bat,"Maldonado reached on a fielders choice (2-2);,1,Mcconnell,NA,NA,B,B1,1,Maldonado,NA,NA,B,B1,0
FLOR_VAND_0321201901,FLOR_VAND_0321201901_PA01AWAY03,br,McConnell out at second ss to 2b.",1,Mcconnell,NA,NA,B,B1,2,Maldonado,NA,NA,B,B2,0
FLOR_VAND_0321201901,FLOR_VAND_0321201901_PA01AWAY04,br,Maldonado out at second c to 2b picked off.,2,Maldonado,NA,NA,B,B2,3,NA,NA,NA,A,A3,0
FLOR_VAND_0321201901,FLOR_VAND_0321201901_PA02HOME01,batbr,Davis singled advanced to second on an error by 2b (1-1).,0,NA,NA,NA,A,A0,0,Davis,NA,NA,B,B0,0
FLOR_VAND_0321201901,FLOR_VAND_0321201901_PA02HOME01,batbr,Davis singled advanced to second on an error by 2b (1-1).,0,NA,NA,NA,A,A0,0,NA,Davis,NA,C,C0,0
FLOR_VAND_0321201901,FLOR_VAND_0321201901_PA02HOME02,bat,Martin grounded out to ss (2-2).,0,NA,Davis,NA,C,C0,1,NA,Davis,NA,C,C1,0
FLOR_VAND_0321201901,FLOR_VAND_0321201901_PA02HOME03,bat,Bleday doubled down the lf line  ground-rule  RBI (0-1);,1,NA,Davis,NA,C,C1,1,NA,Bleday,NA,C,C1,0
FLOR_VAND_0321201901,FLOR_VAND_0321201901_PA02HOME03,br,Davis scored.,1,NA,Davis,NA,C,C1,1,NA,Bleday,NA,C,C1,1
FLOR_VAND_0321201901,FLOR_VAND_0321201901_PA02HOME04,bat,Scott grounded out to 2b (0-0);,1,NA,Bleday,NA,C,C1,2,NA,Bleday,NA,C,C2,0
FLOR_VAND_0321201901,FLOR_VAND_0321201901_PA02HOME04,br,Bleday advanced to third.,1,NA,Bleday,NA,C,C1,2,NA,NA,Bleday,D,D2,0
FLOR_VAND_0321201901,FLOR_VAND_0321201901_PA02HOME05,bat,Clarke grounded out to 2b (1-2).,2,NA,NA,Bleday,D,D2,3,NA,NA,Bleday,D,D3,0
FLOR_VAND_0321201901,FLOR_VAND_0321201901_PA03AWAY01,bat,Calilao flied out to cf (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
FLOR_VAND_0321201901,FLOR_VAND_0321201901_PA03AWAY02,bat,Dalton flied out to cf (3-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
FLOR_VAND_0321201901,FLOR_VAND_0321201901_PA03AWAY03,bat,Acton singled to center field (3-1).,2,NA,NA,NA,A,A2,2,Acton,NA,NA,B,B2,0
FLOR_VAND_0321201901,FLOR_VAND_0321201901_PA03AWAY04,bat,Fabian grounded out to ss (0-2).,2,Acton,NA,NA,B,B2,3,Acton,NA,NA,B,B3,0
