GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
GEOR_KENT_0330201901,GEOR_KENT_0330201901_PA01AWAY01,bat,Shepherd grounded out to ss.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
GEOR_KENT_0330201901,GEOR_KENT_0330201901_PA01AWAY02,bat,King  R. singled to left field.,1,NA,NA,NA,A,A1,1,King,NA,NA,B,B1,0
GEOR_KENT_0330201901,GEOR_KENT_0330201901_PA01AWAY03,bat,Schunk hit by pitch;,1,King,NA,NA,B,B1,1,Schunk,NA,NA,B,B1,0
GEOR_KENT_0330201901,GEOR_KENT_0330201901_PA01AWAY03,br,King R. advanced to second.,1,King,NA,NA,B,B1,1,Schunk,King,NA,E,E1,0
GEOR_KENT_0330201901,GEOR_KENT_0330201901_PA01AWAY04,bat,Talley doubled to center field  RBI;,1,Schunk,King,NA,E,E1,1,Schunk,Talley,NA,E,E1,0
GEOR_KENT_0330201901,GEOR_KENT_0330201901_PA01AWAY04,br,Schunk advanced to third;,1,Schunk,King,NA,E,E1,1,NA,Talley,Schunk,G,G1,0
GEOR_KENT_0330201901,GEOR_KENT_0330201901_PA01AWAY04,br,King R. scored.,1,Schunk,King,NA,E,E1,1,NA,Talley,Schunk,G,G1,1
GEOR_KENT_0330201901,GEOR_KENT_0330201901_PA01AWAY05,bat,Cable walked.,1,NA,Talley,Schunk,G,G1,1,Cable,Talley,Schunk,H,H1,0
GEOR_KENT_0330201901,GEOR_KENT_0330201901_PA01AWAY06,bat,Tate  Connor homered to left field  4 RBI;,1,Cable,Talley,Schunk,H,H1,1,NA,NA,NA,A,A1,1
GEOR_KENT_0330201901,GEOR_KENT_0330201901_PA01AWAY06,br,Cable scored;,1,Cable,Talley,Schunk,H,H1,1,NA,NA,NA,A,A1,1
GEOR_KENT_0330201901,GEOR_KENT_0330201901_PA01AWAY06,br,Talley scored;,1,Cable,Talley,Schunk,H,H1,1,NA,NA,NA,A,A1,1
GEOR_KENT_0330201901,GEOR_KENT_0330201901_PA01AWAY06,br,Schunk scored.,1,Cable,Talley,Schunk,H,H1,1,NA,NA,NA,A,A1,1
GEOR_KENT_0330201901,GEOR_KENT_0330201901_PA01AWAY07,bat,Rogers flied out to lf.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
GEOR_KENT_0330201901,GEOR_KENT_0330201901_PA01AWAY08,bat,Marshall struck out swinging.,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
GEOR_KENT_0330201901,GEOR_KENT_0330201901_PA02HOME01,bat,A. Schultz struck out swinging.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
GEOR_KENT_0330201901,GEOR_KENT_0330201901_PA02HOME02,batbr,R. Shinn singled out at second rf to ss.,1,NA,NA,NA,A,A1,1,Shinn,NA,NA,B,B1,0
GEOR_KENT_0330201901,GEOR_KENT_0330201901_PA02HOME02,batbr,R. Shinn singled out at second rf to ss.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
GEOR_KENT_0330201901,GEOR_KENT_0330201901_PA02HOME03,bat,T. Collett singled to left field.,2,NA,NA,NA,A,A2,2,Collett,NA,NA,B,B2,0
GEOR_KENT_0330201901,GEOR_KENT_0330201901_PA02HOME04,bat,B. Daniel flied out to lf.,2,Collett,NA,NA,B,B2,3,Collett,NA,NA,B,B3,0
GEOR_KENT_0330201901,GEOR_KENT_0330201901_PA03AWAY01,sub,G Macciocchi to p for D. Marsh.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
