GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA01AWAY01,bat,Maxwell struck out swinging (2-2 KBFBS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA01AWAY02,batbr,King R. reached on an error by cf advanced to third (0-0).,1,NA,NA,NA,A,A1,1,King,NA,NA,B,B1,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA01AWAY02,batbr,King R. reached on an error by cf advanced to third (0-0).,1,NA,NA,NA,A,A1,1,NA,NA,King,D,D1,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA01AWAY03,bat,Schunk doubled to left field  RBI (1-1 BK);,1,NA,NA,King,D,D1,1,NA,Schunk,King,G,G1,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA01AWAY03,br,King R. scored unearned.,1,NA,NA,King,D,D1,1,NA,Schunk,NA,C,C1,1
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA01AWAY04,bat,Talley popped up to 3b (3-2 FFBBB).,1,NA,Schunk,NA,C,C1,2,NA,Schunk,NA,C,C2,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA01AWAY05,bat,Shepherd struck out swinging (1-2 SBSS).,2,NA,Schunk,NA,C,C2,3,NA,Schunk,NA,C,C3,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA02HOME01,bat,Mangum singled to right field (0-0).,0,NA,NA,NA,A,A0,0,Mangum,NA,NA,B,B0,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA02HOME02,bat,Westburg struck out swinging (0-2 KFFS).,0,Mangum,NA,NA,B,B0,1,Mangum,NA,NA,B,B1,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA02HOME03,br,Mangum out at second p to 1b to ss caught stealing.,1,Mangum,NA,NA,B,B1,2,NA,NA,NA,A,A2,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA02HOME04,batbr,Allen out at first 1b to p (2-2 BFSB).,2,NA,NA,NA,A,A2,2,NA,NA,NA,A,A2,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA02HOME04,batbr,Allen out at first 1b to p (2-2 BFSB).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA03AWAY01,bat,Biggar struck out swinging (1-2 KFBS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA03AWAY02,bat,Sullivan walked (3-2 BKSFBBFB).,1,NA,NA,NA,A,A1,1,Sullivan,NA,NA,B,B1,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA03AWAY03,bat,Meadows hit by pitch (0-1 K);,1,Sullivan,NA,NA,B,B1,1,Meadows,NA,NA,B,B1,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA03AWAY03,br,Sullivan advanced to second.,1,Sullivan,NA,NA,B,B1,1,Meadows,Sullivan,NA,E,E1,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA03AWAY04,bat,Rogers flied out to cf (0-2 KF).,1,Meadows,Sullivan,NA,E,E1,2,Meadows,Sullivan,NA,E,E2,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA03AWAY05,bat,Maxwell struck out swinging (2-2 KBKBFFS).,2,Meadows,Sullivan,NA,E,E2,3,Meadows,Sullivan,NA,E,E3,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME01,bat,MacNamee grounded out to 2b (2-1 BSB).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME02,bat,Foscue doubled to center field (1-0 B).,1,NA,NA,NA,A,A1,1,NA,Foscue,NA,C,C1,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME03,br,Foscue advanced to third on a wild pitch.,1,NA,Foscue,NA,C,C1,1,NA,NA,Foscue,D,D1,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME04,bat,Jordan  R. singled to right field  RBI (3-2 KBSBBF);,1,NA,NA,Foscue,D,D1,1,Jordan,NA,Foscue,F,F1,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME04,br,Foscue scored.,1,NA,NA,Foscue,D,D1,1,Jordan,NA,NA,B,B1,1
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME05,batbr,"Skelton out on batters interference (3-1 KBBB).",1,Jordan,NA,NA,B,B1,1,Jordan,NA,NA,B,B1,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME05,batbr,"Skelton out on batters interference (3-1 KBBB).",1,Jordan,NA,NA,B,B1,2,Jordan,NA,NA,B,B2,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME06,br,Jordan R. advanced to second on a wild pitch.,2,Jordan,NA,NA,B,B2,2,NA,Jordan,NA,C,C2,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME07,bat,Gilbert walked (3-2 BKFBBB).,2,NA,Jordan,NA,C,C2,2,Gilbert,Jordan,NA,E,E2,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME08,batbr,Halter singled to center field advanced to second on an error by cf RBI (0-0);,2,Gilbert,Jordan,NA,E,E2,2,Halter,Jordan,NA,E,E2,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME08,batbr,Halter singled to center field advanced to second on an error by cf RBI (0-0);,2,Gilbert,Jordan,NA,E,E2,2,NA,Halter,NA,C,C2,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME08,br,Gilbert advanced to third;,2,Gilbert,Jordan,NA,E,E2,2,NA,Halter,Gilbert,G,G2,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME08,br,Jordan R. scored.,2,Gilbert,Jordan,NA,E,E2,2,NA,Halter,Gilbert,G,G2,1
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME09,bat,Mangum intentionally walked.,2,NA,Halter,Gilbert,G,G2,2,Mangum,Halter,Gilbert,H,H2,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME10,br,Mangum advanced to second;,2,Mangum,Halter,Gilbert,H,H2,2,NA,Mangum,Gilbert,G,G2,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME10,br,Halter advanced to third;,2,Mangum,Halter,Gilbert,H,H2,2,NA,Mangum,Halter,G,G2,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME10,br,Gilbert scored on a wild pitch.,2,Mangum,Halter,Gilbert,H,H2,2,NA,Mangum,Halter,G,G2,1
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME11,bat,Westburg walked (3-2 BKBFBB).,2,NA,Mangum,Halter,G,G2,2,Westburg,Mangum,Halter,H,H2,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME12,bat,Allen walked  RBI (3-0 BBBB);,2,Westburg,Mangum,Halter,H,H2,2,Allen,Mangum,Halter,H,H2,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME12,br,Westburg advanced to second;,2,Westburg,Mangum,Halter,H,H2,2,Allen,Westburg,Halter,H,H2,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME12,br,Mangum advanced to third;,2,Westburg,Mangum,Halter,H,H2,2,Allen,Westburg,Mangum,H,H2,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME12,br,Halter scored.,2,Westburg,Mangum,Halter,H,H2,2,Allen,Westburg,Mangum,H,H2,1
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA04HOME13,bat,MacNamee flied out to rf (2-1 BBK).,2,Allen,Westburg,Mangum,H,H2,3,Allen,Westburg,Mangum,H,H3,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA05AWAY01,bat,King  R. struck out swinging (1-2 KBFK).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
GEOR_MSST_0426201901,GEOR_MSST_0426201901_PA05AWAY02,bat,Schunk struck out looking (2-2 KSBBK).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
