GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA01AWAY01,bat,Shepherd grounded out to ss.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA01AWAY02,bat,King  R. flied out to rf.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA01AWAY03,bat,Schunk struck out looking.,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA02HOME01,bat,Campbell struck out swinging.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA02HOME02,bat,Eyster grounded out to 3b.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA02HOME03,bat,Hopkins struck out swinging.,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA03AWAY01,bat,Talley singled to center field.,0,NA,NA,NA,A,A0,0,Talley,NA,NA,B,B0,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA03AWAY02,bat,Meadows flied out to rf.,0,Talley,NA,NA,B,B0,1,Talley,NA,NA,B,B1,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA03AWAY03,br,Talley advanced to second on a wild pitch.,1,Talley,NA,NA,B,B1,1,NA,Talley,NA,C,C1,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA03AWAY04,bat,Cable homered to center field  2 RBI;,1,NA,Talley,NA,C,C1,1,NA,NA,NA,A,A1,1
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA03AWAY04,br,Talley scored.,1,NA,Talley,NA,C,C1,1,NA,NA,NA,A,A1,1
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA03AWAY05,bat,Sullivan grounded out to 2b.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA03AWAY06,bat,Jernigan grounded out to ss.,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA04HOME01,bat,Berryhill struck out swinging.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA04HOME02,bat,Olson struck out looking.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA04HOME03,bat,Cullen grounded out to 2b.,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA05AWAY01,bat,Maxwell flied out to lf.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA05AWAY02,bat,Shepherd popped up to lf.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA05AWAY03,bat,King  R. flied out to cf.,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA06HOME01,bat,Allen homered to right field  RBI.,0,NA,NA,NA,A,A0,0,NA,NA,NA,A,A0,1
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA06HOME02,bat,Jenkins struck out swinging.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA06HOME03,bat,Callil singled to center field.,1,NA,NA,NA,A,A1,1,Callil,NA,NA,B,B1,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA06HOME04,bat,Campbell struck out swinging.,1,Callil,NA,NA,B,B1,2,Callil,NA,NA,B,B2,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA06HOME05,bat,Eyster struck out looking.,2,Callil,NA,NA,B,B2,3,Callil,NA,NA,B,B3,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA07AWAY01,bat,Schunk grounded out to 3b.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA07AWAY02,bat,Talley reached on an error by 2b.,1,NA,NA,NA,A,A1,1,Talley,NA,NA,B,B1,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA07AWAY03,br,Meadows out at first 3b to 2b to 1b;,1,Talley,NA,NA,B,B1,2,Talley,NA,NA,B,B2,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA07AWAY03,br,Talley advanced to second.,2,Talley,NA,NA,B,B2,2,NA,Talley,NA,C,C2,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA07AWAY04,bat,Cable popped up to lf.,2,NA,Talley,NA,C,C2,3,NA,Talley,NA,C,C3,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA08HOME01,bat,Hopkins grounded out to 2b.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA08HOME02,bat,Berryhill grounded out to p.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA08HOME03,bat,Olson walked.,2,NA,NA,NA,A,A2,2,Olson,NA,NA,B,B2,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA08HOME04,bat,Cullen singled to left field;,2,Olson,NA,NA,B,B2,2,Cullen,NA,NA,B,B2,0
GEOR_SCAR_0315201901,GEOR_SCAR_0315201901_PA08HOME04,br,Olson advanced to second.,2,Olson,NA,NA,B,B2,2,Cullen,Olson,NA,E,E2,0
