GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA01AWAY01,bat,R. Johnson grounded out to 2b (1-2 BKF).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA01AWAY02,bat,R. Shinn grounded out to 3b (0-0).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA01AWAY03,bat,E. Curtis grounded out to 2b (2-2 BKFB).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA02HOME01,bat,McConnell homered to left field  RBI (2-2 KBSBF).,0,NA,NA,NA,A,A0,0,NA,NA,NA,A,A0,1
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA02HOME02,bat,Langworthy struck out swinging (2-2 BSBKS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA02HOME03,bat,Maldonado singled to center field (1-1 BK).,1,NA,NA,NA,A,A1,1,Maldonado,NA,NA,B,B1,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA02HOME04,batbr,Calilao singled to center field advanced to second (0-1 S);,1,Maldonado,NA,NA,B,B1,1,Calilao,NA,NA,B,B1,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA02HOME04,batbr,Calilao singled to center field advanced to second (0-1 S);,1,Maldonado,NA,NA,B,B1,1,NA,Calilao,NA,C,C1,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA02HOME04,br,Maldonado advanced to third.,1,Maldonado,NA,NA,B,B1,1,NA,Calilao,Maldonado,G,G1,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA02HOME05,bat,Acton singled to left field (1-2 SSB).,1,NA,Calilao,Maldonado,G,G1,1,Acton,Calilao,Maldonado,H,H1,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA02HOME06,bat,"Dalton reached on a fielders choice to third base (0-2 SS);,1,Acton,Calilao,Maldonado,H,H1,1,Dalton,Calilao,Maldonado,H,H1,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA02HOME06,br,Acton advanced to second;,1,Acton,Calilao,Maldonado,H,H1,1,Dalton,Acton,Maldonado,H,H1,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA02HOME06,br,Calilao advanced to third;,1,Acton,Calilao,Maldonado,H,H1,1,Dalton,Acton,Calilao,H,H1,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA02HOME06,br,Maldonado out at home 3b to c.",1,Acton,Calilao,Maldonado,H,H1,2,Dalton,Acton,Calilao,H,H2,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA02HOME07,bat,Smith struck out swinging (0-2 KFS).,2,Dalton,Acton,Calilao,H,H2,3,Dalton,Acton,Calilao,H,H3,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA03AWAY01,bat,A. Schultz struck out swinging (1-2 KKBFS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA03AWAY02,bat,C. Kessler grounded out to 2b (3-2 SBBBF).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA03AWAY03,bat,B. Daniel struck out swinging (0-2 FFS).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA04HOME01,bat,J. Young grounded out to ss (2-2 BBKSF).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA04HOME02,bat,Fabian doubled to left center (0-0).,1,NA,NA,NA,A,A1,1,NA,Fabian,NA,C,C1,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA04HOME03,bat,McConnell popped up to 3b (1-1 FB).,1,NA,Fabian,NA,C,C1,2,NA,Fabian,NA,C,C2,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA04HOME04,bat,Langworthy walked (3-1 BSBBB).,2,NA,Fabian,NA,C,C2,2,Langworthy,Fabian,NA,E,E2,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA04HOME05,bat,Maldonado homered to left center  3 RBI (1-1 SB);,2,Langworthy,Fabian,NA,E,E2,2,NA,NA,NA,A,A2,1
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA04HOME05,br,Langworthy scored;,2,Langworthy,Fabian,NA,E,E2,2,NA,NA,NA,A,A2,1
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA04HOME05,br,Fabian scored.,2,Langworthy,Fabian,NA,E,E2,2,NA,NA,NA,A,A2,1
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA04HOME06,bat,Calilao flied out to cf (0-0).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA05AWAY01,bat,Jr. Shelby flied out to cf (2-2 KBSB).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA05AWAY02,bat,M. Gei flied out to lf (0-1 K).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA05AWAY03,bat,Z. Lewis reached on a fielding error by 3b (3-1 SBBB).,2,NA,NA,NA,A,A2,2,Lewis,NA,NA,B,B2,0
KENT_FLOR_0426201901,KENT_FLOR_0426201901_PA05AWAY04,br,Z. Lewis out at first p to 1b picked off.,2,Lewis,NA,NA,B,B2,3,NA,NA,NA,A,A3,0
