GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA01AWAY01,bat,B. Daniel struck out swinging (1-2 SSBS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA01AWAY02,bat,R. Shinn struck out swinging (0-2 SSS).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA01AWAY03,bat,T. Collett hit by pitch (1-0 B).,2,NA,NA,NA,A,A2,2,Collett,NA,NA,B,B2,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA01AWAY04,bat,"J. Shelby reached on a fielders choice (0-0);,2,Collett,NA,NA,B,B2,2,Shelby,NA,NA,B,B2,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA01AWAY04,br,T. Collett out at second 2b to ss.",2,Collett,NA,NA,B,B2,3,Shelby,NA,NA,B,B3,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA02HOME01,bat,Smith struck out swinging (1-2 BSFS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA02HOME02,bat,Watson popped up to ss (2-2 BFSFFBF).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA02HOME03,bat,Duplantis grounded out to ss (1-0 B).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA03AWAY01,bat,D. Reed flied out to cf (2-2 BFFBF).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA03AWAY02,bat,C. Kessler grounded out to 2b (3-2 SBBFBF).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA03AWAY03,bat,A. Schultz singled to third base (0-0).,2,NA,NA,NA,A,A2,2,Schultz,NA,NA,B,B2,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA03AWAY04,bat,E. Curtis popped up to 2b (0-1 S).,2,Schultz,NA,NA,B,B2,3,Schultz,NA,NA,B,B3,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA04HOME01,bat,Reid struck out swinging (1-2 SFBS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA04HOME02,bat,Cabrera struck out looking (2-2 SBBFK).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA04HOME03,bat,Garza hit by pitch (1-2 BSF).,2,NA,NA,NA,A,A2,2,Garza,NA,NA,B,B2,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA04HOME04,batbr,Beloso struck out swinging out at first c to 1b (2-2 SBBSS).,2,Garza,NA,NA,B,B2,3,Garza,NA,NA,B,B3,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA04HOME04,batbr,Beloso struck out swinging out at first c to 1b (2-2 SBBSS).,2,Garza,NA,NA,B,B2,3,Garza,NA,NA,B,B3,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA05AWAY01,bat,M. Gei grounded out to 1b unassisted (2-2 SSBB).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA05AWAY02,bat,B. Daniel struck out looking (0-2 SFS).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA05AWAY03,bat,R. Shinn struck out swinging (0-2 SSS).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA06HOME01,bat,Mathis struck out swinging (0-2 SSS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA06HOME02,bat,Broussard walked (3-1 BBSBB).,1,NA,NA,NA,A,A1,1,Broussard,NA,NA,B,B1,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA06HOME03,br,Broussard stole second.,1,Broussard,NA,NA,B,B1,1,NA,Broussard,NA,C,C1,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA06HOME04,bat,Smith walked (3-2 SBBFBFB).,1,NA,Broussard,NA,C,C1,1,Smith,Broussard,NA,E,E1,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA06HOME05,bat,Watson flied out to cf (1-2 SSB).,1,Smith,Broussard,NA,E,E1,2,Smith,Broussard,NA,E,E2,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA06HOME06,bat,Duplantis flied out to lf (2-1 SBB).,2,Smith,Broussard,NA,E,E2,3,Smith,Broussard,NA,E,E3,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA07AWAY01,bat,T. Collett struck out swinging (1-2 BSSS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA07AWAY02,bat,J. Shelby grounded out to 3b (1-0 B).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA07AWAY03,batbr,D. Reed out at first 1b to p (0-0).,2,NA,NA,NA,A,A2,2,NA,NA,NA,A,A2,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA07AWAY03,batbr,D. Reed out at first 1b to p (0-0).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA08HOME01,bat,Reid singled to right field (2-2 SSBB).,0,NA,NA,NA,A,A0,0,Reid,NA,NA,B,B0,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA08HOME02,bat,Cabrera reached on a fielding error by 2b (0-0);,0,Reid,NA,NA,B,B0,0,Cabrera,NA,NA,B,B0,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA08HOME02,br,Reid advanced to third.,0,Reid,NA,NA,B,B0,0,Cabrera,NA,Reid,F,F0,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA08HOME03,bat,Garza singled to center field  RBI (0-0);,0,Cabrera,NA,Reid,F,F0,0,Garza,NA,Reid,F,F0,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA08HOME03,br,Cabrera advanced to second;,0,Cabrera,NA,Reid,F,F0,0,Garza,Cabrera,Reid,H,H0,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA08HOME03,br,Reid scored unearned.,0,Cabrera,NA,Reid,F,F0,0,Garza,Cabrera,NA,E,E0,1
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA08HOME04,bat,"Beloso reached on a fielders choice (0-1 F);,0,Garza,Cabrera,NA,E,E0,0,Beloso,Cabrera,NA,E,E0,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA08HOME04,br,Garza out at second 2b to ss;,0,Garza,Cabrera,NA,E,E0,1,Beloso,Cabrera,NA,E,E1,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA08HOME04,br,Cabrera advanced to third.",0,Garza,Cabrera,NA,E,E0,1,Beloso,NA,Cabrera,F,F1,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA08HOME05,sub,C. Ayers to p for D. Marsh.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA08HOME06,bat,Mathis fouled into double play c to 1b (2-2 BBFF);,1,Beloso,NA,Cabrera,F,F1,2,Beloso,NA,Cabrera,F,F2,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA08HOME06,br,Beloso out on the play.,1,Beloso,NA,Cabrera,F,F1,3,NA,NA,Cabrera,D,D3,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA09AWAY01,bat,C. Kessler singled to right center (0-0).,0,NA,NA,NA,A,A0,0,Kessler,NA,NA,B,B0,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA09AWAY02,bat,A. Schultz singled through the left side (0-0);,0,Kessler,NA,NA,B,B0,0,Schultz,NA,NA,B,B0,0
KENT_LSTU_0317201901,KENT_LSTU_0317201901_PA09AWAY02,br,C. Kessler advanced to second.,0,Kessler,NA,NA,B,B0,0,Schultz,Kessler,NA,E,E0,0
