GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA01AWAY01,bat,A. Schultz grounded out to 2b (0-1).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA01AWAY02,bat,R. Shinn doubled to right field (1-0).,1,NA,NA,NA,A,A1,1,NA,Shinn,NA,C,C1,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA01AWAY03,bat,T. Collett flied out to rf (0-2).,1,NA,Shinn,NA,C,C1,2,NA,Shinn,NA,C,C2,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA01AWAY04,bat,Jr. Shelby walked (3-1).,2,NA,Shinn,NA,C,C2,2,Shelby,Shinn,NA,E,E2,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA01AWAY05,bat,B. Daniel struck out swinging (0-2).,2,Shelby,Shinn,NA,E,E2,3,Shelby,Shinn,NA,E,E3,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA02HOME01,bat,Holt singled to first base (1-2).,0,NA,NA,NA,A,A0,0,Holt,NA,NA,B,B0,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA02HOME02,bat,Cornelius grounded into double play ss to 2b to 1b (0-2);,0,Holt,NA,NA,B,B0,1,Holt,NA,NA,B,B1,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA02HOME02,br,Holt out on the play.,0,Holt,NA,NA,B,B0,2,NA,NA,NA,A,A2,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA02HOME03,bat,Misner struck out swinging (3-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA03AWAY01,bat,D. Reed struck out swinging (2-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA03AWAY02,bat,G Macciocchi struck out looking (1-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA03AWAY03,bat,C. Kessler struck out swinging (2-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA04HOME01,bat,Zimmermann singled to right field (1-2).,0,NA,NA,NA,A,A0,0,Zimmermann,NA,NA,B,B0,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA04HOME02,bat,McDaniel struck out swinging (2-2).,0,Zimmermann,NA,NA,B,B0,1,Zimmermann,NA,NA,B,B1,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA04HOME03,bat,Swanger fouled out to 3b (0-0).,1,Zimmermann,NA,NA,B,B1,2,Zimmermann,NA,NA,B,B2,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA04HOME04,bat,C. Peterson flied out to cf (1-2).,2,Zimmermann,NA,NA,B,B2,3,Zimmermann,NA,NA,B,B3,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA05AWAY01,bat,M. Gei struck out looking (2-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA05AWAY02,bat,A. Schultz struck out swinging (0-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA05AWAY03,bat,R. Shinn flied out to rf (0-0).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA06HOME01,bat,James struck out looking (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA06HOME02,bat,Gomez grounded out to ss (1-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA06HOME03,bat,Holt struck out looking (2-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA07AWAY01,bat,T. Collett popped up to 2b (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA07AWAY02,bat,Jr. Shelby grounded out to 3b (1-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA07AWAY03,bat,B. Daniel reached on an error by 3b (3-2).,2,NA,NA,NA,A,A2,2,Daniel,NA,NA,B,B2,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA07AWAY04,bat,D. Reed popped up to 3b (0-1).,2,Daniel,NA,NA,B,B2,3,Daniel,NA,NA,B,B3,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA08HOME01,bat,Cornelius popped up to ss (2-1).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA08HOME02,bat,Misner singled to center field (2-2).,1,NA,NA,NA,A,A1,1,Misner,NA,NA,B,B1,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA08HOME03,bat,Zimmermann doubled to left field  RBI (0-1);,1,Misner,NA,NA,B,B1,1,Misner,Zimmermann,NA,E,E1,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA08HOME03,br,Misner scored.,1,Misner,NA,NA,B,B1,1,NA,Zimmermann,NA,C,C1,1
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA08HOME04,bat,McDaniel grounded out to 2b (1-0);,1,NA,Zimmermann,NA,C,C1,2,NA,Zimmermann,NA,C,C2,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA08HOME04,br,Zimmermann advanced to third.,1,NA,Zimmermann,NA,C,C1,2,NA,NA,Zimmermann,D,D2,0
KENT_MIZZ_0406201901,KENT_MIZZ_0406201901_PA08HOME05,bat,Swanger grounded out to 2b (0-2).,2,NA,NA,Zimmermann,D,D2,3,NA,NA,Zimmermann,D,D3,0
