GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
KENT_OMSS_0414201901,KENT_OMSS_0414201901_PA01AWAY01,bat,A. Schultz struck out swinging.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_OMSS_0414201901,KENT_OMSS_0414201901_PA01AWAY02,bat,R. Shinn flied out to rf.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
KENT_OMSS_0414201901,KENT_OMSS_0414201901_PA01AWAY03,bat,C. Kessler struck out swinging.,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
KENT_OMSS_0414201901,KENT_OMSS_0414201901_PA02HOME01,bat,R. Olenek flied out to rf.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_OMSS_0414201901,KENT_OMSS_0414201901_PA02HOME02,bat,G. Kessinger grounded out to 2b.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
KENT_OMSS_0414201901,KENT_OMSS_0414201901_PA02HOME03,bat,T. Keenan grounded out to ss.,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
KENT_OMSS_0414201901,KENT_OMSS_0414201901_PA03AWAY01,bat,Jr. Shelby struck out looking.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_OMSS_0414201901,KENT_OMSS_0414201901_PA03AWAY02,bat,T. Collett homered to center field  RBI.,1,NA,NA,NA,A,A1,1,NA,NA,NA,A,A1,1
KENT_OMSS_0414201901,KENT_OMSS_0414201901_PA03AWAY03,bat,O. Adams Jr. struck out swinging.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
KENT_OMSS_0414201901,KENT_OMSS_0414201901_PA03AWAY04,bat,B. Daniel hit by pitch.,2,NA,NA,NA,A,A2,2,Daniel,NA,NA,B,B2,0
KENT_OMSS_0414201901,KENT_OMSS_0414201901_PA03AWAY05,br,B. Daniel stole second failed pickoff attempt.,2,Daniel,NA,NA,B,B2,2,NA,Daniel,NA,C,C2,0
KENT_OMSS_0414201901,KENT_OMSS_0414201901_PA03AWAY06,bat,D. Reed popped up to 3b.,2,NA,Daniel,NA,C,C2,3,NA,Daniel,NA,C,C3,0
KENT_OMSS_0414201901,KENT_OMSS_0414201901_PA04HOME01,bat,T. Dillard grounded out to 3b.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
KENT_OMSS_0414201901,KENT_OMSS_0414201901_PA04HOME02,bat,C. Johnson singled to right field.,1,NA,NA,NA,A,A1,1,Johnson,NA,NA,B,B1,0
KENT_OMSS_0414201901,KENT_OMSS_0414201901_PA04HOME03,bat,C. Zabowski singled through the right side;,1,Johnson,NA,NA,B,B1,1,Zabowski,NA,NA,B,B1,0
