GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA01AWAY01,bat,Watson popped up to 1b (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA01AWAY02,bat,Duplantis struck out swinging (1-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA01AWAY03,bat,Beloso walked (3-0).,2,NA,NA,NA,A,A2,2,Beloso,NA,NA,B,B2,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA01AWAY04,bat,Smith flied out to rf (2-1).,2,Beloso,NA,NA,B,B2,3,Beloso,NA,NA,B,B3,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA02HOME01,bat,Holcombe homered to right center  RBI (2-0).,0,NA,NA,NA,A,A0,0,NA,NA,NA,A,A0,1
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA02HOME02,bat,Reeves struck out swinging (0-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA02HOME03,bat,McCullough struck out swinging (0-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA02HOME04,bat,Gentry struck out looking (1-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA03AWAY01,bat,Dugas singled up the middle (2-1).,0,NA,NA,NA,A,A0,0,Dugas,NA,NA,B,B0,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA03AWAY02,bat,Reid flied out to lf (0-0).,0,Dugas,NA,NA,B,B0,1,Dugas,NA,NA,B,B1,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA03AWAY03,bat,Cabrera grounded out to p (0-1);,1,Dugas,NA,NA,B,B1,2,Dugas,NA,NA,B,B2,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA03AWAY03,br,Dugas advanced to second.,1,Dugas,NA,NA,B,B1,2,NA,Dugas,NA,C,C2,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA03AWAY04,bat,Bianco flied out to cf (2-1).,2,NA,Dugas,NA,C,C2,3,NA,Dugas,NA,C,C3,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA04HOME01,bat,Williamson singled through the left side (1-2).,0,NA,NA,NA,A,A0,0,Williamson,NA,NA,B,B0,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA04HOME02,bat,Auerbach flied out to cf (1-1).,0,Williamson,NA,NA,B,B0,1,Williamson,NA,NA,B,B1,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA04HOME03,bat,Breaux singled to right field (1-0);,1,Williamson,NA,NA,B,B1,1,Breaux,NA,NA,B,B1,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA04HOME03,br,Williamson advanced to third.,1,Williamson,NA,NA,B,B1,1,Breaux,NA,Williamson,F,F1,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA04HOME04,bat,Robinson struck out swinging (1-2);,1,Breaux,NA,Williamson,F,F1,2,Breaux,NA,Williamson,F,F2,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA04HOME04,br,Breaux stole second.,1,Breaux,NA,Williamson,F,F1,2,NA,Breaux,Williamson,G,G2,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA04HOME05,bat,Trousdale struck out swinging (3-2).,2,NA,Breaux,Williamson,G,G2,3,NA,Breaux,Williamson,G,G3,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA05AWAY01,bat,Mathis singled to left field (0-2).,0,NA,NA,NA,A,A0,0,Mathis,NA,NA,B,B0,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA05AWAY02,bat,Watson singled to third base (3-2);,0,Mathis,NA,NA,B,B0,0,Watson,NA,NA,B,B0,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA05AWAY02,br,Mathis advanced to second.,0,Mathis,NA,NA,B,B0,0,Watson,Mathis,NA,E,E0,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA05AWAY03,bat,"Duplantis reached on a fielders choice to pitcher  bunt (1-0);,0,Watson,Mathis,NA,E,E0,0,Duplantis,Mathis,NA,E,E0,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA05AWAY03,br,Watson advanced to second;,0,Watson,Mathis,NA,E,E0,0,Duplantis,Watson,NA,E,E0,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA05AWAY03,br,Mathis out at third p to 3b.",0,Watson,Mathis,NA,E,E0,1,Duplantis,Watson,NA,E,E1,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA05AWAY04,bat,Beloso singled up the middle  RBI (0-0);,1,Duplantis,Watson,NA,E,E1,1,Beloso,Watson,NA,E,E1,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA05AWAY04,br,Duplantis advanced to second;,1,Duplantis,Watson,NA,E,E1,1,Beloso,Duplantis,NA,E,E1,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA05AWAY04,br,Watson scored.,1,Duplantis,Watson,NA,E,E1,1,Beloso,Duplantis,NA,E,E1,1
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA05AWAY05,bat,"Smith reached on a fielders choice to first base (2-1);,1,Beloso,Duplantis,NA,E,E1,1,Smith,Duplantis,NA,E,E1,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA05AWAY05,br,Beloso out at second 1b to ss;,1,Beloso,Duplantis,NA,E,E1,2,Smith,Duplantis,NA,E,E2,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA05AWAY05,br,Duplantis advanced to third.",1,Beloso,Duplantis,NA,E,E1,2,Smith,NA,Duplantis,F,F2,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA05AWAY06,bat,Dugas struck out looking (0-2).,2,Smith,NA,Duplantis,F,F2,3,Smith,NA,Duplantis,F,F3,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA06HOME01,bat,Holcombe struck out swinging (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA06HOME02,bat,Reeves walked (3-0).,1,NA,NA,NA,A,A1,1,Reeves,NA,NA,B,B1,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA06HOME03,bat,McCullough popped up to 2b (2-2).,1,Reeves,NA,NA,B,B1,2,Reeves,NA,NA,B,B2,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA06HOME04,br,Reeves stole second.,2,Reeves,NA,NA,B,B2,2,NA,Reeves,NA,C,C2,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA06HOME05,bat,Gentry walked (3-0).,2,NA,Reeves,NA,C,C2,2,Gentry,Reeves,NA,E,E2,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA06HOME06,bat,Williamson struck out looking (3-2).,2,Gentry,Reeves,NA,E,E2,3,Gentry,Reeves,NA,E,E3,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA07AWAY01,bat,Reid walked (3-1).,0,NA,NA,NA,A,A0,0,Reid,NA,NA,B,B0,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA07AWAY02,bat,Cabrera struck out swinging (1-2).,0,Reid,NA,NA,B,B0,1,Reid,NA,NA,B,B1,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA07AWAY03,bat,Bianco grounded out to 3b (0-0);,1,Reid,NA,NA,B,B1,2,Reid,NA,NA,B,B2,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA07AWAY03,br,Reid advanced to second.,1,Reid,NA,NA,B,B1,2,NA,Reid,NA,C,C2,0
LSTU_ABAM_0427201901,LSTU_ABAM_0427201901_PA07AWAY04,bat,Mathis walked (3-2);,2,NA,Reid,NA,C,C2,2,Mathis,Reid,NA,E,E2,0
