GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
LSTU_GEOR_0324201901,LSTU_GEOR_0324201901_PA01AWAY01,bat,Smith fouled out to lf.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
LSTU_GEOR_0324201901,LSTU_GEOR_0324201901_PA01AWAY02,bat,Watson popped up to 2b.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
LSTU_GEOR_0324201901,LSTU_GEOR_0324201901_PA01AWAY03,bat,Duplantis flied out to lf.,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
LSTU_GEOR_0324201901,LSTU_GEOR_0324201901_PA02HOME01,bat,Shepherd grounded out to 3b.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
LSTU_GEOR_0324201901,LSTU_GEOR_0324201901_PA02HOME02,bat,King  R. flied out to rf.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
LSTU_GEOR_0324201901,LSTU_GEOR_0324201901_PA02HOME03,bat,Schunk flied out to cf.,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
LSTU_GEOR_0324201901,LSTU_GEOR_0324201901_PA03AWAY01,bat,Reid walked.,0,NA,NA,NA,A,A0,0,Reid,NA,NA,B,B0,0
LSTU_GEOR_0324201901,LSTU_GEOR_0324201901_PA03AWAY02,bat,Cabrera grounded into double play p to 2b to ss to 1b;,0,Reid,NA,NA,B,B0,1,Reid,NA,NA,B,B1,0
LSTU_GEOR_0324201901,LSTU_GEOR_0324201901_PA03AWAY02,br,Reid out on the play.,0,Reid,NA,NA,B,B0,2,NA,NA,NA,A,A2,0
LSTU_GEOR_0324201901,LSTU_GEOR_0324201901_PA03AWAY03,bat,DiGiacomo singled to right field.,2,NA,NA,NA,A,A2,2,Digiacomo,NA,NA,B,B2,0
LSTU_GEOR_0324201901,LSTU_GEOR_0324201901_PA03AWAY04,br,DiGiacomo out at second c to ss caught stealing.,2,Digiacomo,NA,NA,B,B2,3,NA,NA,NA,A,A3,0
LSTU_GEOR_0324201901,LSTU_GEOR_0324201901_PA04HOME01,bat,Talley singled to left field.,0,NA,NA,NA,A,A0,0,Talley,NA,NA,B,B0,0
LSTU_GEOR_0324201901,LSTU_GEOR_0324201901_PA04HOME02,bat,Cable popped up to 3b.,0,Talley,NA,NA,B,B0,1,Talley,NA,NA,B,B1,0
LSTU_GEOR_0324201901,LSTU_GEOR_0324201901_PA04HOME03,bat,Rogers doubled to right field;,1,Talley,NA,NA,B,B1,1,Talley,Rogers,NA,E,E1,0
LSTU_GEOR_0324201901,LSTU_GEOR_0324201901_PA04HOME03,br,Talley advanced to third.,1,Talley,NA,NA,B,B1,1,NA,Rogers,Talley,G,G1,0
LSTU_GEOR_0324201901,LSTU_GEOR_0324201901_PA04HOME04,bat,Meadows struck out swinging.,1,NA,Rogers,Talley,G,G1,2,NA,Rogers,Talley,G,G2,0
