GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA01AWAY01,bat,Smith struck out looking (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA01AWAY02,bat,Watson struck out swinging (0-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA01AWAY03,bat,Duplantis walked (3-2).,2,NA,NA,NA,A,A2,2,Duplantis,NA,NA,B,B2,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA01AWAY04,bat,Cabrera homered to right field  2 RBI (0-1);,2,Duplantis,NA,NA,B,B2,2,NA,NA,NA,A,A2,1
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA01AWAY04,br,Duplantis scored.,2,Duplantis,NA,NA,B,B2,2,NA,NA,NA,A,A2,1
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA01AWAY05,bat,DiGiacomo struck out swinging (1-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA02HOME01,bat,Mangum grounded out to ss (1-1).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA02HOME02,bat,Westburg doubled to left field (0-1).,1,NA,NA,NA,A,A1,1,NA,Westburg,NA,C,C1,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA02HOME03,bat,Allen fouled out to 3b (3-2).,1,NA,Westburg,NA,C,C1,2,NA,Westburg,NA,C,C2,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA02HOME04,bat,MacNamee walked (3-1).,2,NA,Westburg,NA,C,C2,2,Macnamee,Westburg,NA,E,E2,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA02HOME05,bat,Foscue struck out looking (3-2).,2,Macnamee,Westburg,NA,E,E2,3,Macnamee,Westburg,NA,E,E3,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA03AWAY01,bat,Mathis struck out looking (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA03AWAY02,bat,Beloso struck out swinging (3-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA03AWAY03,bat,Hughes struck out swinging (2-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA04HOME01,bat,Skelton struck out looking (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA04HOME02,bat,Jordan  R. grounded out to 2b (1-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA04HOME03,bat,Hatcher singled up the middle (1-2).,2,NA,NA,NA,A,A2,2,Hatcher,NA,NA,B,B2,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA04HOME04,bat,Halter struck out swinging (2-2).,2,Hatcher,NA,NA,B,B2,3,Hatcher,NA,NA,B,B3,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA05AWAY01,bat,Broussard singled through the left side (1-2).,0,NA,NA,NA,A,A0,0,Broussard,NA,NA,B,B0,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA05AWAY02,bat,Smith flied out to rf (0-1).,0,Broussard,NA,NA,B,B0,1,Broussard,NA,NA,B,B1,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA05AWAY03,bat,Watson flied out to cf (0-0).,1,Broussard,NA,NA,B,B1,2,Broussard,NA,NA,B,B2,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA05AWAY04,br,Broussard out at second p to 1b to ss caught stealing.,2,Broussard,NA,NA,B,B2,3,NA,NA,NA,A,A3,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA06HOME01,bat,Mangum doubled down the lf line (1-2).,0,NA,NA,NA,A,A0,0,NA,Mangum,NA,C,C0,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA06HOME02,bat,Westburg grounded out to 3b (2-2).,0,NA,Mangum,NA,C,C0,1,NA,Mangum,NA,C,C1,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA06HOME03,bat,Allen flied out to rf (0-1).,1,NA,Mangum,NA,C,C1,2,NA,Mangum,NA,C,C2,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA06HOME04,bat,MacNamee hit by pitch (0-0).,2,NA,Mangum,NA,C,C2,2,Macnamee,Mangum,NA,E,E2,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA06HOME05,bat,Foscue homered to left field  3 RBI (1-2);,2,Macnamee,Mangum,NA,E,E2,2,NA,NA,NA,A,A2,1
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA06HOME05,br,MacNamee scored;,2,Macnamee,Mangum,NA,E,E2,2,NA,NA,NA,A,A2,1
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA06HOME05,br,Mangum scored.,2,Macnamee,Mangum,NA,E,E2,2,NA,NA,NA,A,A2,1
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA06HOME06,bat,Skelton singled to shortstop (1-2).,2,NA,NA,NA,A,A2,2,Skelton,NA,NA,B,B2,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA06HOME07,bat,Jordan  R. popped up to ss (3-2).,2,Skelton,NA,NA,B,B2,3,Skelton,NA,NA,B,B3,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA07AWAY01,bat,Duplantis struck out swinging (2-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
LSTU_MSST_0328201901,LSTU_MSST_0328201901_PA07AWAY02,bat,Cabrera struck out swinging (2-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
