GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA01AWAY01,bat,Holt walked (3-1).,0,NA,NA,NA,A,A0,0,Holt,NA,NA,B,B0,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA01AWAY02,bat,Mann singled to catcher  bunt (2-1);,0,Holt,NA,NA,B,B0,0,Mann,NA,NA,B,B0,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA01AWAY02,br,Holt advanced to second.,0,Holt,NA,NA,B,B0,0,Mann,Holt,NA,E,E0,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA01AWAY03,bat,"Misner reached on a fielders choice to second base (3-2);,0,Mann,Holt,NA,E,E0,0,Misner,Holt,NA,E,E0,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA01AWAY03,br,Mann advanced to second on a fielding error by ss;,0,Mann,Holt,NA,E,E0,0,Misner,Mann,NA,E,E0,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA01AWAY03,br,Holt advanced to third.",0,Mann,Holt,NA,E,E0,0,Misner,Mann,Holt,H,H0,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA01AWAY04,bat,Cornelius struck out looking (0-2).,0,Misner,Mann,Holt,H,H0,1,Misner,Mann,Holt,H,H1,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA01AWAY05,bat,McDaniel grounded out to 1b unassisted  interference (1-2);,1,Misner,Mann,Holt,H,H1,2,Misner,Mann,Holt,H,H2,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA01AWAY05,br,Misner out at second 2b to ss.,1,Misner,Mann,Holt,H,H1,3,NA,Mann,Holt,G,G3,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA02HOME01,bat,C. Martin singled to shortstop (1-1).,0,NA,NA,NA,A,A0,0,Martin,NA,NA,B,B0,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA02HOME02,other,REVIEW on if Martin was safe or out on groundball;,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA02HOME02,other,CONFIRMED SAFE.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA02HOME03,bat,H. Kjerstad struck out swinging (0-2).,0,Martin,NA,NA,B,B0,1,Martin,NA,NA,B,B1,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA02HOME04,bat,T. Ezell flied out to cf (2-2).,1,Martin,NA,NA,B,B1,2,Martin,NA,NA,B,B2,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA02HOME05,br,C. Martin stole second.,2,Martin,NA,NA,B,B2,2,NA,Martin,NA,C,C2,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA02HOME06,bat,D. Fletcher reached on a throwing error by ss (2-2);,2,NA,Martin,NA,C,C2,2,Fletcher,Martin,NA,E,E2,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA02HOME06,br,C. Martin scored unearned.,2,NA,Martin,NA,C,C2,2,Fletcher,NA,NA,B,B2,1
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA02HOME07,br,D. Fletcher out at first p to 1b picked off.,2,Fletcher,NA,NA,B,B2,3,NA,NA,NA,A,A3,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA03AWAY01,bat,Ortiz struck out looking (3-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA03AWAY02,bat,Vierling singled to center field (1-0).,1,NA,NA,NA,A,A1,1,Vierling,NA,NA,B,B1,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA03AWAY03,bat,Zimmermann flied out to cf (2-2).,1,Vierling,NA,NA,B,B1,2,Vierling,NA,NA,B,B2,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA03AWAY04,bat,C. Peterson flied out to cf (1-2).,2,Vierling,NA,NA,B,B2,3,Vierling,NA,NA,B,B3,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA04HOME01,bat,C. Opitz walked (3-1).,0,NA,NA,NA,A,A0,0,Opitz,NA,NA,B,B0,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA04HOME02,bat,M. Goodheart singled up the middle (2-0);,0,Opitz,NA,NA,B,B0,0,Goodheart,NA,NA,B,B0,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA04HOME02,br,C. Opitz advanced to second.,0,Opitz,NA,NA,B,B0,0,Goodheart,Opitz,NA,E,E0,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA04HOME03,bat,J. Kenley struck out looking (0-2).,0,Goodheart,Opitz,NA,E,E0,1,Goodheart,Opitz,NA,E,E1,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA04HOME04,bat,J. Nesbit singled down the rf line (0-1);,1,Goodheart,Opitz,NA,E,E1,1,Nesbit,Opitz,NA,E,E1,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA04HOME04,br,M. Goodheart advanced to second;,1,Goodheart,Opitz,NA,E,E1,1,Nesbit,Goodheart,NA,E,E1,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA04HOME04,br,C. Opitz advanced to third.,1,Goodheart,Opitz,NA,E,E1,1,Nesbit,Goodheart,Opitz,H,H1,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA04HOME05,bat,C. Franklin flied out to rf  SF  RBI (0-1);,1,Nesbit,Goodheart,Opitz,H,H1,2,Nesbit,Goodheart,Opitz,H,H2,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA04HOME05,br,M. Goodheart advanced to third;,1,Nesbit,Goodheart,Opitz,H,H1,2,Nesbit,NA,Goodheart,F,F2,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA04HOME05,br,C. Opitz scored.,1,Nesbit,Goodheart,Opitz,H,H1,2,Nesbit,NA,Goodheart,F,F2,1
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA04HOME06,bat,C. Martin lined out to cf (0-0).,2,Nesbit,NA,Goodheart,F,F2,3,Nesbit,NA,Goodheart,F,F3,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA05AWAY01,bat,Holt grounded out to 1b unassisted (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA05AWAY02,bat,Mann grounded out to 2b (1-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA05AWAY03,bat,Misner grounded out to ss (2-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA06HOME01,bat,H. Kjerstad struck out swinging (0-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA06HOME02,bat,T. Ezell struck out looking (3-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA06HOME03,bat,D. Fletcher struck out looking (2-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA07AWAY01,bat,Cornelius grounded out to ss (1-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA07AWAY02,bat,McDaniel grounded out to 2b (0-0).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA07AWAY03,bat,Ortiz struck out swinging (0-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA08HOME01,bat,C. Opitz hit by pitch (0-2).,0,NA,NA,NA,A,A0,0,Opitz,NA,NA,B,B0,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA08HOME02,br,C. Opitz advanced to second on a wild pitch.,0,Opitz,NA,NA,B,B0,0,NA,Opitz,NA,C,C0,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA08HOME03,bat,M. Goodheart singled to right center (1-1);,0,NA,Opitz,NA,C,C0,0,Goodheart,Opitz,NA,E,E0,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA08HOME03,br,C. Opitz advanced to third.,0,NA,Opitz,NA,C,C0,0,Goodheart,NA,Opitz,F,F0,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA08HOME04,bat,J. Kenley struck out swinging (2-2).,0,Goodheart,NA,Opitz,F,F0,1,Goodheart,NA,Opitz,F,F1,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA08HOME05,batbr,"J. Nesbit reached on a fielders choice to pitcher advanced to second (0-0);,1,Goodheart,NA,Opitz,F,F1,1,Nesbit,NA,Opitz,F,F1,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA08HOME05,batbr,"J. Nesbit reached on a fielders choice to pitcher advanced to second (0-0);,1,Goodheart,NA,Opitz,F,F1,1,NA,Nesbit,Opitz,G,G1,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA08HOME05,br,M. Goodheart advanced to third;,1,Goodheart,NA,Opitz,F,F1,1,NA,Nesbit,Goodheart,G,G1,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA08HOME05,br,C. Opitz out at home p to 3b to c.",1,Goodheart,NA,Opitz,F,F1,2,NA,Nesbit,Goodheart,G,G2,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA08HOME06,bat,C. Franklin singled up the middle  2 RBI (1-2);,2,NA,Nesbit,Goodheart,G,G2,2,Franklin,Nesbit,Goodheart,H,H2,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA08HOME06,br,J. Nesbit scored;,2,NA,Nesbit,Goodheart,G,G2,2,Franklin,NA,Goodheart,F,F2,1
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA08HOME06,br,M. Goodheart scored.,2,NA,Nesbit,Goodheart,G,G2,2,Franklin,NA,NA,B,B2,1
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA08HOME07,br,C. Franklin stole second.,2,Franklin,NA,NA,B,B2,2,NA,Franklin,NA,C,C2,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA08HOME08,bat,C. Martin lined out to 3b (1-2).,2,NA,Franklin,NA,C,C2,3,NA,Franklin,NA,C,C3,0
MIZZ_ARKS_0316201901,MIZZ_ARKS_0316201901_PA09AWAY01,bat,Vierling struck out swinging (0-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
