GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA01AWAY01,bat,Holt struck out looking (2-2 BKBSK).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA01AWAY02,bat,Cornelius doubled to center field (1-0 B).,1,NA,NA,NA,A,A1,1,NA,Cornelius,NA,C,C1,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA01AWAY03,br,Cornelius out at third p to 3b to ss to 3b picked off caught stealing.,1,NA,Cornelius,NA,C,C1,2,NA,NA,NA,A,A2,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA01AWAY04,bat,Misner struck out swinging (2-2 KFBFFFBFFS).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA02HOME01,bat,Maxwell hit by pitch (3-2 FBBFFB).,0,NA,NA,NA,A,A0,0,Maxwell,NA,NA,B,B0,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA02HOME02,br,Maxwell stole second.,0,Maxwell,NA,NA,B,B0,0,NA,Maxwell,NA,C,C0,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA02HOME03,bat,King  R. popped up to ss (0-2 KS).,0,NA,Maxwell,NA,C,C0,1,NA,Maxwell,NA,C,C1,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA02HOME04,bat,Schunk popped up to ss (0-1 S).,1,NA,Maxwell,NA,C,C1,2,NA,Maxwell,NA,C,C2,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA02HOME05,bat,Talley struck out swinging (2-2 KBSBFFS).,2,NA,Maxwell,NA,C,C2,3,NA,Maxwell,NA,C,C3,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA03AWAY01,bat,Zimmermann struck out swinging (1-2 KBKFS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA03AWAY02,bat,McDaniel singled to pitcher (0-1 K).,1,NA,NA,NA,A,A1,1,Mcdaniel,NA,NA,B,B1,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA03AWAY03,br,McDaniel out at second c to 2b caught stealing.,1,Mcdaniel,NA,NA,B,B1,2,NA,NA,NA,A,A2,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA03AWAY04,other,McDaniel CS Under Review. Confirmed.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA03AWAY05,bat,Vierling struck out swinging (3-2 BFBBKS).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA04HOME01,bat,Shepherd walked (3-2 BSFFBFBB).,0,NA,NA,NA,A,A0,0,Shepherd,NA,NA,B,B0,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA04HOME02,bat,Biggar grounded out to 3b (1-1 KB);,0,Shepherd,NA,NA,B,B0,1,Shepherd,NA,NA,B,B1,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA04HOME02,br,Shepherd advanced to second.,0,Shepherd,NA,NA,B,B0,1,NA,Shepherd,NA,C,C1,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA04HOME03,bat,Sullivan walked (3-0 BBBB).,1,NA,Shepherd,NA,C,C1,1,Sullivan,Shepherd,NA,E,E1,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA04HOME04,bat,Meadows flied out to cf (1-2 KBSFFK).,1,Sullivan,Shepherd,NA,E,E1,2,Sullivan,Shepherd,NA,E,E2,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA04HOME05,bat,Jernigan struck out swinging (1-2 BKSS).,2,Sullivan,Shepherd,NA,E,E2,3,Sullivan,Shepherd,NA,E,E3,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA05AWAY01,bat,Ortiz grounded out to ss (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA05AWAY02,bat,Gomez struck out swinging (1-2 KBKS).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA05AWAY03,bat,C. Peterson grounded out to ss (3-2 KBBBK).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA06HOME01,bat,Maxwell struck out looking (0-2 FSK).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA06HOME02,bat,King  R. struck out swinging (1-2 KFBS).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA06HOME03,bat,Schunk struck out swinging (0-2 FSS).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA07AWAY01,bat,Holt struck out swinging (2-2 BKSBS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA07AWAY02,bat,Cornelius grounded out to 2b (1-2 KFB).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA07AWAY03,bat,Misner struck out looking (1-2 KBFK).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA08HOME01,bat,Talley walked (3-0 BBBB).,0,NA,NA,NA,A,A0,0,Talley,NA,NA,B,B0,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA08HOME02,bat,Shepherd struck out looking (1-2 BFFK).,0,Talley,NA,NA,B,B0,1,Talley,NA,NA,B,B1,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA08HOME03,bat,Biggar grounded into double play 3b to 2b to 1b (0-2 KSF);,1,Talley,NA,NA,B,B1,2,Talley,NA,NA,B,B2,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA08HOME03,br,Talley out on the play.,1,Talley,NA,NA,B,B1,3,NA,NA,NA,A,A3,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA09AWAY01,bat,Zimmermann grounded out to ss (0-2 SK).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA09AWAY02,bat,McDaniel fouled out to lf (0-1 F).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA09AWAY03,bat,Vierling flied out to rf (0-1 F).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA10HOME01,bat,Sullivan flied out to cf (0-1 K).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA10HOME02,batbr,Meadows struck out out at first c to 1b (2-2 BSFFFBK).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA10HOME02,batbr,Meadows struck out out at first c to 1b (2-2 BSFFFBK).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA10HOME03,bat,Jernigan grounded out to 1b unassisted (1-2 KKB).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA11AWAY01,bat,Ortiz singled to right field (3-2 KBBBF).,0,NA,NA,NA,A,A0,0,Ortiz,NA,NA,B,B0,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA11AWAY02,batbr,Gomez out at first 1b to p (1-2 SFB);,0,Ortiz,NA,NA,B,B0,0,Ortiz,NA,NA,B,B0,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA11AWAY02,batbr,Gomez out at first 1b to p (1-2 SFB);,0,Ortiz,NA,NA,B,B0,1,Ortiz,NA,NA,B,B1,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA11AWAY02,br,Ortiz advanced to second.,0,Ortiz,NA,NA,B,B0,1,NA,Ortiz,NA,C,C1,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA11AWAY03,bat,"C. Peterson reached on a fielders choice (2-2 BBKS);,1,NA,Ortiz,NA,C,C1,1,Peterson,Ortiz,NA,E,E1,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA11AWAY03,br,Ortiz out at third p to 3b.",1,NA,Ortiz,NA,C,C1,2,Peterson,NA,NA,B,B2,0
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA11AWAY04,other,Ortiz tagged out at 3rd Under Review. Confirmed.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZZ_GEOR_0418201901,MIZZ_GEOR_0418201901_PA11AWAY05,bat,Holt struck out swinging (2-2 FBFBS).,2,Peterson,NA,NA,B,B2,3,Peterson,NA,NA,B,B3,0
