GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA01AWAY01,bat,Holt hit by pitch (2-2).,0,NA,NA,NA,A,A0,0,Holt,NA,NA,B,B0,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA01AWAY02,bat,Misner popped up to c (1-1).,0,Holt,NA,NA,B,B0,1,Holt,NA,NA,B,B1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA01AWAY03,bat,Zimmermann walked (3-2);,1,Holt,NA,NA,B,B1,1,Zimmermann,NA,NA,B,B1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA01AWAY03,br,Holt advanced to second.,1,Holt,NA,NA,B,B1,1,Zimmermann,Holt,NA,E,E1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA01AWAY04,bat,Cornelius singled down the 1b line  RBI (0-1);,1,Zimmermann,Holt,NA,E,E1,1,Cornelius,Holt,NA,E,E1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA01AWAY04,br,Zimmermann advanced to third;,1,Zimmermann,Holt,NA,E,E1,1,Cornelius,Holt,Zimmermann,H,H1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA01AWAY04,br,Holt scored.,1,Zimmermann,Holt,NA,E,E1,1,Cornelius,NA,Zimmermann,F,F1,1
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA01AWAY05,br,Cornelius advanced to second on a wild pitch.,1,Cornelius,NA,Zimmermann,F,F1,1,NA,Cornelius,Zimmermann,G,G1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA01AWAY06,bat,"McDaniel reached on a fielders choice to pitcher (1-2);,1,NA,Cornelius,Zimmermann,G,G1,1,Mcdaniel,Cornelius,Zimmermann,H,H1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA01AWAY06,br,Zimmermann out at home p unassisted.",1,NA,Cornelius,Zimmermann,G,G1,2,Mcdaniel,Cornelius,NA,E,E2,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA01AWAY07,bat,Vierling struck out swinging (1-2).,2,Mcdaniel,Cornelius,NA,E,E2,3,Mcdaniel,Cornelius,NA,E,E3,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA02HOME01,bat,DELOACH grounded out to ss (0-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA02HOME02,batbr,FOSTER out at first 1b to p (2-1).,1,NA,NA,NA,A,A1,1,NA,NA,NA,A,A1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA02HOME02,batbr,FOSTER out at first 1b to p (2-1).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA02HOME03,bat,SHEWMAKE grounded out to ss (2-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA03AWAY01,batbr,A. Peterson struck out swinging out at first c to 1b (0-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA03AWAY01,batbr,A. Peterson struck out swinging out at first c to 1b (0-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA03AWAY02,bat,Gomez walked (3-2).,1,NA,NA,NA,A,A1,1,Gomez,NA,NA,B,B1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA03AWAY03,bat,C. Peterson grounded out to c unassisted (0-0).,1,Gomez,NA,NA,B,B1,2,Gomez,NA,NA,B,B2,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA03AWAY04,bat,Holt flied out to lf (3-2).,2,Gomez,NA,NA,B,B2,3,Gomez,NA,NA,B,B3,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA04HOME01,bat,DUCOFF singled to center field (2-1).,0,NA,NA,NA,A,A0,0,Ducoff,NA,NA,B,B0,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA04HOME02,bat,COLEMAN  T. struck out swinging (0-2).,0,Ducoff,NA,NA,B,B0,1,Ducoff,NA,NA,B,B1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA04HOME03,bat,FRIZZELL singled through the right side (0-2);,1,Ducoff,NA,NA,B,B1,1,Frizzell,NA,NA,B,B1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA04HOME03,br,DUCOFF advanced to second.,1,Ducoff,NA,NA,B,B1,1,Frizzell,Ducoff,NA,E,E1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA04HOME04,bat,MORRIS singled to left field (0-1);,1,Frizzell,Ducoff,NA,E,E1,1,Morris,Ducoff,NA,E,E1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA04HOME04,br,FRIZZELL advanced to second;,1,Frizzell,Ducoff,NA,E,E1,1,Morris,Frizzell,NA,E,E1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA04HOME04,br,DUCOFF advanced to third.,1,Frizzell,Ducoff,NA,E,E1,1,Morris,Frizzell,Ducoff,H,H1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA04HOME05,bat,WALTERS grounded into double play 2b to ss to 1b (3-2);,1,Morris,Frizzell,Ducoff,H,H1,2,Morris,Frizzell,Ducoff,H,H2,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA04HOME05,br,MORRIS out on the play.,1,Morris,Frizzell,Ducoff,H,H1,3,NA,Frizzell,Ducoff,G,G3,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA05AWAY01,bat,Misner struck out swinging (2-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA05AWAY02,bat,Zimmermann grounded out to ss (1-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA05AWAY03,bat,Cornelius flied out to rf (3-1).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA06HOME01,bat,WATSON flied out to lf (2-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA06HOME02,bat,DELOACH flied out to cf (1-0).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA06HOME03,bat,FOSTER struck out looking (0-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA07AWAY01,bat,McDaniel doubled down the 3b line (0-1).,0,NA,NA,NA,A,A0,0,NA,Mcdaniel,NA,C,C0,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA07AWAY02,bat,Vierling struck out swinging (2-2).,0,NA,Mcdaniel,NA,C,C0,1,NA,Mcdaniel,NA,C,C1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA07AWAY03,bat,A. Peterson singled to left field (2-1);,1,NA,Mcdaniel,NA,C,C1,1,Peterson,Mcdaniel,NA,E,E1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA07AWAY03,br,McDaniel advanced to third.,1,NA,Mcdaniel,NA,C,C1,1,Peterson,NA,Mcdaniel,F,F1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA07AWAY04,sub,MILLER to p for MENEFEE.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA07AWAY05,bat,Gomez singled  bunt  RBI (0-0);,1,Peterson,NA,Mcdaniel,F,F1,1,Gomez,NA,Mcdaniel,F,F1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA07AWAY05,br,A. Peterson advanced to second;,1,Peterson,NA,Mcdaniel,F,F1,1,Gomez,Peterson,Mcdaniel,H,H1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA07AWAY05,br,McDaniel scored.,1,Peterson,NA,Mcdaniel,F,F1,1,Gomez,Peterson,NA,E,E1,1
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA07AWAY06,bat,C. Peterson struck out swinging (2-2).,1,Gomez,Peterson,NA,E,E1,2,Gomez,Peterson,NA,E,E2,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA07AWAY07,bat,Holt popped up to 3b (0-1).,2,Gomez,Peterson,NA,E,E2,3,Gomez,Peterson,NA,E,E3,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA08HOME01,bat,SHEWMAKE singled up the middle (1-2).,0,NA,NA,NA,A,A0,0,Shewmake,NA,NA,B,B0,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA08HOME02,bat,DUCOFF popped up to 2b (0-2).,0,Shewmake,NA,NA,B,B0,1,Shewmake,NA,NA,B,B1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA08HOME03,br,SHEWMAKE advanced to second on a wild pitch.,1,Shewmake,NA,NA,B,B1,1,NA,Shewmake,NA,C,C1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA08HOME04,bat,COLEMAN  T. fouled out to c (3-2).,1,NA,Shewmake,NA,C,C1,2,NA,Shewmake,NA,C,C2,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA08HOME05,bat,FRIZZELL reached on a fielding error by p (1-2);,2,NA,Shewmake,NA,C,C2,2,Frizzell,Shewmake,NA,E,E2,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA08HOME05,br,SHEWMAKE advanced to third.,2,NA,Shewmake,NA,C,C2,2,Frizzell,NA,Shewmake,F,F2,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA08HOME06,bat,MORRIS hit by pitch (0-0);,2,Frizzell,NA,Shewmake,F,F2,2,Morris,NA,Shewmake,F,F2,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA08HOME06,br,FRIZZELL advanced to second.,2,Frizzell,NA,Shewmake,F,F2,2,Morris,Frizzell,Shewmake,H,H2,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA08HOME07,bat,WALTERS reached on a fielding error by 1b (0-1);,2,Morris,Frizzell,Shewmake,H,H2,2,Walters,Frizzell,Shewmake,H,H2,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA08HOME07,br,MORRIS advanced to third;,2,Morris,Frizzell,Shewmake,H,H2,2,Walters,Frizzell,Morris,H,H2,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA08HOME07,br,FRIZZELL scored unearned;,2,Morris,Frizzell,Shewmake,H,H2,2,Walters,NA,Morris,F,F2,1
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA08HOME07,br,SHEWMAKE scored unearned.,2,Morris,Frizzell,Shewmake,H,H2,2,Walters,NA,Morris,F,F2,1
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA08HOME08,bat,WATSON grounded out to 1b unassisted (1-2).,2,Walters,NA,Morris,F,F2,3,Walters,NA,Morris,F,F3,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA09AWAY01,bat,Misner grounded out to 2b (2-1).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA09AWAY02,bat,Zimmermann singled to left field (0-1).,1,NA,NA,NA,A,A1,1,Zimmermann,NA,NA,B,B1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA09AWAY03,bat,Cornelius flied out to cf (0-1).,1,Zimmermann,NA,NA,B,B1,2,Zimmermann,NA,NA,B,B2,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA09AWAY04,bat,McDaniel flied out to rf (0-0).,2,Zimmermann,NA,NA,B,B2,3,Zimmermann,NA,NA,B,B3,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA10HOME01,bat,DELOACH grounded out to 3b  bunt (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA10HOME02,bat,FOSTER grounded out to p (1-0).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA10HOME03,bat,SHEWMAKE struck out swinging (0-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA11AWAY01,bat,Vierling walked (3-2).,0,NA,NA,NA,A,A0,0,Vierling,NA,NA,B,B0,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA11AWAY02,batbr,A. Peterson out at first 1b to 2b SAC bunt (0-0);,0,Vierling,NA,NA,B,B0,0,Vierling,NA,NA,B,B0,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA11AWAY02,batbr,A. Peterson out at first 1b to 2b SAC bunt (0-0);,0,Vierling,NA,NA,B,B0,1,Vierling,NA,NA,B,B1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA11AWAY02,br,Vierling advanced to second.,0,Vierling,NA,NA,B,B0,1,NA,Vierling,NA,C,C1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA11AWAY03,bat,Gomez walked (3-2).,1,NA,Vierling,NA,C,C1,1,Gomez,Vierling,NA,E,E1,0
MIZZ_TXAM_0331201901,MIZZ_TXAM_0331201901_PA11AWAY04,sub,Broyles pinch hit for C. Peterson.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
