GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA01AWAY01,bat,Broyles lined out to 3b (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA01AWAY02,bat,Cornelius struck out looking (2-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA01AWAY03,bat,Misner popped up to 3b (2-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA02HOME01,bat,Martin grounded out to p (0-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA02HOME02,bat,Bleday grounded out to p  bunt (0-0).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA02HOME03,bat,Paul flied out to lf (1-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA03AWAY01,bat,Zimmermann walked (3-1).,0,NA,NA,NA,A,A0,0,Zimmermann,NA,NA,B,B0,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA03AWAY02,bat,McDaniel lined into double play ss to 1b (1-2);,0,Zimmermann,NA,NA,B,B0,1,Zimmermann,NA,NA,B,B1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA03AWAY02,br,Zimmermann out on the play.,0,Zimmermann,NA,NA,B,B0,2,NA,NA,NA,A,A2,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA03AWAY03,bat,Gomez struck out swinging (1-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA04HOME01,bat,Clarke grounded out to p (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA04HOME02,bat,DeMarco flied out to rf (0-1).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA04HOME03,bat,Scott doubled to left field (2-2).,2,NA,NA,NA,A,A2,2,NA,Scott,NA,C,C2,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA04HOME04,br,Scott stole third.,2,NA,Scott,NA,C,C2,2,NA,NA,Scott,D,D2,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA04HOME05,bat,Ray struck out swinging (2-2).,2,NA,NA,Scott,D,D2,3,NA,NA,Scott,D,D3,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA05AWAY01,bat,Ortiz flied out to lf (3-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA05AWAY02,bat,Vierling singled to third base (1-1).,1,NA,NA,NA,A,A1,1,Vierling,NA,NA,B,B1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA05AWAY03,bat,Brumfield struck out looking (1-2).,1,Vierling,NA,NA,B,B1,2,Vierling,NA,NA,B,B2,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA05AWAY04,bat,Broyles struck out looking (1-2).,2,Vierling,NA,NA,B,B2,3,Vierling,NA,NA,B,B3,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA06HOME01,sub,Duvall pinch hit for Raby.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA06HOME02,bat,Duvall doubled down the lf line (1-0).,0,NA,NA,NA,A,A0,0,NA,Duvall,NA,C,C0,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA06HOME03,bat,Infante walked (3-2).,0,NA,Duvall,NA,C,C0,0,Infante,Duvall,NA,E,E0,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA06HOME04,other,Review: Originally called out at second. Call overturned.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA06HOME05,bat,"Martin reached on a fielders choice;,0,Infante,Duvall,NA,E,E0,0,Martin,Duvall,NA,E,E0,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA06HOME05,br,Infante advanced to second;,0,Infante,Duvall,NA,E,E0,0,Martin,Infante,NA,E,E0,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA06HOME05,br,Duvall out at third 3b unassisted.",0,Infante,Duvall,NA,E,E0,1,Martin,Infante,NA,E,E1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA06HOME06,bat,Bleday grounded into double play 2b to ss to 1b (1-0);,1,Martin,Infante,NA,E,E1,2,Martin,Infante,NA,E,E2,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA06HOME06,br,Martin out on the play.,1,Martin,Infante,NA,E,E1,3,NA,Infante,NA,C,C3,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA07AWAY01,bat,Cornelius flied out to cf (1-1).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA07AWAY02,bat,Misner flied out to lf (2-0).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA07AWAY03,bat,Zimmermann grounded out to ss (2-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA08HOME01,bat,Paul singled to right field (3-2).,0,NA,NA,NA,A,A0,0,Paul,NA,NA,B,B0,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA08HOME02,bat,Clarke flied out to rf (1-1).,0,Paul,NA,NA,B,B0,1,Paul,NA,NA,B,B1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA08HOME03,bat,DeMarco singled to center field (1-0);,1,Paul,NA,NA,B,B1,1,Demarco,NA,NA,B,B1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA08HOME03,br,Paul advanced to second.,1,Paul,NA,NA,B,B1,1,Demarco,Paul,NA,E,E1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA08HOME04,bat,Scott singled up the middle  RBI (1-2);,1,Demarco,Paul,NA,E,E1,1,Scott,Paul,NA,E,E1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA08HOME04,br,DeMarco advanced to third;,1,Demarco,Paul,NA,E,E1,1,Scott,Paul,Demarco,H,H1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA08HOME04,br,Paul scored.,1,Demarco,Paul,NA,E,E1,1,Scott,NA,Demarco,F,F1,1
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA08HOME05,other,Review: Originally called safe at first. Call upheld.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA08HOME06,bat,"Ray reached on a fielders choice to shortstop  RBI (0-1);,1,Scott,NA,Demarco,F,F1,1,Ray,NA,Demarco,F,F1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA08HOME06,br,Scott advanced to second;,1,Scott,NA,Demarco,F,F1,1,Ray,Scott,Demarco,H,H1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA08HOME06,br,DeMarco scored.",1,Scott,NA,Demarco,F,F1,1,Ray,Scott,NA,E,E1,1
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA08HOME07,sub,Duvall to dh.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA08HOME08,bat,Duvall struck out swinging (0-2).,1,Ray,Scott,NA,E,E1,2,Ray,Scott,NA,E,E2,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA08HOME09,bat,Infante flied out to rf (1-1).,2,Ray,Scott,NA,E,E2,3,Ray,Scott,NA,E,E3,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA09AWAY01,bat,McDaniel grounded out to 2b (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA09AWAY02,bat,Gomez singled to center field (2-2).,1,NA,NA,NA,A,A1,1,Gomez,NA,NA,B,B1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA09AWAY03,bat,Ortiz singled to second base (1-1);,1,Gomez,NA,NA,B,B1,1,Ortiz,NA,NA,B,B1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA09AWAY03,br,Gomez advanced to second.,1,Gomez,NA,NA,B,B1,1,Ortiz,Gomez,NA,E,E1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA09AWAY04,br,Ortiz stole second;,1,Ortiz,Gomez,NA,E,E1,1,NA,Ortiz,NA,C,C1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA09AWAY04,br,Gomez stole third.,1,NA,Ortiz,NA,C,C1,1,NA,Ortiz,Gomez,G,G1,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA09AWAY05,bat,Vierling grounded out to p  RBI (1-0);,1,NA,Ortiz,Gomez,G,G1,2,NA,Ortiz,Gomez,G,G2,0
MIZZ_VAND_0511201901,MIZZ_VAND_0511201901_PA09AWAY05,br,Ortiz advanced to third;,1,NA,Ortiz,Gomez,G,G1,2,NA,NA,Ortiz,D,D2,0
