GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA01AWAY01,bat,Mangum homered to right field  RBI (2-0 BB).,0,NA,NA,NA,A,A0,0,NA,NA,NA,A,A0,1
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA01AWAY02,bat,Westburg struck out looking (2-2 BKBKK).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA01AWAY03,bat,Allen struck out looking (3-2 BBBKKK).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA01AWAY04,bat,MacNamee singled to third base (0-2 SF).,2,NA,NA,NA,A,A2,2,Macnamee,NA,NA,B,B2,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA01AWAY05,bat,Foscue popped up to ss (2-1 BBK).,2,Macnamee,NA,NA,B,B2,3,Macnamee,NA,NA,B,B3,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA02HOME01,bat,J. Young grounded out to ss (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA02HOME02,bat,McConnell struck out swinging (0-2 KSS).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA02HOME03,bat,Maldonado singled through the right side (1-1 BK).,2,NA,NA,NA,A,A2,2,Maldonado,NA,NA,B,B2,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA02HOME04,bat,Calilao struck out swinging (1-2 BFSFS).,2,Maldonado,NA,NA,B,B2,3,Maldonado,NA,NA,B,B3,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA03AWAY01,bat,Skelton grounded out to ss (2-2 KBBF).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA03AWAY02,bat,Hatcher struck out looking (2-2 BBKKK).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA03AWAY03,batbr,Jordan R. out at first 1b to p (0-1 F).,2,NA,NA,NA,A,A2,2,NA,NA,NA,A,A2,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA03AWAY03,batbr,Jordan R. out at first 1b to p (0-1 F).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA04HOME01,bat,Dalton grounded out to ss (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA04HOME02,batbr,Fabian struck out swinging out at first c to 1b (0-2 KSS).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA04HOME02,batbr,Fabian struck out swinging out at first c to 1b (0-2 KSS).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA04HOME03,bat,Langworthy reached on a throwing error by ss (0-0).,2,NA,NA,NA,A,A2,2,Langworthy,NA,NA,B,B2,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA04HOME04,bat,"Smith reached on a fielders choice to shortstop (0-0);,2,Langworthy,NA,NA,B,B2,2,Smith,NA,NA,B,B2,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA04HOME04,br,Langworthy out at second ss to 2b.",2,Langworthy,NA,NA,B,B2,3,Smith,NA,NA,B,B3,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA05AWAY01,bat,Halter popped up to ss (1-0 B).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA05AWAY02,bat,Mangum lined out to p  bunt (0-0).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA05AWAY03,bat,Westburg lined out to ss (1-1 BK).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA06HOME01,bat,Acton doubled to left center (0-0).,0,NA,NA,NA,A,A0,0,NA,Acton,NA,C,C0,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA06HOME02,bat,J. Young flied out to cf (0-0).,0,NA,Acton,NA,C,C0,1,NA,Acton,NA,C,C1,0
MSST_FLOR_0316201901,MSST_FLOR_0316201901_PA06HOME03,batbr,McConnell struck out swinging out at first c to 1b (0-2 SSS).,1,NA,Acton,NA,C,C1,2,NA,Acton,NA,C,C2,0
