GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
MSST_TENN_0406201901,MSST_TENN_0406201901_PA01AWAY01,bat,Mangum singled to right field (2-2).,0,NA,NA,NA,A,A0,0,Mangum,NA,NA,B,B0,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA01AWAY02,bat,Westburg fouled out to 3b (0-0).,0,Mangum,NA,NA,B,B0,1,Mangum,NA,NA,B,B1,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA01AWAY03,br,Mangum stole second.,1,Mangum,NA,NA,B,B1,1,NA,Mangum,NA,C,C1,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA01AWAY04,bat,Jordan  R. fouled out to ss (2-1).,1,NA,Mangum,NA,C,C1,2,NA,Mangum,NA,C,C2,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA01AWAY05,bat,MacNamee walked (3-2).,2,NA,Mangum,NA,C,C2,2,Macnamee,Mangum,NA,E,E2,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA01AWAY06,bat,Foscue grounded out to 1b unassisted (0-0).,2,Macnamee,Mangum,NA,E,E2,3,Macnamee,Mangum,NA,E,E3,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA02HOME01,batbr,AMMONS struck out swinging out at first c to 1b (0-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA02HOME01,batbr,AMMONS struck out swinging out at first c to 1b (0-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA02HOME02,bat,CHARLESTON grounded out to 3b (1-0).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA02HOME03,batbr,LIPCIUS A. struck out swinging out at first c to 1b (0-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA02HOME03,batbr,LIPCIUS A. struck out swinging out at first c to 1b (0-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA03AWAY01,bat,Allen flied out to cf (0-1).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA03AWAY02,bat,Skelton flied out to lf (1-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA03AWAY03,batbr,Hatcher out at first 1b to p (1-2).,2,NA,NA,NA,A,A2,2,NA,NA,NA,A,A2,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA03AWAY03,batbr,Hatcher out at first 1b to p (1-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA04HOME01,bat,SOULARIE  A. fouled out to c  bunt (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA04HOME02,bat,DERKAY doubled to right center (2-1).,1,NA,NA,NA,A,A1,1,NA,Derkay,NA,C,C1,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA04HOME03,bat,MARTINEZ  R. grounded out to 3b (3-1).,1,NA,Derkay,NA,C,C1,2,NA,Derkay,NA,C,C2,0
MSST_TENN_0406201901,MSST_TENN_0406201901_PA04HOME04,bat,FERGUSON  M. walked (3-2).,2,NA,Derkay,NA,C,C2,2,Ferguson,Derkay,NA,E,E2,0
