GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
OMSS_ARKS_0331201901,OMSS_ARKS_0331201901_PA01AWAY01,bat,R. Olenek flied out to cf (1-0 B).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
OMSS_ARKS_0331201901,OMSS_ARKS_0331201901_PA01AWAY02,bat,G. Kessinger walked (3-0 BBBB).,1,NA,NA,NA,A,A1,1,Kessinger,NA,NA,B,B1,0
OMSS_ARKS_0331201901,OMSS_ARKS_0331201901_PA01AWAY03,bat,T. Keenan flied out to lf (1-1 KB).,1,Kessinger,NA,NA,B,B1,2,Kessinger,NA,NA,B,B2,0
OMSS_ARKS_0331201901,OMSS_ARKS_0331201901_PA01AWAY04,bat,T. Dillard singled through the right side (2-1 KBB);,2,Kessinger,NA,NA,B,B2,2,Dillard,NA,NA,B,B2,0
OMSS_ARKS_0331201901,OMSS_ARKS_0331201901_PA01AWAY04,br,G. Kessinger advanced to third.,2,Kessinger,NA,NA,B,B2,2,Dillard,NA,Kessinger,F,F2,0
OMSS_ARKS_0331201901,OMSS_ARKS_0331201901_PA01AWAY05,bat,C. Zabowski singled through the right side  RBI (0-2 KF);,2,Dillard,NA,Kessinger,F,F2,2,Zabowski,NA,Kessinger,F,F2,0
OMSS_ARKS_0331201901,OMSS_ARKS_0331201901_PA01AWAY05,br,T. Dillard advanced to third;,2,Dillard,NA,Kessinger,F,F2,2,Zabowski,NA,Dillard,F,F2,0
OMSS_ARKS_0331201901,OMSS_ARKS_0331201901_PA01AWAY05,br,G. Kessinger scored.,2,Dillard,NA,Kessinger,F,F2,2,Zabowski,NA,Dillard,F,F2,1
OMSS_ARKS_0331201901,OMSS_ARKS_0331201901_PA01AWAY06,bat,C. Johnson lined out to lf (1-0 B).,2,Zabowski,NA,Dillard,F,F2,3,Zabowski,NA,Dillard,F,F3,0
OMSS_ARKS_0331201901,OMSS_ARKS_0331201901_PA02HOME01,bat,C. Martin struck out swinging (1-2 KKBFFS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
OMSS_ARKS_0331201901,OMSS_ARKS_0331201901_PA02HOME02,bat,H. Kjerstad struck out swinging (1-2 FFBS).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
OMSS_ARKS_0331201901,OMSS_ARKS_0331201901_PA02HOME03,bat,T. Ezell flied out to cf (3-1 BSBB).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
OMSS_ARKS_0331201901,OMSS_ARKS_0331201901_PA03AWAY01,bat,K. Graham homered to right field  RBI (1-1 KB).,0,NA,NA,NA,A,A0,0,NA,NA,NA,A,A0,1
OMSS_ARKS_0331201901,OMSS_ARKS_0331201901_PA03AWAY02,bat,J. Adams walked (3-1 BKBBB).,0,NA,NA,NA,A,A0,0,Adams,NA,NA,B,B0,0
OMSS_ARKS_0331201901,OMSS_ARKS_0331201901_PA03AWAY03,bat,"A. Servideo reached on a fielders choice to second base (0-2 KK);,0,Adams,NA,NA,B,B0,0,Servideo,NA,NA,B,B0,0
OMSS_ARKS_0331201901,OMSS_ARKS_0331201901_PA03AWAY03,br,J. Adams out at second 2b to ss.",0,Adams,NA,NA,B,B0,1,Servideo,NA,NA,B,B1,0
OMSS_ARKS_0331201901,OMSS_ARKS_0331201901_PA03AWAY04,bat,R. Olenek lined out to cf (0-2 FK).,1,Servideo,NA,NA,B,B1,2,Servideo,NA,NA,B,B2,0
OMSS_ARKS_0331201901,OMSS_ARKS_0331201901_PA03AWAY05,br,A. Servideo stole second.,2,Servideo,NA,NA,B,B2,2,NA,Servideo,NA,C,C2,0
OMSS_ARKS_0331201901,OMSS_ARKS_0331201901_PA03AWAY06,bat,G. Kessinger flied out to cf (1-2 BKKF).,2,NA,Servideo,NA,C,C2,3,NA,Servideo,NA,C,C3,0
