GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
OMSS_LSTU_0503201901,OMSS_LSTU_0503201901_PA01AWAY01,bat,R. Olenek flied out to rf (0-1 F).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
OMSS_LSTU_0503201901,OMSS_LSTU_0503201901_PA01AWAY02,bat,G. Kessinger singled to shortstop (1-0 B).,1,NA,NA,NA,A,A1,1,Kessinger,NA,NA,B,B1,0
OMSS_LSTU_0503201901,OMSS_LSTU_0503201901_PA01AWAY03,bat,T. Keenan singled through the right side (0-0);,1,Kessinger,NA,NA,B,B1,1,Keenan,NA,NA,B,B1,0
OMSS_LSTU_0503201901,OMSS_LSTU_0503201901_PA01AWAY03,br,G. Kessinger advanced to second.,1,Kessinger,NA,NA,B,B1,1,Keenan,Kessinger,NA,E,E1,0
OMSS_LSTU_0503201901,OMSS_LSTU_0503201901_PA01AWAY04,bat,"T. Dillard reached on a fielders choice (0-1 F);,1,Keenan,Kessinger,NA,E,E1,1,Dillard,Kessinger,NA,E,E1,0
OMSS_LSTU_0503201901,OMSS_LSTU_0503201901_PA01AWAY04,br,T. Keenan advanced to second;,1,Keenan,Kessinger,NA,E,E1,1,Dillard,Keenan,NA,E,E1,0
OMSS_LSTU_0503201901,OMSS_LSTU_0503201901_PA01AWAY04,br,G. Kessinger out at third 3b unassisted.",1,Keenan,Kessinger,NA,E,E1,2,Dillard,Keenan,NA,E,E2,0
OMSS_LSTU_0503201901,OMSS_LSTU_0503201901_PA01AWAY05,bat,C. Zabowski struck out swinging (2-2 SBSBFS).,2,Dillard,Keenan,NA,E,E2,3,Dillard,Keenan,NA,E,E3,0
OMSS_LSTU_0503201901,OMSS_LSTU_0503201901_PA02HOME01,bat,Watson flied out to 2b (1-2 FFFB).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
OMSS_LSTU_0503201901,OMSS_LSTU_0503201901_PA02HOME02,bat,Duplantis grounded out to 1b unassisted (1-1 SB).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
OMSS_LSTU_0503201901,OMSS_LSTU_0503201901_PA02HOME03,bat,Beloso grounded out to 2b (2-0 BB).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
OMSS_LSTU_0503201901,OMSS_LSTU_0503201901_PA03AWAY01,bat,K. Graham singled up the middle (1-2 SBF).,0,NA,NA,NA,A,A0,0,Graham,NA,NA,B,B0,0
OMSS_LSTU_0503201901,OMSS_LSTU_0503201901_PA03AWAY02,bat,C. Johnson singled to left field (1-0 B);,0,Graham,NA,NA,B,B0,0,Johnson,NA,NA,B,B0,0
OMSS_LSTU_0503201901,OMSS_LSTU_0503201901_PA03AWAY02,br,K. Graham advanced to second.,0,Graham,NA,NA,B,B0,0,Johnson,Graham,NA,E,E0,0
OMSS_LSTU_0503201901,OMSS_LSTU_0503201901_PA03AWAY03,bat,A. Servideo grounded out to 3b  SAC (3-2 FBFBB);,0,Johnson,Graham,NA,E,E0,1,Johnson,Graham,NA,E,E1,0
OMSS_LSTU_0503201901,OMSS_LSTU_0503201901_PA03AWAY03,br,C. Johnson advanced to second;,0,Johnson,Graham,NA,E,E0,1,NA,Johnson,NA,C,C1,0
OMSS_LSTU_0503201901,OMSS_LSTU_0503201901_PA03AWAY03,br,K. Graham advanced to third.,0,Johnson,Graham,NA,E,E0,1,NA,Johnson,Graham,G,G1,0
OMSS_LSTU_0503201901,OMSS_LSTU_0503201901_PA03AWAY04,bat,J. Adams grounded out to 1b unassisted  RBI (1-0 B);,1,NA,Johnson,Graham,G,G1,2,NA,Johnson,Graham,G,G2,0
