GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA01AWAY01,bat,A. Servideo grounded out to 2b (3-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA01AWAY02,bat,G. Kessinger singled to center field (2-0).,1,NA,NA,NA,A,A1,1,Kessinger,NA,NA,B,B1,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA01AWAY03,bat,T. Keenan singled to right field (1-2);,1,Kessinger,NA,NA,B,B1,1,Keenan,NA,NA,B,B1,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA01AWAY03,br,G. Kessinger advanced to third.,1,Kessinger,NA,NA,B,B1,1,Keenan,NA,Kessinger,F,F1,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA01AWAY04,bat,T. Dillard struck out looking (2-2).,1,Keenan,NA,Kessinger,F,F1,2,Keenan,NA,Kessinger,F,F2,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA01AWAY05,bat,R. Olenek grounded out to p (0-1).,2,Keenan,NA,Kessinger,F,F2,3,Keenan,NA,Kessinger,F,F3,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA02HOME01,bat,Holt struck out swinging (2-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA02HOME02,bat,Misner struck out looking (3-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA02HOME03,bat,Zimmermann singled to right field (1-1).,2,NA,NA,NA,A,A2,2,Zimmermann,NA,NA,B,B2,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA02HOME04,bat,Cornelius singled to left field (1-1);,2,Zimmermann,NA,NA,B,B2,2,Cornelius,NA,NA,B,B2,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA02HOME04,br,Zimmermann advanced to second.,2,Zimmermann,NA,NA,B,B2,2,Cornelius,Zimmermann,NA,E,E2,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA02HOME05,bat,McDaniel reached on an error by ss (3-1);,2,Cornelius,Zimmermann,NA,E,E2,2,Mcdaniel,Zimmermann,NA,E,E2,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA02HOME05,br,Cornelius advanced to third;,2,Cornelius,Zimmermann,NA,E,E2,2,Mcdaniel,Zimmermann,Cornelius,H,H2,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA02HOME05,br,Zimmermann scored unearned.,2,Cornelius,Zimmermann,NA,E,E2,2,Mcdaniel,NA,Cornelius,F,F2,1
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA02HOME06,bat,Vierling grounded out to 2b (0-1).,2,Mcdaniel,NA,Cornelius,F,F2,3,Mcdaniel,NA,Cornelius,F,F3,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA03AWAY01,batbr,C. Zabowski struck out swinging out at first c to 1b (0-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA03AWAY01,batbr,C. Zabowski struck out swinging out at first c to 1b (0-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA03AWAY02,bat,C. Johnson struck out swinging (3-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA03AWAY03,bat,K. Loposer flied out to cf (2-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA04HOME01,bat,Ortiz flied out to cf (2-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA04HOME02,bat,Gomez grounded out to 3b (2-1).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA04HOME03,bat,C. Peterson singled to shortstop (2-1).,2,NA,NA,NA,A,A2,2,Peterson,NA,NA,B,B2,0
OMSS_MIZZ_0322201901,OMSS_MIZZ_0322201901_PA04HOME04,bat,Holt singled to right field (3-2);,2,Peterson,NA,NA,B,B2,2,Holt,NA,NA,B,B2,0
