GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA01AWAY01,bat,T. Dillard flied out to lf (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA01AWAY02,bat,G. Kessinger fouled out to rf (1-0 B).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA01AWAY03,bat,T. Keenan flied out to cf (0-0).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA02HOME01,bat,SCOTT  C. flied out to lf (3-1 BSBB).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA02HOME02,bat,CHARLESTON doubled down the lf line (1-2 BFS).,1,NA,NA,NA,A,A1,1,NA,Charleston,NA,C,C1,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA02HOME03,bat,LIPCIUS  A. struck out swinging (2-2 FBFBS).,1,NA,Charleston,NA,C,C1,2,NA,Charleston,NA,C,C2,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA02HOME04,other,Charleston ruled out at 3b call reviewed and OVERTURNED.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA02HOME05,br,CHARLESTON stole third.,2,NA,Charleston,NA,C,C2,2,NA,NA,Charleston,D,D2,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA02HOME06,bat,SOULARIE  A. struck out looking (3-2 BKBBKFK).,2,NA,NA,Charleston,D,D2,3,NA,NA,Charleston,D,D3,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA03AWAY01,bat,C. Zabowski walked (3-2 BFBBSB).,0,NA,NA,NA,A,A0,0,Zabowski,NA,NA,B,B0,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA03AWAY02,bat,R. Olenek singled to center field (0-0);,0,Zabowski,NA,NA,B,B0,0,Olenek,NA,NA,B,B0,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA03AWAY02,br,C. Zabowski advanced to second.,0,Zabowski,NA,NA,B,B0,0,Olenek,Zabowski,NA,E,E0,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA03AWAY03,bat,K. Graham flied out to lf (3-1 BBBK);,0,Olenek,Zabowski,NA,E,E0,1,Olenek,Zabowski,NA,E,E1,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA03AWAY03,br,C. Zabowski advanced to third.,0,Olenek,Zabowski,NA,E,E0,1,Olenek,NA,Zabowski,F,F1,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA03AWAY04,other,Sabowski ruled out at home call reviewed and OVERTURNED.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA03AWAY05,br,R. Olenek stole second;,1,Olenek,NA,Zabowski,F,F1,1,NA,Olenek,Zabowski,G,G1,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA03AWAY05,br,C. Zabowski stole home.,1,NA,Olenek,Zabowski,G,G1,1,NA,Olenek,NA,C,C1,1
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA03AWAY06,bat,C. Johnson struck out swinging (1-2 SKBS).,1,NA,Olenek,NA,C,C1,2,NA,Olenek,NA,C,C2,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA03AWAY07,batbr,A. Servideo out at first 1b to p (3-2 FKBBBFF).,2,NA,Olenek,NA,C,C2,2,NA,Olenek,NA,C,C2,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA03AWAY07,batbr,A. Servideo out at first 1b to p (3-2 FKBBBFF).,2,NA,Olenek,NA,C,C2,3,NA,Olenek,NA,C,C3,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA04HOME01,bat,RUSSELL  E. flied out to rf (2-2 BFFB).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA04HOME02,bat,RUCKER  J. flied out to rf (2-2 KBBF).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA04HOME03,bat,DERKAY flied out to rf (1-0 B).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA05AWAY01,bat,J. Adams flied out to cf (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA05AWAY02,bat,T. Dillard walked (3-2 KBBFFFFBB).,1,NA,NA,NA,A,A1,1,Dillard,NA,NA,B,B1,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA05AWAY03,br,T. Dillard stole second.,1,Dillard,NA,NA,B,B1,1,NA,Dillard,NA,C,C1,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA05AWAY04,bat,G. Kessinger hit by pitch (1-0 B).,1,NA,Dillard,NA,C,C1,1,Kessinger,Dillard,NA,E,E1,0
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA05AWAY05,bat,T. Keenan homered to left field  3 RBI (2-0 BB);,1,Kessinger,Dillard,NA,E,E1,1,NA,NA,NA,A,A1,1
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA05AWAY05,br,G. Kessinger scored;,1,Kessinger,Dillard,NA,E,E1,1,NA,NA,NA,A,A1,1
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA05AWAY05,br,T. Dillard scored.,1,Kessinger,Dillard,NA,E,E1,1,NA,NA,NA,A,A1,1
OMSS_TENN_0518201901,OMSS_TENN_0518201901_PA05AWAY06,batbr,C. Zabowski struck out swinging out at first c to 1b (0-2 FSFS).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
