GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA01AWAY01,bat,Campbell struck out swinging (2-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA01AWAY02,bat,Callil struck out swinging (0-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA01AWAY03,bat,Hopkins reached on an error by ss (0-1).,2,NA,NA,NA,A,A2,2,Hopkins,NA,NA,B,B2,0
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA01AWAY04,br,Hopkins stole second.,2,Hopkins,NA,NA,B,B2,2,NA,Hopkins,NA,C,C2,0
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA01AWAY05,bat,Berryhill walked (3-2).,2,NA,Hopkins,NA,C,C2,2,Berryhill,Hopkins,NA,E,E2,0
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA01AWAY06,bat,Olson popped up to ss (1-2).,2,Berryhill,Hopkins,NA,E,E2,3,Berryhill,Hopkins,NA,E,E3,0
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA02HOME01,bat,Robinson grounded out to ss (2-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA02HOME02,bat,Holcombe grounded out to 1b unassisted (2-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA02HOME03,bat,McCullough singled through the right side (0-0).,2,NA,NA,NA,A,A2,2,Mccullough,NA,NA,B,B2,0
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA02HOME04,bat,Gentry lined out to ss (1-1).,2,Mccullough,NA,NA,B,B2,3,Mccullough,NA,NA,B,B3,0
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA03AWAY01,bat,Eyster struck out swinging (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA03AWAY02,bat,Cullen singled to center field (0-0).,1,NA,NA,NA,A,A1,1,Cullen,NA,NA,B,B1,0
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA03AWAY03,bat,Holladay grounded out to ss (1-2);,1,Cullen,NA,NA,B,B1,2,Cullen,NA,NA,B,B2,0
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA03AWAY03,br,Cullen advanced to second.,1,Cullen,NA,NA,B,B1,2,NA,Cullen,NA,C,C2,0
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA03AWAY04,bat,Neville grounded out to 1b unassisted (2-2).,2,NA,Cullen,NA,C,C2,3,NA,Cullen,NA,C,C3,0
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA04HOME01,bat,Williamson doubled down the rf line (0-1).,0,NA,NA,NA,A,A0,0,NA,Williamson,NA,C,C0,0
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA04HOME02,bat,Auerbach grounded out to 3b (2-2).,0,NA,Williamson,NA,C,C0,1,NA,Williamson,NA,C,C1,0
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA04HOME03,bat,Trousdale grounded out to 3b (0-0);,1,NA,Williamson,NA,C,C1,2,NA,Williamson,NA,C,C2,0
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA04HOME03,br,Williamson advanced to third.,1,NA,Williamson,NA,C,C1,2,NA,NA,Williamson,D,D2,0
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA04HOME04,bat,Reeves flied out to cf to right center (1-1).,2,NA,NA,Williamson,D,D2,3,NA,NA,Williamson,D,D3,0
SCAR_ABAM_0405201902,SCAR_ABAM_0405201902_PA05AWAY01,bat,Campbell grounded out to 2b (2-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
