GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA01AWAY01,bat,Campbell grounded out to ss (1-1 KB).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA01AWAY02,bat,Callil fouled out to rf (2-1 BKB).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA01AWAY03,bat,Hopkins hit by pitch (0-2 KF).,2,NA,NA,NA,A,A2,2,Hopkins,NA,NA,B,B2,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA01AWAY04,br,Hopkins out at second c to 2b caught stealing.,2,Hopkins,NA,NA,B,B2,3,NA,NA,NA,A,A3,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA02HOME01,bat,McConnell grounded out to ss (0-2 KF).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA02HOME02,bat,Langworthy walked (3-2 BSBBFFB).,1,NA,NA,NA,A,A1,1,Langworthy,NA,NA,B,B1,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA02HOME03,bat,"Maldonado reached on a fielders choice to shortstop (0-1 K);,1,Langworthy,NA,NA,B,B1,1,Maldonado,NA,NA,B,B1,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA02HOME03,br,Langworthy out at second ss to 2b.",1,Langworthy,NA,NA,B,B1,2,Maldonado,NA,NA,B,B2,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA02HOME04,br,Maldonado out at first p to 1b picked off.,2,Maldonado,NA,NA,B,B2,3,NA,NA,NA,A,A3,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA03AWAY01,bat,Berryhill singled to third base (3-2 BBKBK).,0,NA,NA,NA,A,A0,0,Berryhill,NA,NA,B,B0,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA03AWAY02,bat,Olson singled to left field (0-0);,0,Berryhill,NA,NA,B,B0,0,Olson,NA,NA,B,B0,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA03AWAY02,br,Berryhill advanced to second.,0,Berryhill,NA,NA,B,B0,0,Olson,Berryhill,NA,E,E0,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA03AWAY03,bat,Eyster struck out swinging (1-2 KFBS).,0,Olson,Berryhill,NA,E,E0,1,Olson,Berryhill,NA,E,E1,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA03AWAY04,bat,Allen grounded into double play ss to 2b to 1b (0-1 S);,1,Olson,Berryhill,NA,E,E1,2,Olson,Berryhill,NA,E,E2,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA03AWAY04,br,Olson out on the play.,1,Olson,Berryhill,NA,E,E1,3,NA,Berryhill,NA,C,C3,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA04HOME01,bat,Calilao grounded out to ss (1-2 FBF).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA04HOME02,bat,Acton grounded out to p (1-0 B).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA04HOME03,bat,Dalton grounded out to p (2-0 BB).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA05AWAY01,bat,Cullen hit by pitch (3-2 KBBFB).,0,NA,NA,NA,A,A0,0,Cullen,NA,NA,B,B0,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA05AWAY02,bat,Beamon grounded out to c  SAC  bunt (0-0);,0,Cullen,NA,NA,B,B0,1,Cullen,NA,NA,B,B1,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA05AWAY02,br,Cullen advanced to second.,0,Cullen,NA,NA,B,B0,1,NA,Cullen,NA,C,C1,0
SCAR_FLOR_0411201901,SCAR_FLOR_0411201901_PA05AWAY03,bat,Campbell struck out swinging (1-2 KFBS).,1,NA,Cullen,NA,C,C1,2,NA,Cullen,NA,C,C2,0
