GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA01AWAY01,bat,Hopkins struck out swinging (0-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA01AWAY02,bat,Callil struck out looking (3-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA01AWAY03,bat,Berryhill walked (3-0).,2,NA,NA,NA,A,A2,2,Berryhill,NA,NA,B,B2,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA01AWAY04,br,Berryhill stole second.,2,Berryhill,NA,NA,B,B2,2,NA,Berryhill,NA,C,C2,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA01AWAY05,bat,Eyster grounded out to p (3-2).,2,NA,Berryhill,NA,C,C2,3,NA,Berryhill,NA,C,C3,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA02HOME01,bat,Gomez struck out swinging (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA02HOME02,bat,Cornelius struck out swinging (1-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA02HOME03,batbr,Misner singled advanced to third on an error by cf (2-2).,2,NA,NA,NA,A,A2,2,Misner,NA,NA,B,B2,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA02HOME03,batbr,Misner singled advanced to third on an error by cf (2-2).,2,NA,NA,NA,A,A2,2,NA,NA,Misner,D,D2,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA02HOME04,bat,Zimmermann struck out swinging (2-2).,2,NA,NA,Misner,D,D2,3,NA,NA,Misner,D,D3,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA03AWAY01,bat,Olson singled to left field (1-0).,0,NA,NA,NA,A,A0,0,Olson,NA,NA,B,B0,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA03AWAY02,bat,Allen lined out to cf (1-1).,0,Olson,NA,NA,B,B0,1,Olson,NA,NA,B,B1,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA03AWAY03,bat,Campbell grounded out to 3b  SAC (1-0);,1,Olson,NA,NA,B,B1,2,Olson,NA,NA,B,B2,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA03AWAY03,br,Olson advanced to second.,1,Olson,NA,NA,B,B1,2,NA,Olson,NA,C,C2,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA03AWAY04,bat,Cullen grounded out to 3b (1-1).,2,NA,Olson,NA,C,C2,3,NA,Olson,NA,C,C3,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA04HOME01,bat,McDaniel grounded out to ss (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA04HOME02,bat,Vierling grounded out to 3b (1-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA04HOME03,bat,Ortiz singled to left field (1-1).,2,NA,NA,NA,A,A2,2,Ortiz,NA,NA,B,B2,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA04HOME04,bat,C. Peterson struck out swinging (2-2).,2,Ortiz,NA,NA,B,B2,3,Ortiz,NA,NA,B,B3,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA05AWAY01,bat,Sightler struck out swinging (2-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA05AWAY02,bat,Hopkins struck out looking (1-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA05AWAY03,bat,Callil singled to center field (0-1).,2,NA,NA,NA,A,A2,2,Callil,NA,NA,B,B2,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA05AWAY04,bat,Berryhill singled to left field (1-0);,2,Callil,NA,NA,B,B2,2,Berryhill,NA,NA,B,B2,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA05AWAY04,br,Callil advanced to second.,2,Callil,NA,NA,B,B2,2,Berryhill,Callil,NA,E,E2,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA05AWAY05,bat,Eyster doubled to left field  2 RBI (0-0);,2,Berryhill,Callil,NA,E,E2,2,Berryhill,Eyster,NA,E,E2,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA05AWAY05,br,Berryhill scored;,2,Berryhill,Callil,NA,E,E2,2,NA,Eyster,NA,C,C2,1
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA05AWAY05,br,Callil scored.,2,Berryhill,Callil,NA,E,E2,2,NA,Eyster,NA,C,C2,1
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA05AWAY06,bat,Olson flied out to rf (1-2).,2,NA,Eyster,NA,C,C2,3,NA,Eyster,NA,C,C3,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA06HOME01,bat,Brumfield walked (3-1).,0,NA,NA,NA,A,A0,0,Brumfield,NA,NA,B,B0,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA06HOME02,bat,Gomez flied out to cf (1-2).,0,Brumfield,NA,NA,B,B0,1,Brumfield,NA,NA,B,B1,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA06HOME03,bat,Cornelius singled to third base (0-0);,1,Brumfield,NA,NA,B,B1,1,Cornelius,NA,NA,B,B1,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA06HOME03,br,Brumfield advanced to second.,1,Brumfield,NA,NA,B,B1,1,Cornelius,Brumfield,NA,E,E1,0
SCAR_MIZZ_0426201901,SCAR_MIZZ_0426201901_PA06HOME04,bat,Misner singled to shortstop (0-1);,1,Cornelius,Brumfield,NA,E,E1,1,Misner,Brumfield,NA,E,E1,0
