GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA01AWAY01,bat,Campbell singled to left field (0-1 K).,0,NA,NA,NA,A,A0,0,Campbell,NA,NA,B,B0,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA01AWAY02,br,Campbell stole second.,0,Campbell,NA,NA,B,B0,0,NA,Campbell,NA,C,C0,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA01AWAY03,bat,Allen struck out swinging (1-2 BFSS).,0,NA,Campbell,NA,C,C0,1,NA,Campbell,NA,C,C1,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA01AWAY04,bat,Hopkins grounded out to 3b (2-2 KSFBB).,1,NA,Campbell,NA,C,C1,2,NA,Campbell,NA,C,C2,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA01AWAY05,bat,Olson hit by pitch (2-2 BBFS).,2,NA,Campbell,NA,C,C2,2,Olson,Campbell,NA,E,E2,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA01AWAY06,bat,"Berryhill reached on a fielders choice (1-1 KB);,2,Olson,Campbell,NA,E,E2,2,Berryhill,Campbell,NA,E,E2,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA01AWAY06,br,Olson advanced to second;,2,Olson,Campbell,NA,E,E2,2,Berryhill,Olson,NA,E,E2,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA01AWAY06,br,Campbell out at third 3b unassisted.",2,Olson,Campbell,NA,E,E2,3,Berryhill,Olson,NA,E,E3,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA02HOME01,bat,AMMONS singled through the right side (0-0).,0,NA,NA,NA,A,A0,0,Ammons,NA,NA,B,B0,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA02HOME02,bat,CHARLESTON popped up to 2b (2-2 BBKF).,0,Ammons,NA,NA,B,B0,1,Ammons,NA,NA,B,B1,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA02HOME03,br,AMMONS stole second.,1,Ammons,NA,NA,B,B1,1,NA,Ammons,NA,C,C1,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA02HOME04,bat,LIPCIUS  A. fouled out to 1b (2-0 BB).,1,NA,Ammons,NA,C,C1,2,NA,Ammons,NA,C,C2,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA02HOME05,bat,SOULARIE  A. hit by pitch (0-2 FF).,2,NA,Ammons,NA,C,C2,2,Soularie,Ammons,NA,E,E2,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA02HOME06,bat,RUSSELL  E. singled to right field  RBI (2-2 KBFBFF);,2,Soularie,Ammons,NA,E,E2,2,Russell,Ammons,NA,E,E2,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA02HOME06,br,SOULARIE A. advanced to third;,2,Soularie,Ammons,NA,E,E2,2,Russell,Ammons,Soularie,H,H2,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA02HOME06,br,AMMONS scored.,2,Soularie,Ammons,NA,E,E2,2,Russell,NA,Soularie,F,F2,1
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA02HOME07,bat,"MARTINEZ  R. reached on a fielders choice (1-0 B);,2,Russell,NA,Soularie,F,F2,2,Martinez,NA,Soularie,F,F2,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA02HOME07,br,RUSSELL E. out at second 3b to 2b.",2,Russell,NA,Soularie,F,F2,3,Martinez,NA,Soularie,F,F3,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA03AWAY01,bat,Cullen grounded out to ss (2-0 BB).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA03AWAY02,bat,Callil grounded out to 3b (1-2 KFB).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA03AWAY03,bat,Neville flied out to lf (1-0 B).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA04HOME01,bat,GRAY  L. flied out to lf (0-1 K).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA04HOME02,bat,RUCKER  J. singled to third base  bunt (0-0).,1,NA,NA,NA,A,A1,1,Rucker,NA,NA,B,B1,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA04HOME03,bat,FERGUSON  M. flied out to lf (2-0 BB).,1,Rucker,NA,NA,B,B1,2,Rucker,NA,NA,B,B2,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA04HOME04,bat,AMMONS singled to left field (3-2 BBBKKF);,2,Rucker,NA,NA,B,B2,2,Ammons,NA,NA,B,B2,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA04HOME04,br,RUCKER J. advanced to second.,2,Rucker,NA,NA,B,B2,2,Ammons,Rucker,NA,E,E2,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA04HOME05,bat,CHARLESTON flied out to lf (1-0 B).,2,Ammons,Rucker,NA,E,E2,3,Ammons,Rucker,NA,E,E3,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA05AWAY01,bat,Perez walked (3-1 BBBKB).,0,NA,NA,NA,A,A0,0,Perez,NA,NA,B,B0,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA05AWAY02,bat,Campbell grounded out to c  SAC  bunt (0-0);,0,Perez,NA,NA,B,B0,1,Perez,NA,NA,B,B1,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA05AWAY02,br,Perez advanced to second.,0,Perez,NA,NA,B,B0,1,NA,Perez,NA,C,C1,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA05AWAY03,batbr,Allen out at first p to 2b to 1b (0-0);,1,NA,Perez,NA,C,C1,1,NA,Perez,NA,C,C1,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA05AWAY03,batbr,Allen out at first p to 2b to 1b (0-0);,1,NA,Perez,NA,C,C1,2,NA,Perez,NA,C,C2,0
SCAR_TENN_0324201901,SCAR_TENN_0324201901_PA05AWAY03,br,Perez advanced to third.,1,NA,Perez,NA,C,C1,2,NA,NA,Perez,D,D2,0
