GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA01AWAY01,bat,AMMONS struck out swinging (1-2 FKBFS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA01AWAY02,bat,CHARLESTON grounded out to ss (1-2 KSFFBF).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA01AWAY03,bat,LIPCIUS  A. flied out to cf to left center (3-1 BFBB).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA02HOME01,bat,Holland  W. grounded out to 3b (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA02HOME02,bat,Williams  S. flied out to cf (1-2 FBK).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA02HOME03,bat,Woley  R. struck out swinging (1-2 SFBS).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA03AWAY01,bat,SOULARIE  A. grounded out to 2b (1-0 B).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA03AWAY02,bat,DERKAY fouled out to 3b (2-0 BB).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA03AWAY03,bat,RUSSELL  E. grounded out to ss (1-1 KB).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA04HOME01,batbr,Julien E. out at first 1b to p (0-1 K).,0,NA,NA,NA,A,A0,0,NA,NA,NA,A,A0,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA04HOME01,batbr,Julien E. out at first 1b to p (0-1 K).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA04HOME02,bat,Davis  Co. flied out to cf to left center (1-2 BSF).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA04HOME03,bat,Bliss  R. struck out swinging (2-2 BBFSS).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA05AWAY01,bat,MARTINEZ  R. grounded out to 2b (0-1 K).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA05AWAY02,bat,GRAY  L. flied out to lf (3-2 KBBFB).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA05AWAY03,bat,FERGUSON  M. tripled to right field (0-1 K).,2,NA,NA,NA,A,A2,2,NA,NA,Ferguson,D,D2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA05AWAY04,bat,AMMONS singled up the middle  RBI (0-1 F);,2,NA,NA,Ferguson,D,D2,2,Ammons,NA,Ferguson,F,F2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA05AWAY04,br,FERGUSON M. scored.,2,NA,NA,Ferguson,D,D2,2,Ammons,NA,NA,B,B2,1
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA05AWAY05,bat,CHARLESTON walked (3-0 BBBB);,2,Ammons,NA,NA,B,B2,2,Charleston,NA,NA,B,B2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA05AWAY05,br,AMMONS advanced to second.,2,Ammons,NA,NA,B,B2,2,Charleston,Ammons,NA,E,E2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA05AWAY06,bat,LIPCIUS  A. flied out to cf (1-1 FB).,2,Charleston,Ammons,NA,E,E2,3,Charleston,Ammons,NA,E,E3,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA06HOME01,bat,Howell  K. flied out to cf to right center (3-1 BFBB).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA06HOME02,bat,Ward  J. popped up to ss (1-1 KB).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA06HOME03,bat,Scheffler  M hit by pitch (1-0 B).,2,NA,NA,NA,A,A2,2,Scheffler,NA,NA,B,B2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA06HOME04,br,Scheffler M out at second c to 2b.,2,Scheffler,NA,NA,B,B2,3,NA,NA,NA,A,A3,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA07AWAY01,bat,SOULARIE  A. singled up the middle (1-0 B).,0,NA,NA,NA,A,A0,0,Soularie,NA,NA,B,B0,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA07AWAY02,sub,Watson R. to p for Skipper C..,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA07AWAY03,bat,DERKAY popped up to 3b  bunt (0-0).,0,Soularie,NA,NA,B,B0,1,Soularie,NA,NA,B,B1,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA07AWAY04,bat,RUSSELL  E. struck out looking (0-2 KFK).,1,Soularie,NA,NA,B,B1,2,Soularie,NA,NA,B,B2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA07AWAY05,bat,MARTINEZ  R. singled through the right side (2-1 SBB);,2,Soularie,NA,NA,B,B2,2,Martinez,NA,NA,B,B2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA07AWAY05,br,SOULARIE A. advanced to third.,2,Soularie,NA,NA,B,B2,2,Martinez,NA,Soularie,F,F2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA07AWAY06,br,MARTINEZ R. stole second advanced to third;,2,Martinez,NA,Soularie,F,F2,2,NA,NA,Martinez,D,D2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA07AWAY06,br,SOULARIE A. scored on an error by c unearned.,2,NA,NA,Martinez,D,D2,2,NA,NA,Martinez,D,D2,1
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA07AWAY07,bat,GRAY  L. flied out to cf to right center (2-2 BSBF).,2,NA,NA,Martinez,D,D2,3,NA,NA,Martinez,D,D3,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA08HOME01,bat,Holland  W. struck out swinging (2-2 BKFFFBFS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA08HOME02,bat,Williams  S. fouled out to 3b (3-2 KFBBFB).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA08HOME03,bat,Woley  R. singled through the right side (2-2 BBKF).,2,NA,NA,NA,A,A2,2,Woley,NA,NA,B,B2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA08HOME04,bat,Julien  E. grounded out to 2b (0-0).,2,Woley,NA,NA,B,B2,3,Woley,NA,NA,B,B3,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA09AWAY01,batbr,FERGUSON M. singled up the middle advanced to second on an error by ss (1-0 B).,0,NA,NA,NA,A,A0,0,Ferguson,NA,NA,B,B0,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA09AWAY01,batbr,FERGUSON M. singled up the middle advanced to second on an error by ss (1-0 B).,0,NA,NA,NA,A,A0,0,NA,Ferguson,NA,C,C0,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA09AWAY02,sub,Glavine P. to p for Watson R..,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA09AWAY03,bat,AMMONS walked (3-0 BBBB).,0,NA,Ferguson,NA,C,C0,0,Ammons,Ferguson,NA,E,E0,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA09AWAY04,bat,CHARLESTON lined out to rf to right center (1-2 KKB).,0,Ammons,Ferguson,NA,E,E0,1,Ammons,Ferguson,NA,E,E1,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA09AWAY05,sub,Greenhill C to p for Glavine P..,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA09AWAY06,bat,LIPCIUS  A. walked (3-1 BBFBB);,1,Ammons,Ferguson,NA,E,E1,1,Lipcius,Ferguson,NA,E,E1,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA09AWAY06,br,AMMONS advanced to second;,1,Ammons,Ferguson,NA,E,E1,1,Lipcius,Ammons,NA,E,E1,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA09AWAY06,br,FERGUSON M. advanced to third.,1,Ammons,Ferguson,NA,E,E1,1,Lipcius,Ammons,Ferguson,H,H1,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA09AWAY07,bat,SOULARIE  A. lined into double play p to 1b (0-2 KK);,1,Lipcius,Ammons,Ferguson,H,H1,2,Lipcius,Ammons,Ferguson,H,H2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA09AWAY07,br,LIPCIUS A. out on the play.,1,Lipcius,Ammons,Ferguson,H,H1,3,NA,Ammons,Ferguson,G,G3,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA10HOME01,bat,Davis  Co. doubled down the lf line (1-2 SSBF).,0,NA,NA,NA,A,A0,0,NA,Davis,NA,C,C0,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA10HOME02,bat,Bliss  R. grounded out to ss (1-0 B);,0,NA,Davis,NA,C,C0,1,NA,Davis,NA,C,C1,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA10HOME02,br,Davis Co. advanced to third.,0,NA,Davis,NA,C,C0,1,NA,NA,Davis,D,D1,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA10HOME03,bat,Howell  K. hit by pitch (0-0).,1,NA,NA,Davis,D,D1,1,Howell,NA,Davis,F,F1,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA10HOME04,other,Kason Howell HBP in bottom of the 5th reviewed: upheld.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA10HOME05,sub,CROCHET G. to p for NEELY.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA10HOME06,bat,Ward  J. grounded out to 2b  RBI (0-0);,1,Howell,NA,Davis,F,F1,2,Howell,NA,Davis,F,F2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA10HOME06,br,Howell K. advanced to second;,1,Howell,NA,Davis,F,F1,2,NA,Howell,Davis,G,G2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA10HOME06,br,Davis Co. scored.,1,Howell,NA,Davis,F,F1,2,NA,Howell,NA,C,C2,1
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA10HOME07,br,Howell K. stole third.,2,NA,Howell,NA,C,C2,2,NA,NA,Howell,D,D2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA10HOME08,bat,Scheffler  M singled to pitcher  RBI (1-2 BFK);,2,NA,NA,Howell,D,D2,2,Scheffler,NA,Howell,F,F2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA10HOME08,br,Howell K. scored.,2,NA,NA,Howell,D,D2,2,Scheffler,NA,NA,B,B2,1
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA10HOME09,br,Scheffler M out at second c to 2b caught stealing.,2,Scheffler,NA,NA,B,B2,3,NA,NA,NA,A,A3,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA11AWAY01,bat,DERKAY popped up to ss (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA11AWAY02,bat,RUSSELL  E. grounded out to ss (1-1 KB).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA11AWAY03,bat,MARTINEZ  R. singled up the middle (0-1 K).,2,NA,NA,NA,A,A2,2,Martinez,NA,NA,B,B2,0
TENN_AUBN_0317201901,TENN_AUBN_0317201901_PA11AWAY04,bat,GRAY  L. popped up to 2b (1-0 B).,2,Martinez,NA,NA,B,B2,3,Martinez,NA,NA,B,B3,0
