GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
TENN_FLOR_0512201901,TENN_FLOR_0512201901_PA01AWAY01,bat,AMMONS flied out to rf (2-1 BBK).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TENN_FLOR_0512201901,TENN_FLOR_0512201901_PA01AWAY02,bat,CHARLESTON struck out swinging (1-2 KKBFS).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
TENN_FLOR_0512201901,TENN_FLOR_0512201901_PA01AWAY03,bat,LIPCIUS  A. grounded out to p (3-2 KBBBF).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
TENN_FLOR_0512201901,TENN_FLOR_0512201901_PA02HOME01,bat,McConnell struck out swinging (0-2 KSS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TENN_FLOR_0512201901,TENN_FLOR_0512201901_PA02HOME02,bat,Langworthy flied out to cf (1-1 BF).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
TENN_FLOR_0512201901,TENN_FLOR_0512201901_PA02HOME03,bat,Maldonado grounded out to ss (1-2 KBF).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
TENN_FLOR_0512201901,TENN_FLOR_0512201901_PA03AWAY01,bat,SOULARIE  A. fouled out to 1b (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TENN_FLOR_0512201901,TENN_FLOR_0512201901_PA03AWAY02,bat,RUSSELL  E. homered down the lf line  RBI (2-2 KKFBBF).,1,NA,NA,NA,A,A1,1,NA,NA,NA,A,A1,1
TENN_FLOR_0512201901,TENN_FLOR_0512201901_PA03AWAY03,bat,RUCKER  J. lined out to ss (2-1 BFB).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
TENN_FLOR_0512201901,TENN_FLOR_0512201901_PA03AWAY04,bat,DERKAY grounded out to 2b (0-1 K).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
TENN_FLOR_0512201901,TENN_FLOR_0512201901_PA04HOME01,bat,Smith singled to left field (0-0).,0,NA,NA,NA,A,A0,0,Smith,NA,NA,B,B0,0
TENN_FLOR_0512201901,TENN_FLOR_0512201901_PA04HOME02,bat,"Dalton reached on a fielders choice to shortstop (1-2 BSF);,0,Smith,NA,NA,B,B0,0,Dalton,NA,NA,B,B0,0
TENN_FLOR_0512201901,TENN_FLOR_0512201901_PA04HOME02,br,Smith out at second ss to 2b.",0,Smith,NA,NA,B,B0,1,Dalton,NA,NA,B,B1,0
TENN_FLOR_0512201901,TENN_FLOR_0512201901_PA04HOME03,br,Dalton stole second.,1,Dalton,NA,NA,B,B1,1,NA,Dalton,NA,C,C1,0
