GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
TENN_KENT_0420201901,TENN_KENT_0420201901_PA01AWAY01,bat,CHARLESTON flied out to 2b (0-1 K).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TENN_KENT_0420201901,TENN_KENT_0420201901_PA01AWAY02,bat,FERGUSON  M. walked (3-1 BBKBB).,1,NA,NA,NA,A,A1,1,Ferguson,NA,NA,B,B1,0
TENN_KENT_0420201901,TENN_KENT_0420201901_PA01AWAY03,bat,LIPCIUS  A. flied out to lf (0-1 S).,1,Ferguson,NA,NA,B,B1,2,Ferguson,NA,NA,B,B2,0
TENN_KENT_0420201901,TENN_KENT_0420201901_PA01AWAY04,bat,SOULARIE  A. struck out swinging (1-2 BKFS).,2,Ferguson,NA,NA,B,B2,3,Ferguson,NA,NA,B,B3,0
TENN_KENT_0420201901,TENN_KENT_0420201901_PA02HOME01,bat,R. Johnson singled to second base (1-2 SBK).,0,NA,NA,NA,A,A0,0,Johnson,NA,NA,B,B0,0
TENN_KENT_0420201901,TENN_KENT_0420201901_PA02HOME02,bat,R. Shinn singled to left field (1-1 SB);,0,Johnson,NA,NA,B,B0,0,Shinn,NA,NA,B,B0,0
TENN_KENT_0420201901,TENN_KENT_0420201901_PA02HOME02,br,R. Johnson advanced to second.,0,Johnson,NA,NA,B,B0,0,Shinn,Johnson,NA,E,E0,0
TENN_KENT_0420201901,TENN_KENT_0420201901_PA02HOME03,bat,C. Kessler grounded into double play 2b to ss to 1b (1-2 FFB);,0,Shinn,Johnson,NA,E,E0,1,Shinn,Johnson,NA,E,E1,0
TENN_KENT_0420201901,TENN_KENT_0420201901_PA02HOME03,br,R. Shinn out on the play;,0,Shinn,Johnson,NA,E,E0,2,NA,Johnson,NA,C,C2,0
TENN_KENT_0420201901,TENN_KENT_0420201901_PA02HOME03,br,R. Johnson advanced to third.,0,Shinn,Johnson,NA,E,E0,2,NA,NA,Johnson,D,D2,0
TENN_KENT_0420201901,TENN_KENT_0420201901_PA02HOME04,bat,A. Schultz flied out to rf (2-0 BB).,2,NA,NA,Johnson,D,D2,3,NA,NA,Johnson,D,D3,0
TENN_KENT_0420201901,TENN_KENT_0420201901_PA03AWAY01,bat,MARTINEZ  R. flied out to lf (1-1 BK).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TENN_KENT_0420201901,TENN_KENT_0420201901_PA03AWAY02,bat,RUSSELL  E. struck out looking (2-2 BBSKK).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
TENN_KENT_0420201901,TENN_KENT_0420201901_PA03AWAY03,bat,RUCKER  J. struck out swinging (1-2 FFBS).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
TENN_KENT_0420201901,TENN_KENT_0420201901_PA04HOME01,bat,T. Collett hit by pitch (1-0 B).,0,NA,NA,NA,A,A0,0,Collett,NA,NA,B,B0,0
