GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
TENN_VAND_0330201901,TENN_VAND_0330201901_PA01AWAY01,bat,AMMONS flied out to cf (1-1 BF).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TENN_VAND_0330201901,TENN_VAND_0330201901_PA01AWAY02,bat,CHARLESTON singled  bunt (2-1 KBB).,1,NA,NA,NA,A,A1,1,Charleston,NA,NA,B,B1,0
TENN_VAND_0330201901,TENN_VAND_0330201901_PA01AWAY03,br,CHARLESTON stole second advanced to third on an error by c.,1,Charleston,NA,NA,B,B1,1,NA,NA,Charleston,D,D1,0
TENN_VAND_0330201901,TENN_VAND_0330201901_PA01AWAY04,bat,LIPCIUS  A. walked (3-2 FBSFBBFFB).,1,NA,NA,Charleston,D,D1,1,Lipcius,NA,Charleston,F,F1,0
TENN_VAND_0330201901,TENN_VAND_0330201901_PA01AWAY05,bat,SOULARIE  A. doubled to center field  RBI (2-2 BSKFB);,1,Lipcius,NA,Charleston,F,F1,1,Lipcius,Soularie,Charleston,H,H1,0
TENN_VAND_0330201901,TENN_VAND_0330201901_PA01AWAY05,br,LIPCIUS A. advanced to third;,1,Lipcius,NA,Charleston,F,F1,1,NA,Soularie,Lipcius,G,G1,0
TENN_VAND_0330201901,TENN_VAND_0330201901_PA01AWAY05,br,CHARLESTON scored.,1,Lipcius,NA,Charleston,F,F1,1,NA,Soularie,Lipcius,G,G1,1
TENN_VAND_0330201901,TENN_VAND_0330201901_PA01AWAY06,bat,RUSSELL  E. flied out to cf  SF  RBI (1-2 KKB);,1,NA,Soularie,Lipcius,G,G1,2,NA,Soularie,Lipcius,G,G2,0
TENN_VAND_0330201901,TENN_VAND_0330201901_PA01AWAY06,br,SOULARIE A. advanced to third;,1,NA,Soularie,Lipcius,G,G1,2,NA,NA,Soularie,D,D2,0
TENN_VAND_0330201901,TENN_VAND_0330201901_PA01AWAY06,br,LIPCIUS A. scored.,1,NA,Soularie,Lipcius,G,G1,2,NA,NA,Soularie,D,D2,1
TENN_VAND_0330201901,TENN_VAND_0330201901_PA01AWAY07,bat,MARTINEZ  R. struck out swinging (2-2 SBBSS).,2,NA,NA,Soularie,D,D2,3,NA,NA,Soularie,D,D3,0
TENN_VAND_0330201901,TENN_VAND_0330201901_PA02HOME01,bat,Davis singled to center field (2-0 BB).,0,NA,NA,NA,A,A0,0,Davis,NA,NA,B,B0,0
TENN_VAND_0330201901,TENN_VAND_0330201901_PA02HOME02,bat,Ray struck out swinging (0-2 KKS);,0,Davis,NA,NA,B,B0,1,Davis,NA,NA,B,B1,0
TENN_VAND_0330201901,TENN_VAND_0330201901_PA02HOME02,br,Davis stole second.,0,Davis,NA,NA,B,B0,1,NA,Davis,NA,C,C1,0
TENN_VAND_0330201901,TENN_VAND_0330201901_PA02HOME03,bat,Bleday singled to left field (2-2 BKBF);,1,NA,Davis,NA,C,C1,1,Bleday,Davis,NA,E,E1,0
TENN_VAND_0330201901,TENN_VAND_0330201901_PA02HOME03,br,Davis advanced to third.,1,NA,Davis,NA,C,C1,1,Bleday,NA,Davis,F,F1,0
