GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
TXAM_ABAM_0510201901,TXAM_ABAM_0510201901_PA01AWAY01,bat,SHEWMAKE flied out to lf (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TXAM_ABAM_0510201901,TXAM_ABAM_0510201901_PA01AWAY02,bat,BLAUM grounded out to 3b (1-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
TXAM_ABAM_0510201901,TXAM_ABAM_0510201901_PA01AWAY03,other,Out at first reviewed - Call upheld.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TXAM_ABAM_0510201901,TXAM_ABAM_0510201901_PA01AWAY04,bat,DELOACH walked (3-2).,2,NA,NA,NA,A,A2,2,Deloach,NA,NA,B,B2,0
TXAM_ABAM_0510201901,TXAM_ABAM_0510201901_PA01AWAY05,bat,HOEHNER singled through the left side (0-0);,2,Deloach,NA,NA,B,B2,2,Hoehner,NA,NA,B,B2,0
TXAM_ABAM_0510201901,TXAM_ABAM_0510201901_PA01AWAY05,br,DELOACH advanced to second.,2,Deloach,NA,NA,B,B2,2,Hoehner,Deloach,NA,E,E2,0
TXAM_ABAM_0510201901,TXAM_ABAM_0510201901_PA01AWAY06,bat,BLAKE hit by pitch (1-1);,2,Hoehner,Deloach,NA,E,E2,2,Blake,Deloach,NA,E,E2,0
TXAM_ABAM_0510201901,TXAM_ABAM_0510201901_PA01AWAY06,br,HOEHNER advanced to second;,2,Hoehner,Deloach,NA,E,E2,2,Blake,Hoehner,NA,E,E2,0
TXAM_ABAM_0510201901,TXAM_ABAM_0510201901_PA01AWAY06,br,DELOACH advanced to third.,2,Hoehner,Deloach,NA,E,E2,2,Blake,Hoehner,Deloach,H,H2,0
TXAM_ABAM_0510201901,TXAM_ABAM_0510201901_PA01AWAY07,bat,FOSTER grounded out to 3b (3-2).,2,Blake,Hoehner,Deloach,H,H2,3,Blake,Hoehner,Deloach,H,H3,0
TXAM_ABAM_0510201901,TXAM_ABAM_0510201901_PA02HOME01,bat,Auerbach flied out to lf (0-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TXAM_ABAM_0510201901,TXAM_ABAM_0510201901_PA02HOME02,bat,Reeves reached on an error by ss (0-0).,1,NA,NA,NA,A,A1,1,Reeves,NA,NA,B,B1,0
TXAM_ABAM_0510201901,TXAM_ABAM_0510201901_PA02HOME03,bat,McCullough singled through the left side (1-2);,1,Reeves,NA,NA,B,B1,1,Mccullough,NA,NA,B,B1,0
TXAM_ABAM_0510201901,TXAM_ABAM_0510201901_PA02HOME03,br,Reeves advanced to second.,1,Reeves,NA,NA,B,B1,1,Mccullough,Reeves,NA,E,E1,0
TXAM_ABAM_0510201901,TXAM_ABAM_0510201901_PA02HOME04,br,McCullough advanced to second;,1,Mccullough,Reeves,NA,E,E1,1,NA,Mccullough,NA,C,C1,0
