GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
TXAM_KENT_0322201901,TXAM_KENT_0322201901_PA01AWAY01,bat,BLAUM struck out looking (3-2 BBKBFFK).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TXAM_KENT_0322201901,TXAM_KENT_0322201901_PA01AWAY02,bat,BLAKE reached on a throwing error by ss (2-1 BKB).,1,NA,NA,NA,A,A1,1,Blake,NA,NA,B,B1,0
TXAM_KENT_0322201901,TXAM_KENT_0322201901_PA01AWAY03,bat,SHEWMAKE grounded into double play 2b to ss to 1b (1-0 B);,1,Blake,NA,NA,B,B1,2,Blake,NA,NA,B,B2,0
TXAM_KENT_0322201901,TXAM_KENT_0322201901_PA01AWAY03,br,BLAKE out on the play.,1,Blake,NA,NA,B,B1,3,NA,NA,NA,A,A3,0
TXAM_KENT_0322201901,TXAM_KENT_0322201901_PA02HOME01,bat,B. Daniel grounded out to 2b (1-1 KB).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TXAM_KENT_0322201901,TXAM_KENT_0322201901_PA02HOME02,bat,R. Shinn homered to right field  RBI (3-1 BSBB).,1,NA,NA,NA,A,A1,1,NA,NA,NA,A,A1,1
TXAM_KENT_0322201901,TXAM_KENT_0322201901_PA02HOME03,bat,T. Collett grounded out to 3b (2-1 BKB).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
TXAM_KENT_0322201901,TXAM_KENT_0322201901_PA02HOME04,bat,J. Shelby struck out swinging (2-2 KFFBFBS).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
TXAM_KENT_0322201901,TXAM_KENT_0322201901_PA03AWAY01,bat,DUCOFF struck out looking (1-2 SSBK).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TXAM_KENT_0322201901,TXAM_KENT_0322201901_PA03AWAY02,bat,COLEMAN  T. hit by pitch (0-2 KF).,1,NA,NA,NA,A,A1,1,Coleman,NA,NA,B,B1,0
