GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
TXAM_LSTU_0406201901,TXAM_LSTU_0406201901_PA01AWAY01,bat,BLAUM walked (3-1 BBSBB).,0,NA,NA,NA,A,A0,0,Blaum,NA,NA,B,B0,0
TXAM_LSTU_0406201901,TXAM_LSTU_0406201901_PA01AWAY02,batbr,BLAKE singled to shortstop advanced to second on a throwing error by ss (0-0);,0,Blaum,NA,NA,B,B0,0,Blake,NA,NA,B,B0,0
TXAM_LSTU_0406201901,TXAM_LSTU_0406201901_PA01AWAY02,batbr,BLAKE singled to shortstop advanced to second on a throwing error by ss (0-0);,0,Blaum,NA,NA,B,B0,0,NA,Blake,NA,C,C0,0
TXAM_LSTU_0406201901,TXAM_LSTU_0406201901_PA01AWAY02,br,BLAUM advanced to third.,0,Blaum,NA,NA,B,B0,0,NA,Blake,Blaum,G,G0,0
TXAM_LSTU_0406201901,TXAM_LSTU_0406201901_PA01AWAY03,bat,SHEWMAKE popped up to ss (0-2 SF).,0,NA,Blake,Blaum,G,G0,1,NA,Blake,Blaum,G,G1,0
TXAM_LSTU_0406201901,TXAM_LSTU_0406201901_PA01AWAY04,bat,DUCOFF struck out swinging (1-2 SBSS).,1,NA,Blake,Blaum,G,G1,2,NA,Blake,Blaum,G,G2,0
TXAM_LSTU_0406201901,TXAM_LSTU_0406201901_PA01AWAY05,bat,COLEMAN  T. struck out swinging (2-2 BBFFS).,2,NA,Blake,Blaum,G,G2,3,NA,Blake,Blaum,G,G3,0
TXAM_LSTU_0406201901,TXAM_LSTU_0406201901_PA02HOME01,bat,Smith walked (3-1 BBBSB).,0,NA,NA,NA,A,A0,0,Smith,NA,NA,B,B0,0
TXAM_LSTU_0406201901,TXAM_LSTU_0406201901_PA02HOME02,bat,Watson grounded into double play 3b to 2b to 1b (1-2 SFFB);,0,Smith,NA,NA,B,B0,1,Smith,NA,NA,B,B1,0
TXAM_LSTU_0406201901,TXAM_LSTU_0406201901_PA02HOME02,br,Smith out on the play.,0,Smith,NA,NA,B,B0,2,NA,NA,NA,A,A2,0
