GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA01AWAY01,bat,BLAUM struck out swinging.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA01AWAY02,bat,DELOACH grounded out to ss.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA01AWAY03,bat,SHEWMAKE struck out swinging.,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA02HOME01,bat,R. Olenek singled to right center.,0,NA,NA,NA,A,A0,0,Olenek,NA,NA,B,B0,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA02HOME02,bat,G. Kessinger struck out swinging  hit into double play c to 2b;,0,Olenek,NA,NA,B,B0,1,Olenek,NA,NA,B,B1,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA02HOME02,br,R. Olenek out on the play.,0,Olenek,NA,NA,B,B0,2,NA,NA,NA,A,A2,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA02HOME03,bat,T. Keenan doubled down the lf line.,2,NA,NA,NA,A,A2,2,NA,Keenan,NA,C,C2,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA02HOME04,bat,T. Dillard struck out looking.,2,NA,Keenan,NA,C,C2,3,NA,Keenan,NA,C,C3,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA03AWAY01,bat,FOSTER grounded out to 1b unassisted.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA03AWAY02,bat,HOEHNER grounded out to ss.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA03AWAY03,bat,DUCOFF struck out swinging.,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA04HOME01,bat,C. Johnson struck out swinging.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA04HOME02,bat,C. Zabowski struck out swinging.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA04HOME03,bat,Fitzsimmons struck out swinging.,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA05AWAY01,bat,COLEMAN  T. grounded out to ss.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA05AWAY02,bat,FRIZZELL struck out swinging.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA05AWAY03,bat,BROWN grounded out to p.,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA06HOME01,bat,A. Servideo homered to right field  RBI.,0,NA,NA,NA,A,A0,0,NA,NA,NA,A,A0,1
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA06HOME02,bat,J. Hall popped up to 2b.,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA06HOME03,bat,R. Olenek grounded out to ss.,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA06HOME04,bat,G. Kessinger struck out looking.,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA07AWAY01,bat,BLAUM singled to pitcher.,0,NA,NA,NA,A,A0,0,Blaum,NA,NA,B,B0,0
TXAM_OMSS_0426201901,TXAM_OMSS_0426201901_PA07AWAY02,bat,DELOACH singled to left center;,0,Blaum,NA,NA,B,B0,0,Deloach,NA,NA,B,B0,0
