GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
TXAM_SCAR_0420201901,TXAM_SCAR_0420201901_PA01AWAY01,other,No play.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TXAM_SCAR_0420201901,TXAM_SCAR_0420201901_PA01AWAY02,bat,BLAUM struck out swinging (2-2 KBFBS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
TXAM_SCAR_0420201901,TXAM_SCAR_0420201901_PA01AWAY03,bat,BLAKE fouled out to 3b (2-2 KBFBFF).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
TXAM_SCAR_0420201901,TXAM_SCAR_0420201901_PA01AWAY04,bat,SHEWMAKE grounded out to p (1-1 SB).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
TXAM_SCAR_0420201901,TXAM_SCAR_0420201901_PA02HOME01,bat,Campbell hit by pitch (2-2 BSBK).,0,NA,NA,NA,A,A0,0,Campbell,NA,NA,B,B0,0
TXAM_SCAR_0420201901,TXAM_SCAR_0420201901_PA02HOME02,bat,Callil hit by pitch (1-0 B);,0,Campbell,NA,NA,B,B0,0,Callil,NA,NA,B,B0,0
TXAM_SCAR_0420201901,TXAM_SCAR_0420201901_PA02HOME02,br,Campbell advanced to second.,0,Campbell,NA,NA,B,B0,0,Callil,Campbell,NA,E,E0,0
TXAM_SCAR_0420201901,TXAM_SCAR_0420201901_PA02HOME03,bat,Hopkins flied out to rf (1-2 BSF).,0,Callil,Campbell,NA,E,E0,1,Callil,Campbell,NA,E,E1,0
TXAM_SCAR_0420201901,TXAM_SCAR_0420201901_PA02HOME04,bat,Berryhill homered to right center  3 RBI (3-1 BBSB);,1,Callil,Campbell,NA,E,E1,1,NA,NA,NA,A,A1,1
TXAM_SCAR_0420201901,TXAM_SCAR_0420201901_PA02HOME04,br,Callil scored;,1,Callil,Campbell,NA,E,E1,1,NA,NA,NA,A,A1,1
