GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA01AWAY01,bat,Martin struck out looking (2-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA01AWAY02,bat,Bleday homered down the rf line  RBI (0-1).,1,NA,NA,NA,A,A1,1,NA,NA,NA,A,A1,1
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA01AWAY03,bat,Paul reached on an error by ss (3-2).,1,NA,NA,NA,A,A1,1,Paul,NA,NA,B,B1,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA01AWAY04,bat,Clarke struck out looking (1-2).,1,Paul,NA,NA,B,B1,2,Paul,NA,NA,B,B2,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA01AWAY05,br,Paul out at first c to 1b picked off.,2,Paul,NA,NA,B,B2,3,NA,NA,NA,A,A3,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA02HOME01,bat,Holcombe singled through the left side (0-1).,0,NA,NA,NA,A,A0,0,Holcombe,NA,NA,B,B0,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA02HOME02,bat,Reeves struck out looking (2-2).,0,Holcombe,NA,NA,B,B0,1,Holcombe,NA,NA,B,B1,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA02HOME03,bat,McCullough flied out to lf (0-0).,1,Holcombe,NA,NA,B,B1,2,Holcombe,NA,NA,B,B2,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA02HOME04,bat,Gentry grounded out to 3b (0-1).,2,Holcombe,NA,NA,B,B2,3,Holcombe,NA,NA,B,B3,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA03AWAY01,bat,Ray flied out to rf (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA03AWAY02,bat,Scott doubled down the rf line (0-0).,1,NA,NA,NA,A,A1,1,NA,Scott,NA,C,C1,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA03AWAY03,bat,Thomas grounded out to 3b (1-2).,1,NA,Scott,NA,C,C1,2,NA,Scott,NA,C,C2,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA03AWAY04,sub,Duvall pinch hit for Raby.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA03AWAY05,bat,Duvall walked (3-2).,2,NA,Scott,NA,C,C2,2,Duvall,Scott,NA,E,E2,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA03AWAY06,br,Duvall out at second c to 2b caught stealing.,2,Duvall,Scott,NA,E,E2,3,NA,Scott,NA,C,C3,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA04HOME01,bat,Williamson singled to left field (0-0).,0,NA,NA,NA,A,A0,0,Williamson,NA,NA,B,B0,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA04HOME02,bat,Auerbach fouled out to rf (2-0).,0,Williamson,NA,NA,B,B0,1,Williamson,NA,NA,B,B1,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA04HOME03,bat,Breaux homered to right field  2 RBI (0-0);,1,Williamson,NA,NA,B,B1,1,NA,NA,NA,A,A1,1
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA04HOME03,br,Williamson scored.,1,Williamson,NA,NA,B,B1,1,NA,NA,NA,A,A1,1
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA04HOME04,bat,Hawk flied out to cf to right center (0-0).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA04HOME05,bat,Robinson grounded out to 3b (1-0).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA05AWAY01,bat,Infante singled to left field (2-1).,0,NA,NA,NA,A,A0,0,Infante,NA,NA,B,B0,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA05AWAY02,bat,Martin grounded into double play 2b to ss to 1b (0-0);,0,Infante,NA,NA,B,B0,1,Infante,NA,NA,B,B1,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA05AWAY02,br,Infante out on the play.,0,Infante,NA,NA,B,B0,2,NA,NA,NA,A,A2,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA05AWAY03,other,Infante originally called safe at 2nd - Call reviewed & overturned.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA05AWAY04,batbr,Bleday struck out swinging out at first c to 1b (1-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA05AWAY04,batbr,Bleday struck out swinging out at first c to 1b (1-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA06HOME01,batbr,Holcombe struck out swinging out at first c to 1b (0-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA06HOME01,batbr,Holcombe struck out swinging out at first c to 1b (0-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA06HOME02,bat,Reeves struck out looking (1-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA06HOME03,bat,McCullough grounded out to 2b (0-0).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
VAND_ABAM_0419201901,VAND_ABAM_0419201901_PA07AWAY01,bat,Paul singled to center field (1-1).,0,NA,NA,NA,A,A0,0,Paul,NA,NA,B,B0,0
