GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA01AWAY01,bat,Davis walked (3-2 BBKSBB).,0,NA,NA,NA,A,A0,0,Davis,NA,NA,B,B0,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA01AWAY02,bat,Martin struck out swinging (0-2 KSK).,0,Davis,NA,NA,B,B0,1,Davis,NA,NA,B,B1,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA01AWAY03,br,Davis advanced to second on a wild pitch.,1,Davis,NA,NA,B,B1,1,NA,Davis,NA,C,C1,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA01AWAY04,bat,Bleday walked (3-1 BBKBB).,1,NA,Davis,NA,C,C1,1,Bleday,Davis,NA,E,E1,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA01AWAY05,bat,Scott struck out looking (3-2 BBSSBFK).,1,Bleday,Davis,NA,E,E1,2,Bleday,Davis,NA,E,E2,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA01AWAY06,bat,Clarke flied out to cf (0-0).,2,Bleday,Davis,NA,E,E2,3,Bleday,Davis,NA,E,E3,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA02HOME01,bat,Shepherd popped up to 2b (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA02HOME02,bat,King  R. flied out to cf (3-1 BBFB).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA02HOME03,bat,Schunk singled  bunt (0-0).,2,NA,NA,NA,A,A2,2,Schunk,NA,NA,B,B2,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA02HOME04,bat,Talley popped up to ss (3-2 BBFBS).,2,Schunk,NA,NA,B,B2,3,Schunk,NA,NA,B,B3,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA03AWAY01,bat,Ray popped up to 2b (1-2 SBS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA03AWAY02,bat,Paul flied out to cf (1-2 SBFF).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA03AWAY03,sub,Duvall pinch hit for Raby.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA03AWAY04,bat,Duvall grounded out to ss (2-1 BKB).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA04HOME01,bat,Cable doubled to left field (1-0 B).,0,NA,NA,NA,A,A0,0,NA,Cable,NA,C,C0,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA04HOME02,other,Cable 2B if it was caught by LF under review. Upheld. Safe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA04HOME03,batbr,Marshall struck out out at first c to 1b (1-2 BSSFS).,0,NA,Cable,NA,C,C0,1,NA,Cable,NA,C,C1,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA04HOME03,batbr,Marshall struck out out at first c to 1b (1-2 BSSFS).,0,NA,Cable,NA,C,C0,1,NA,Cable,NA,C,C1,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA04HOME04,bat,Rogers doubled to right field  RBI (1-2 BSS);,1,NA,Cable,NA,C,C1,1,NA,Rogers,NA,C,C1,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA04HOME04,br,Cable scored.,1,NA,Cable,NA,C,C1,1,NA,Rogers,NA,C,C1,1
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA04HOME05,bat,Jernigan singled to center field  RBI (0-1 S);,1,NA,Rogers,NA,C,C1,1,Jernigan,Rogers,NA,E,E1,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA04HOME05,br,Rogers scored.,1,NA,Rogers,NA,C,C1,1,Jernigan,NA,NA,B,B1,1
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA04HOME06,bat,Maxwell struck out swinging (1-2 SSFBFS).,1,Jernigan,NA,NA,B,B1,2,Jernigan,NA,NA,B,B2,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA04HOME07,bat,Shepherd flied out to lf (1-1 FB).,2,Jernigan,NA,NA,B,B2,3,Jernigan,NA,NA,B,B3,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA05AWAY01,bat,Infante walked (3-2 SBBSFBB).,0,NA,NA,NA,A,A0,0,Infante,NA,NA,B,B0,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA05AWAY02,br,Infante stole second.,0,Infante,NA,NA,B,B0,0,NA,Infante,NA,C,C0,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA05AWAY03,bat,Davis grounded out to 1b unassisted (3-2 BBSBF);,0,NA,Infante,NA,C,C0,1,NA,Infante,NA,C,C1,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA05AWAY03,br,Infante advanced to third.,0,NA,Infante,NA,C,C0,1,NA,NA,Infante,D,D1,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA05AWAY04,bat,Martin grounded out to 2b  RBI (1-2 FFB);,1,NA,NA,Infante,D,D1,2,NA,NA,Infante,D,D2,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA05AWAY04,br,Infante scored.,1,NA,NA,Infante,D,D1,2,NA,NA,NA,A,A2,1
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA05AWAY05,bat,Bleday flied out to cf (1-2 SBSFF).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA06HOME01,bat,King  R. walked (3-1 BSBBB).,0,NA,NA,NA,A,A0,0,King,NA,NA,B,B0,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA06HOME02,bat,Schunk struck out swinging (1-2 BFSFS).,0,King,NA,NA,B,B0,1,King,NA,NA,B,B1,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA06HOME03,bat,Talley lined into double play 2b to 1b (1-2 SBK);,1,King,NA,NA,B,B1,2,King,NA,NA,B,B2,0
VAND_GEOR_0407201901,VAND_GEOR_0407201901_PA06HOME03,br,King R. out on the play.,1,King,NA,NA,B,B1,3,NA,NA,NA,A,A3,0
