GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
VAND_KENT_0517201901,VAND_KENT_0517201901_PA01AWAY01,bat,Martin flied out to rf (2-1 SBB).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA01AWAY02,bat,Bleday singled to center field (2-1 KBB).,1,NA,NA,NA,A,A1,1,Bleday,NA,NA,B,B1,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA01AWAY03,bat,Paul singled to pitcher  bunt (0-0);,1,Bleday,NA,NA,B,B1,1,Paul,NA,NA,B,B1,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA01AWAY03,br,Bleday advanced to second.,1,Bleday,NA,NA,B,B1,1,Paul,Bleday,NA,E,E1,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA01AWAY04,bat,Clarke flied out to lf (1-2 BFF).,1,Paul,Bleday,NA,E,E1,2,Paul,Bleday,NA,E,E2,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA01AWAY05,bat,DeMarco flied out to ss (2-1 FBB).,2,Paul,Bleday,NA,E,E2,3,Paul,Bleday,NA,E,E3,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA02HOME01,bat,R. Johnson grounded out to ss (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA02HOME02,bat,R. Shinn grounded out to ss (0-1 K).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA02HOME03,bat,E. Curtis singled through the right side (0-1 K).,2,NA,NA,NA,A,A2,2,Curtis,NA,NA,B,B2,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA02HOME04,br,E. Curtis advanced to second on a balk.,2,Curtis,NA,NA,B,B2,2,NA,Curtis,NA,C,C2,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA02HOME05,bat,C. Kessler struck out swinging (1-2 KSBS).,2,NA,Curtis,NA,C,C2,3,NA,Curtis,NA,C,C3,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA03AWAY01,bat,Scott homered to center field  RBI (1-2 SFB).,0,NA,NA,NA,A,A0,0,NA,NA,NA,A,A0,1
VAND_KENT_0517201901,VAND_KENT_0517201901_PA03AWAY02,bat,Ray flied out to lf (2-2 KBFFB).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA03AWAY03,sub,Duvall to dh for Raby.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VAND_KENT_0517201901,VAND_KENT_0517201901_PA03AWAY04,bat,Duvall struck out looking (2-2 KBKBFK).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA03AWAY05,bat,Infante flied out to 2b (0-1 K).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA04HOME01,bat,Jr. Shelby doubled down the lf line (1-1 SB).,0,NA,NA,NA,A,A0,0,NA,Shelby,NA,C,C0,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA04HOME02,bat,C. Hill grounded out to c  SAC  bunt (2-0 BB);,0,NA,Shelby,NA,C,C0,1,NA,Shelby,NA,C,C1,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA04HOME02,br,Jr. Shelby advanced to third.,0,NA,Shelby,NA,C,C0,1,NA,NA,Shelby,D,D1,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA04HOME03,bat,D. Reed flied out to cf  SF  RBI (0-0);,1,NA,NA,Shelby,D,D1,2,NA,NA,Shelby,D,D2,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA04HOME03,br,Jr. Shelby scored.,1,NA,NA,Shelby,D,D1,2,NA,NA,NA,A,A2,1
VAND_KENT_0517201901,VAND_KENT_0517201901_PA04HOME04,bat,Z. Lewis grounded out to 1b unassisted (2-2 BSKBF).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA05AWAY01,bat,Martin walked (3-2 BBBKFB).,0,NA,NA,NA,A,A0,0,Martin,NA,NA,B,B0,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA05AWAY02,br,Martin stole second advanced to third on a throwing error by c.,0,Martin,NA,NA,B,B0,0,NA,NA,Martin,D,D0,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA05AWAY03,bat,Bleday homered to right field  2 RBI (3-1 BKBB);,0,NA,NA,Martin,D,D0,0,NA,NA,NA,A,A0,1
VAND_KENT_0517201901,VAND_KENT_0517201901_PA05AWAY03,br,Martin scored.,0,NA,NA,Martin,D,D0,0,NA,NA,NA,A,A0,1
VAND_KENT_0517201901,VAND_KENT_0517201901_PA05AWAY04,bat,Paul walked (3-1 BFBBB).,0,NA,NA,NA,A,A0,0,Paul,NA,NA,B,B0,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA05AWAY05,batbr,Clarke doubled down the rf line out at third rf to c to 3b RBI (0-0);,0,Paul,NA,NA,B,B0,0,Paul,Clarke,NA,E,E0,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA05AWAY05,batbr,Clarke doubled down the rf line out at third rf to c to 3b RBI (0-0);,0,Paul,NA,NA,B,B0,1,Paul,NA,NA,B,B1,0
VAND_KENT_0517201901,VAND_KENT_0517201901_PA05AWAY05,br,Paul scored.,0,Paul,NA,NA,B,B0,1,NA,NA,NA,A,A1,1
