GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA01AWAY01,other,No play.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA01AWAY02,bat,Martin hit by pitch (1-1 SB).,0,NA,NA,NA,A,A0,0,Martin,NA,NA,B,B0,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA01AWAY03,bat,Bleday walked (3-2 BKSBBB);,0,Martin,NA,NA,B,B0,0,Bleday,NA,NA,B,B0,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA01AWAY03,br,Martin advanced to second.,0,Martin,NA,NA,B,B0,0,Bleday,Martin,NA,E,E0,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA01AWAY04,bat,Paul flied out to cf to left center (0-0).,0,Bleday,Martin,NA,E,E0,1,Bleday,Martin,NA,E,E1,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA01AWAY05,bat,Clarke grounded into double play 2b to ss to 1b (0-1 S);,1,Bleday,Martin,NA,E,E1,2,Bleday,Martin,NA,E,E2,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA01AWAY05,br,Bleday out on the play.,1,Bleday,Martin,NA,E,E1,3,NA,Martin,NA,C,C3,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA02HOME01,bat,Campbell struck out swinging (1-2 KBFS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA02HOME02,bat,Callil struck out looking (1-2 KBFK).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA02HOME03,bat,Hopkins walked (3-1 BSBBB).,2,NA,NA,NA,A,A2,2,Hopkins,NA,NA,B,B2,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA02HOME04,br,Hopkins stole second.,2,Hopkins,NA,NA,B,B2,2,NA,Hopkins,NA,C,C2,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA02HOME05,bat,Berryhill flied out to cf (1-0 B).,2,NA,Hopkins,NA,C,C2,3,NA,Hopkins,NA,C,C3,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA03AWAY01,bat,Duvall walked (3-2 BSBSFBB).,0,NA,NA,NA,A,A0,0,Duvall,NA,NA,B,B0,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA03AWAY02,bat,DeMarco struck out swinging (1-2 KFBS).,0,Duvall,NA,NA,B,B0,1,Duvall,NA,NA,B,B1,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA03AWAY03,bat,Scott grounded into double play 1b to ss (1-1 FB);,1,Duvall,NA,NA,B,B1,2,Duvall,NA,NA,B,B2,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA03AWAY03,br,Duvall out on the play.,1,Duvall,NA,NA,B,B1,3,NA,NA,NA,A,A3,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA04HOME01,bat,Olson doubled to left center (2-2 KFBBF).,0,NA,NA,NA,A,A0,0,NA,Olson,NA,C,C0,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA04HOME02,bat,Eyster doubled to right center  RBI (0-1 S);,0,NA,Olson,NA,C,C0,0,NA,Eyster,NA,C,C0,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA04HOME02,br,Olson scored.,0,NA,Olson,NA,C,C0,0,NA,Eyster,NA,C,C0,1
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA04HOME03,bat,Allen grounded out to p  SAC  bunt (0-0);,0,NA,Eyster,NA,C,C0,1,NA,Eyster,NA,C,C1,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA04HOME03,br,Eyster advanced to third.,0,NA,Eyster,NA,C,C0,1,NA,NA,Eyster,D,D1,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA04HOME04,bat,Cullen flied out to rf  SF  RBI (0-1 F);,1,NA,NA,Eyster,D,D1,2,NA,NA,Eyster,D,D2,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA04HOME04,br,Eyster scored.,1,NA,NA,Eyster,D,D1,2,NA,NA,NA,A,A2,1
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA04HOME05,bat,Sightler struck out swinging (0-2 KSS).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA05AWAY01,bat,Ray grounded out to 3b (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA05AWAY02,bat,Infante singled to right center (0-2 KK).,1,NA,NA,NA,A,A1,1,Infante,NA,NA,B,B1,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA05AWAY03,br,Infante stole second.,1,Infante,NA,NA,B,B1,1,NA,Infante,NA,C,C1,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA05AWAY04,bat,Martin walked (3-2 KBBBSB).,1,NA,Infante,NA,C,C1,1,Martin,Infante,NA,E,E1,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA05AWAY05,bat,Bleday singled to left field (1-0 B);,1,Martin,Infante,NA,E,E1,1,Bleday,Infante,NA,E,E1,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA05AWAY05,br,Martin advanced to second;,1,Martin,Infante,NA,E,E1,1,Bleday,Martin,NA,E,E1,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA05AWAY05,br,Infante advanced to third.,1,Martin,Infante,NA,E,E1,1,Bleday,Martin,Infante,H,H1,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA05AWAY06,batbr,Paul reached on a fielding error by 1b RBI advanced to second on the error (0-1 K);,1,Bleday,Martin,Infante,H,H1,1,Paul,Martin,Infante,H,H1,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA05AWAY06,batbr,Paul reached on a fielding error by 1b RBI advanced to second on the error (0-1 K);,1,Bleday,Martin,Infante,H,H1,1,NA,Paul,Infante,G,G1,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA05AWAY06,br,Bleday advanced to third;,1,Bleday,Martin,Infante,H,H1,1,NA,Paul,Bleday,G,G1,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA05AWAY06,br,Martin scored;,1,Bleday,Martin,Infante,H,H1,1,NA,Paul,Bleday,G,G1,1
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA05AWAY06,br,Infante scored.,1,Bleday,Martin,Infante,H,H1,1,NA,Paul,Bleday,G,G1,1
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA05AWAY07,bat,Clarke singled to second base  RBI (2-2 BFBS);,1,NA,Paul,Bleday,G,G1,1,Clarke,Paul,Bleday,H,H1,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA05AWAY07,br,Paul advanced to third;,1,NA,Paul,Bleday,G,G1,1,Clarke,NA,Paul,F,F1,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA05AWAY07,br,Bleday scored unearned.,1,NA,Paul,Bleday,G,G1,1,Clarke,NA,Paul,F,F1,1
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA05AWAY08,bat,Duvall struck out swinging (1-2 SSBS).,1,Clarke,NA,Paul,F,F1,2,Clarke,NA,Paul,F,F2,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA05AWAY09,bat,DeMarco grounded out to p (3-2 BBKSB).,2,Clarke,NA,Paul,F,F2,3,Clarke,NA,Paul,F,F3,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA06HOME01,batbr,Campbell struck out swinging out at first c to 1b (1-2 BFFFS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA06HOME01,batbr,Campbell struck out swinging out at first c to 1b (1-2 BFFFS).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA06HOME02,bat,Callil struck out looking (2-2 KKBBK).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
VAND_SCAR_0505201901,VAND_SCAR_0505201901_PA06HOME03,bat,Hopkins flied out to cf to left center (2-0 BB).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
