GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
VAND_TXAM_0315201901,VAND_TXAM_0315201901_PA01AWAY01,bat,DAVIS struck out looking (2-2 KSBBK).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
VAND_TXAM_0315201901,VAND_TXAM_0315201901_PA01AWAY02,bat,MARTIN singled up the middle (0-0).,1,NA,NA,NA,A,A1,1,Martin,NA,NA,B,B1,0
VAND_TXAM_0315201901,VAND_TXAM_0315201901_PA01AWAY03,bat,BLEDAY struck out looking (1-2 KBKK).,1,Martin,NA,NA,B,B1,2,Martin,NA,NA,B,B2,0
VAND_TXAM_0315201901,VAND_TXAM_0315201901_PA01AWAY04,bat,SCOTT walked (3-2 FFBBBFFB);,2,Martin,NA,NA,B,B2,2,Scott,NA,NA,B,B2,0
VAND_TXAM_0315201901,VAND_TXAM_0315201901_PA01AWAY04,br,MARTIN advanced to second.,2,Martin,NA,NA,B,B2,2,Scott,Martin,NA,E,E2,0
VAND_TXAM_0315201901,VAND_TXAM_0315201901_PA01AWAY05,bat,DEMARCO singled to left field  RBI (1-2 KKFBFFF);,2,Scott,Martin,NA,E,E2,2,Demarco,Martin,NA,E,E2,0
VAND_TXAM_0315201901,VAND_TXAM_0315201901_PA01AWAY05,br,SCOTT advanced to second;,2,Scott,Martin,NA,E,E2,2,Demarco,Scott,NA,E,E2,0
VAND_TXAM_0315201901,VAND_TXAM_0315201901_PA01AWAY05,br,MARTIN scored.,2,Scott,Martin,NA,E,E2,2,Demarco,Scott,NA,E,E2,1
VAND_TXAM_0315201901,VAND_TXAM_0315201901_PA01AWAY06,bat,CLARKE fouled out to 3b (1-1 KB).,2,Demarco,Scott,NA,E,E2,3,Demarco,Scott,NA,E,E3,0
VAND_TXAM_0315201901,VAND_TXAM_0315201901_PA02HOME01,bat,BLAUM flied out to cf (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
VAND_TXAM_0315201901,VAND_TXAM_0315201901_PA02HOME02,bat,FOSTER walked (3-1 BBBKB).,1,NA,NA,NA,A,A1,1,Foster,NA,NA,B,B1,0
VAND_TXAM_0315201901,VAND_TXAM_0315201901_PA02HOME03,bat,SHEWMAKE walked (3-0 BBBB);,1,Foster,NA,NA,B,B1,1,Shewmake,NA,NA,B,B1,0
VAND_TXAM_0315201901,VAND_TXAM_0315201901_PA02HOME03,br,FOSTER advanced to second.,1,Foster,NA,NA,B,B1,1,Shewmake,Foster,NA,E,E1,0
VAND_TXAM_0315201901,VAND_TXAM_0315201901_PA02HOME04,bat,HOEHNER walked (3-1 BBKBB);,1,Shewmake,Foster,NA,E,E1,1,Hoehner,Foster,NA,E,E1,0
VAND_TXAM_0315201901,VAND_TXAM_0315201901_PA02HOME04,br,SHEWMAKE advanced to second;,1,Shewmake,Foster,NA,E,E1,1,Hoehner,Shewmake,NA,E,E1,0
VAND_TXAM_0315201901,VAND_TXAM_0315201901_PA02HOME04,br,FOSTER advanced to third.,1,Shewmake,Foster,NA,E,E1,1,Hoehner,Shewmake,Foster,H,H1,0
VAND_TXAM_0315201901,VAND_TXAM_0315201901_PA02HOME05,bat,FRIZZELL grounded out to ss  RBI (1-2 FSB);,1,Hoehner,Shewmake,Foster,H,H1,2,Hoehner,Shewmake,Foster,H,H2,0
