Sequence,GameID,PlateAppID,NumComponents,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,FinalBaseOutState,TotalRPrime,R
1,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA01AWAY01,1,0,NA,NA,NA,A,A0,0,Auerbach,NA,NA,B,B0,0,0
2,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA01AWAY02,1,0,Auerbach,NA,NA,B,B0,2,NA,NA,NA,A,A2,0,0
3,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA01AWAY03,1,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0,0
4,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA02HOME01,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,2
5,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA02HOME02,1,1,NA,NA,NA,A,A1,1,Bliss,NA,NA,B,B1,0,2
6,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA02HOME03,1,1,Bliss,NA,NA,B,B1,1,NA,Bliss,NA,C,C1,0,2
7,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA02HOME04,1,1,NA,Bliss,NA,C,C1,1,Julien,Bliss,NA,E,E1,0,2
8,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA02HOME05,3,1,Julien,Bliss,NA,E,E1,1,Davis,Julien,Bliss,H,H1,0,2
9,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA02HOME06,2,1,Davis,Julien,Bliss,H,H1,2,Davis,Julien,NA,E,E2,1,2
10,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA02HOME07,3,2,Davis,Julien,NA,E,E2,2,NA,Woley,Davis,G,G2,1,1
11,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA02HOME08,1,2,NA,Woley,Davis,G,G2,3,NA,Woley,Davis,G,G3,0,0
12,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA03AWAY01,1,0,NA,NA,NA,A,A0,0,Gentry,NA,NA,B,B0,0,0
13,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA03AWAY02,1,0,Gentry,NA,NA,B,B0,1,Gentry,NA,NA,B,B1,0,0
14,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA03AWAY03,2,1,Gentry,NA,NA,B,B1,1,Breaux,Gentry,NA,E,E1,0,0
15,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA03AWAY04,1,1,Breaux,Gentry,NA,E,E1,2,Breaux,Gentry,NA,E,E2,0,0
16,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA03AWAY05,3,2,Breaux,Gentry,NA,E,E2,2,Holcombe,Breaux,Gentry,H,H2,0,0
17,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA03AWAY06,1,2,Holcombe,Breaux,Gentry,H,H2,3,Holcombe,Breaux,Gentry,H,H3,0,0
18,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA04HOME02,1,0,NA,NA,NA,A,A0,0,NA,Howell,NA,C,C0,0,0
19,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA04HOME03,1,0,NA,Howell,NA,C,C0,1,NA,Howell,NA,C,C1,0,0
20,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA04HOME04,1,1,NA,Howell,NA,C,C1,2,NA,Howell,NA,C,C2,0,0
21,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA04HOME05,1,2,NA,Howell,NA,C,C2,3,NA,Howell,NA,C,C3,0,0
22,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA05AWAY01,1,0,NA,NA,NA,A,A0,0,Auerbach,NA,NA,B,B0,0,0
23,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA05AWAY02,1,0,Auerbach,NA,NA,B,B0,1,Auerbach,NA,NA,B,B1,0,0
24,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA05AWAY03,2,1,Auerbach,NA,NA,B,B1,3,NA,NA,NA,A,A3,0,0
25,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA06HOME01,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,0
26,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA06HOME02,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,0
27,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA06HOME03,1,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0,0
28,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA07AWAY01,1,0,NA,NA,NA,A,A0,0,Gentry,NA,NA,B,B0,0,1
29,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA07AWAY02,1,0,Gentry,NA,NA,B,B0,0,NA,Gentry,NA,C,C0,0,1
30,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA07AWAY03,2,0,NA,Gentry,NA,C,C0,0,NA,Williamson,Gentry,G,G0,0,1
31,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA07AWAY04,1,0,NA,Williamson,Gentry,G,G0,1,NA,Williamson,Gentry,G,G1,0,1
32,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA07AWAY05,3,1,NA,Williamson,Gentry,G,G1,1,Robinson,NA,Williamson,F,F1,1,1
33,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA07AWAY06,2,1,Robinson,NA,Williamson,F,F1,2,Holcombe,NA,Williamson,F,F2,0,0
34,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA07AWAY07,2,2,Holcombe,NA,Williamson,F,F2,3,Morris,NA,Williamson,F,F3,0,0
35,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA08HOME01,1,0,NA,NA,NA,A,A0,0,Woley,NA,NA,B,B0,0,0
36,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA08HOME02,2,0,Woley,NA,NA,B,B0,0,Williams,Woley,NA,E,E0,0,0
37,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA08HOME03,1,0,Williams,Woley,NA,E,E0,1,Williams,Woley,NA,E,E1,0,0
38,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA08HOME04,2,1,Williams,Woley,NA,E,E1,2,Williams,NA,Woley,F,F2,0,0
39,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA08HOME05,1,2,Williams,NA,Woley,F,F2,3,Williams,NA,Woley,F,F3,0,0
40,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA09AWAY01,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,0
41,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA09AWAY02,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,0
42,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA09AWAY03,1,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0,0
43,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA10HOME02,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,2
44,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA10HOME03,1,1,NA,NA,NA,A,A1,1,Julien,NA,NA,B,B1,0,2
45,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA10HOME04,1,1,Julien,NA,NA,B,B1,1,Davis,Julien,NA,E,E1,0,2
46,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA10HOME06,1,1,Davis,Julien,NA,E,E1,2,Scheffler,NA,Julien,F,F2,0,2
47,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA10HOME07,3,2,Scheffler,NA,Julien,F,F2,2,NA,Woley,NA,C,C2,2,2
48,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA10HOME08,1,2,NA,Woley,NA,C,C2,2,NA,NA,Woley,D,D2,0,0
49,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA10HOME09,1,2,NA,NA,Woley,D,D2,2,Williams,NA,Woley,F,F2,0,0
50,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA10HOME10,1,2,Williams,NA,Woley,F,F2,2,NA,Williams,Woley,G,G2,0,0
51,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA10HOME11,1,2,NA,Williams,Woley,G,G2,3,NA,Williams,Woley,G,G3,0,0
52,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA11AWAY02,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,0
53,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA11AWAY03,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,0
54,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA11AWAY04,1,2,NA,NA,NA,A,A2,2,Breaux,NA,NA,B,B2,0,0
55,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA11AWAY05,1,2,Breaux,NA,NA,B,B2,2,NA,Breaux,NA,C,C2,0,0
56,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA11AWAY06,1,2,NA,Breaux,NA,C,C2,3,NA,Breaux,NA,C,C3,0,0
57,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA12HOME01,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,0
58,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA12HOME02,1,1,NA,NA,NA,A,A1,1,Ward,NA,NA,B,B1,0,0
59,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA12HOME03,2,1,Ward,NA,NA,B,B1,1,Bliss,Ward,NA,E,E1,0,0
60,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA12HOME04,1,1,Bliss,Ward,NA,E,E1,2,Bliss,Ward,NA,E,E2,0,0
61,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA12HOME05,1,2,Bliss,Ward,NA,E,E2,3,Bliss,Ward,NA,E,E3,0,0
62,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA13AWAY01,1,0,NA,NA,NA,A,A0,0,Holcombe,NA,NA,B,B0,0,0
63,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA13AWAY02,2,0,Holcombe,NA,NA,B,B0,2,NA,NA,NA,A,A2,0,0
64,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA13AWAY03,1,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0,0
65,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA14HOME02,1,0,NA,NA,NA,A,A0,0,Scheffler,NA,NA,B,B0,0,0
66,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA14HOME03,1,0,Scheffler,NA,NA,B,B0,1,NA,NA,NA,A,A1,0,0
67,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA14HOME04,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,0
68,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA14HOME05,1,2,NA,NA,NA,A,A2,2,Williams,NA,NA,B,B2,0,0
69,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA14HOME06,1,2,Williams,NA,NA,B,B2,3,Williams,NA,NA,B,B3,0,0
70,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA15AWAY01,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,0
71,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA15AWAY02,1,1,NA,NA,NA,A,A1,1,Mccullough,NA,NA,B,B1,0,0
72,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA15AWAY03,2,1,Mccullough,NA,NA,B,B1,2,NA,Mccullough,NA,C,C2,0,0
73,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA15AWAY04,1,2,NA,Mccullough,NA,C,C2,3,NA,Mccullough,NA,C,C3,0,0
74,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA16HOME01,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,1
75,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA16HOME02,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,1
76,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA16HOME03,1,2,NA,NA,NA,A,A2,2,NA,Bliss,NA,C,C2,0,1
77,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA16HOME04,2,2,NA,Bliss,NA,C,C2,2,NA,NA,Julien,D,D2,1,1
78,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA16HOME05,1,2,NA,NA,Julien,D,D2,3,NA,NA,Julien,D,D3,0,0
79,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA17AWAY02,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,0
80,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA17AWAY03,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,0
81,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA17AWAY04,1,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0,0
1,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA01AWAY02,1,0,NA,NA,NA,A,A0,0,Auerbach,NA,NA,B,B0,0,1
2,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA01AWAY03,1,0,Auerbach,NA,NA,B,B0,1,Auerbach,NA,NA,B,B1,0,1
3,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA01AWAY04,2,1,Auerbach,NA,NA,B,B1,1,Mccullough,Auerbach,NA,E,E1,0,1
4,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA01AWAY05,3,1,Mccullough,Auerbach,NA,E,E1,1,Gentry,Mccullough,Auerbach,H,H1,0,1
5,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA01AWAY06,4,1,Gentry,Mccullough,Auerbach,H,H1,1,Williamson,Gentry,Mccullough,H,H1,1,1
6,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA01AWAY07,1,1,Williamson,Gentry,Mccullough,H,H1,2,Williamson,Gentry,Mccullough,H,H2,0,0
7,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA01AWAY08,1,2,Williamson,Gentry,Mccullough,H,H2,3,Williamson,Gentry,Mccullough,H,H3,0,0
8,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA02HOME01,1,0,NA,NA,NA,A,A0,0,Ward,NA,NA,B,B0,0,0
9,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA02HOME02,2,0,Ward,NA,NA,B,B0,2,NA,NA,NA,A,A2,0,0
10,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA02HOME03,1,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0,0
11,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA03AWAY01,1,0,NA,NA,NA,A,A0,0,NA,Ras,NA,C,C0,0,1
12,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA03AWAY02,2,0,NA,Ras,NA,C,C0,0,Morris,NA,Ras,F,F0,0,1
13,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA03AWAY03,3,0,Morris,NA,Ras,F,F0,0,Auerbach,Morris,NA,E,E0,1,1
14,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA03AWAY04,1,0,Auerbach,Morris,NA,E,E0,1,Auerbach,Morris,NA,E,E1,0,0
15,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA03AWAY05,4,1,Auerbach,Morris,NA,E,E1,2,NA,Auerbach,Morris,G,G2,0,0
16,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA03AWAY06,1,2,NA,Auerbach,Morris,G,G2,3,NA,Auerbach,Morris,G,G3,0,0
17,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA04HOME01,1,0,NA,NA,NA,A,A0,0,Davis,NA,NA,B,B0,0,0
18,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA04HOME02,2,0,Davis,NA,NA,B,B0,0,Scheffler,Davis,NA,E,E0,0,0
19,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA04HOME03,1,0,Scheffler,Davis,NA,E,E0,1,Scheffler,Davis,NA,E,E1,0,0
20,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA04HOME04,3,1,Scheffler,Davis,NA,E,E1,2,NA,Scheffler,Davis,G,G2,0,0
21,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA04HOME05,1,2,NA,Scheffler,Davis,G,G2,3,NA,Scheffler,Davis,G,G3,0,0
22,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA05AWAY01,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,0
23,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA05AWAY02,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,0
24,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA05AWAY03,1,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0,0
25,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA06HOME01,1,0,NA,NA,NA,A,A0,0,NA,Holland,NA,C,C0,0,1
26,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA06HOME02,3,0,NA,Holland,NA,C,C0,0,NA,Ward,NA,C,C0,1,1
27,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA06HOME03,2,0,NA,Ward,NA,C,C0,1,NA,NA,Ward,D,D1,0,0
28,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA06HOME04,1,1,NA,NA,Ward,D,D1,2,NA,NA,Ward,D,D2,0,0
29,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA06HOME05,1,2,NA,NA,Ward,D,D2,3,NA,NA,Ward,D,D3,0,0
30,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA07AWAY01,1,0,NA,NA,NA,A,A0,0,Ras,NA,NA,B,B0,0,0
31,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA07AWAY02,2,0,Ras,NA,NA,B,B0,0,Morris,Ras,NA,E,E0,0,0
32,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA07AWAY04,3,0,Morris,Ras,NA,E,E0,2,NA,NA,Ras,D,D2,0,0
33,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA07AWAY05,2,2,NA,NA,Ras,D,D2,3,NA,NA,Ras,D,D3,0,0
34,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA08HOME01,1,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0,0
35,ABAM_AUBN_0504201901,ABAM_AUBN_0504201901_PA08HOME02,1,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0,0
