GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA01AWAY01,bat,Auerbach flied out to cf (1-0 B).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA01AWAY02,bat,Reeves homered to center field  RBI (2-2 BBSF).,1,NA,NA,NA,A,A1,1,NA,NA,NA,A,A1,1
ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA01AWAY03,bat,McCullough singled to right field (1-2 FFFB).,1,NA,NA,NA,A,A1,1,Mccullough,NA,NA,B,B1,0
ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA01AWAY04,bat,Gentry struck out looking (3-2 BBBKFK);,1,Mccullough,NA,NA,B,B1,2,Mccullough,NA,NA,B,B2,0
ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA01AWAY04,br,McCullough stole second.,1,Mccullough,NA,NA,B,B1,2,NA,Mccullough,NA,C,C2,0
ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA01AWAY05,bat,Williamson struck out looking (2-2 KFBFBK).,2,NA,Mccullough,NA,C,C2,3,NA,Mccullough,NA,C,C3,0
ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA02HOME01,bat,Ward  J. flied out to lf (2-2 SBBK).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA02HOME02,bat,Bliss  R. flied out to cf (2-2 KFBBF).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA02HOME03,bat,Julien  E. hit by pitch (0-0).,2,NA,NA,NA,A,A2,2,Julien,NA,NA,B,B2,0
ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA02HOME04,bat,Davis  Co. singled to shortstop (3-2 BFBKBF);,2,Julien,NA,NA,B,B2,2,Davis,NA,NA,B,B2,0
ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA02HOME04,br,Julien E. advanced to second.,2,Julien,NA,NA,B,B2,2,Davis,Julien,NA,E,E2,0
ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA02HOME05,bat,Scheffler  M grounded out to ss (0-0).,2,Davis,Julien,NA,E,E2,3,Davis,Julien,NA,E,E3,0
ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA03AWAY01,bat,Breaux grounded out to 2b (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA03AWAY02,bat,Robinson grounded out to c (0-2 KK).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA03AWAY03,bat,Ras flied out to cf to left center (0-0).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA04HOME01,bat,Williams  S. walked (3-1 KBBBB).,0,NA,NA,NA,A,A0,0,Williams,NA,NA,B,B0,0
ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA04HOME02,bat,Howell  K. grounded out to 3b  SAC  bunt (1-1 BK);,0,Williams,NA,NA,B,B0,1,Williams,NA,NA,B,B1,0
ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA04HOME02,br,Williams S. advanced to second.,0,Williams,NA,NA,B,B0,1,NA,Williams,NA,C,C1,0
ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA04HOME03,sub,Lee to p for Rukes.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
