GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA01AWAY01,bat,Breaux struck out swinging (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA01AWAY02,bat,Robinson walked (3-1).,1,NA,NA,NA,A,A1,1,Robinson,NA,NA,B,B1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA01AWAY03,bat,McCullough singled through the right side (1-0);,1,Robinson,NA,NA,B,B1,1,Mccullough,NA,NA,B,B1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA01AWAY03,br,Robinson advanced to second.,1,Robinson,NA,NA,B,B1,1,Mccullough,Robinson,NA,E,E1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA01AWAY04,bat,Holcombe flied out to rf (1-2);,1,Mccullough,Robinson,NA,E,E1,2,Mccullough,Robinson,NA,E,E2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA01AWAY04,br,Robinson advanced to third.,1,Mccullough,Robinson,NA,E,E1,2,Mccullough,NA,Robinson,F,F2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA01AWAY05,bat,Gentry struck out swinging (2-2).,2,Mccullough,NA,Robinson,F,F2,3,Mccullough,NA,Robinson,F,F3,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA02HOME01,bat,J. Young flied out to lf (1-1).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA02HOME02,bat,McConnell homered to left field  RBI (1-2).,1,NA,NA,NA,A,A1,1,NA,NA,NA,A,A1,1
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA02HOME03,bat,Maldonado flied out to lf (2-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA02HOME04,bat,Calilao singled to shortstop (1-1).,2,NA,NA,NA,A,A2,2,Calilao,NA,NA,B,B2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA02HOME05,bat,Dalton struck out swinging (2-2).,2,Calilao,NA,NA,B,B2,3,Calilao,NA,NA,B,B3,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA03AWAY01,bat,Williamson homered to left field  RBI (1-0).,0,NA,NA,NA,A,A0,0,NA,NA,NA,A,A0,1
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA03AWAY02,bat,Reeves flied out to rf (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA03AWAY03,bat,Morris struck out looking (0-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA03AWAY04,bat,Hawk singled to shortstop (0-0).,2,NA,NA,NA,A,A2,2,Hawk,NA,NA,B,B2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA03AWAY05,bat,Breaux grounded out to 2b (0-2).,2,Hawk,NA,NA,B,B2,3,Hawk,NA,NA,B,B3,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA04HOME01,bat,Acton lined out to 1b (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA04HOME02,bat,Reese struck out swinging (2-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA04HOME03,bat,Langworthy struck out swinging (3-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA05AWAY01,bat,Robinson grounded out to 3b (0-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA05AWAY02,bat,McCullough flied out to lf (0-1).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA05AWAY03,bat,Holcombe hit by pitch (1-2).,2,NA,NA,NA,A,A2,2,Holcombe,NA,NA,B,B2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA05AWAY04,bat,Gentry grounded out to p (1-1).,2,Holcombe,NA,NA,B,B2,3,Holcombe,NA,NA,B,B3,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA06HOME01,bat,Smith flied out to cf (1-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA06HOME02,bat,J. Young homered to left field  RBI (3-1).,1,NA,NA,NA,A,A1,1,NA,NA,NA,A,A1,1
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA06HOME03,bat,McConnell singled to third base  bunt (0-0).,1,NA,NA,NA,A,A1,1,Mcconnell,NA,NA,B,B1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA06HOME04,br,McConnell stole second.,1,Mcconnell,NA,NA,B,B1,1,NA,Mcconnell,NA,C,C1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA06HOME05,bat,Maldonado homered to left field  2 RBI (3-2);,1,NA,Mcconnell,NA,C,C1,1,NA,NA,NA,A,A1,1
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA06HOME05,br,McConnell scored.,1,NA,Mcconnell,NA,C,C1,1,NA,NA,NA,A,A1,1
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA06HOME06,bat,Calilao flied out to cf (1-1).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA06HOME07,bat,Dalton homered to left field  RBI (2-0).,2,NA,NA,NA,A,A2,2,NA,NA,NA,A,A2,1
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA06HOME08,bat,Acton struck out swinging (2-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA07AWAY01,bat,Williamson flied out to cf (3-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA07AWAY02,bat,Reeves hit by pitch (2-1).,1,NA,NA,NA,A,A1,1,Reeves,NA,NA,B,B1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA07AWAY03,bat,Morris walked (3-2);,1,Reeves,NA,NA,B,B1,1,Morris,NA,NA,B,B1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA07AWAY03,br,Reeves advanced to second.,1,Reeves,NA,NA,B,B1,1,Morris,Reeves,NA,E,E1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA07AWAY04,br,Morris advanced to second on a passed ball;,1,Morris,Reeves,NA,E,E1,1,NA,Morris,Reeves,G,G1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA07AWAY04,br,Reeves advanced to third on a passed ball.,1,Morris,Reeves,NA,E,E1,1,NA,Morris,Reeves,G,G1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA07AWAY05,bat,Hawk walked (3-0).,1,NA,Morris,Reeves,G,G1,1,Hawk,Morris,Reeves,H,H1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA07AWAY06,sub,Scott to p for Dyson.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA07AWAY07,bat,Breaux flied out to lf  SF  RBI (1-0);,1,Hawk,Morris,Reeves,H,H1,2,Hawk,Morris,Reeves,H,H2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA07AWAY07,br,Reeves scored.,1,Hawk,Morris,Reeves,H,H1,2,Hawk,Morris,NA,E,E2,1
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA07AWAY08,bat,Robinson grounded out to 2b (1-2).,2,Hawk,Morris,NA,E,E2,3,Hawk,Morris,NA,E,E3,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA08HOME01,bat,Reese singled to shortstop (1-0).,0,NA,NA,NA,A,A0,0,Reese,NA,NA,B,B0,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA08HOME02,bat,Langworthy singled to left field (2-1);,0,Reese,NA,NA,B,B0,0,Langworthy,NA,NA,B,B0,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA08HOME02,br,Reese advanced to second.,0,Reese,NA,NA,B,B0,0,Langworthy,Reese,NA,E,E0,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA08HOME03,sub,Rukes to p for Love.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA08HOME04,batbr,Smith out at first 3b to 2b SAC bunt (0-1);,0,Langworthy,Reese,NA,E,E0,0,Langworthy,Reese,NA,E,E0,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA08HOME04,batbr,Smith out at first 3b to 2b SAC bunt (0-1);,0,Langworthy,Reese,NA,E,E0,1,Langworthy,Reese,NA,E,E1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA08HOME04,br,Langworthy advanced to second;,0,Langworthy,Reese,NA,E,E0,1,NA,Langworthy,NA,C,C1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA08HOME04,br,Reese advanced to third.,0,Langworthy,Reese,NA,E,E0,1,NA,Langworthy,Reese,G,G1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA08HOME05,bat,J. Young singled to right center  2 RBI (0-1);,1,NA,Langworthy,Reese,G,G1,1,Young,Langworthy,Reese,H,H1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA08HOME05,br,Langworthy scored;,1,NA,Langworthy,Reese,G,G1,1,Young,NA,Reese,F,F1,1
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA08HOME05,br,Reese scored.,1,NA,Langworthy,Reese,G,G1,1,Young,NA,NA,B,B1,1
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA08HOME06,bat,McConnell grounded into double play ss to 2b to 1b (0-0);,1,Young,NA,NA,B,B1,2,Young,NA,NA,B,B2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA08HOME06,br,J. Young out on the play.,1,Young,NA,NA,B,B1,3,NA,NA,NA,A,A3,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA09AWAY01,bat,McCullough flied out to lf (0-1).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA09AWAY02,bat,Holcombe struck out swinging (2-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA09AWAY03,bat,Gentry walked (3-0).,2,NA,NA,NA,A,A2,2,Gentry,NA,NA,B,B2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA09AWAY04,batbr,Williamson struck out swinging out at first c to 1b (0-2).,2,Gentry,NA,NA,B,B2,3,Gentry,NA,NA,B,B3,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA09AWAY04,batbr,Williamson struck out swinging out at first c to 1b (0-2).,2,Gentry,NA,NA,B,B2,3,Gentry,NA,NA,B,B3,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA10HOME01,bat,Maldonado grounded out to 3b (3-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA10HOME02,bat,Calilao lined out to ss (0-0).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA10HOME03,bat,Dalton lined out to 1b (1-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA11AWAY01,bat,Reeves struck out looking (2-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA11AWAY02,bat,Morris fouled out to lf (1-0).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA11AWAY03,bat,Hawk struck out swinging (1-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA12HOME01,bat,Acton grounded out to ss (3-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA12HOME02,bat,Reese struck out looking (0-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA12HOME03,bat,Langworthy singled to left field (1-0).,2,NA,NA,NA,A,A2,2,Langworthy,NA,NA,B,B2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA12HOME04,bat,Smith singled up the middle (1-0);,2,Langworthy,NA,NA,B,B2,2,Smith,NA,NA,B,B2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA12HOME04,br,Langworthy advanced to second.,2,Langworthy,NA,NA,B,B2,2,Smith,Langworthy,NA,E,E2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA12HOME05,bat,J. Young flied out to cf (0-0).,2,Smith,Langworthy,NA,E,E2,3,Smith,Langworthy,NA,E,E3,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA13AWAY01,bat,Breaux singled through the left side (2-2).,0,NA,NA,NA,A,A0,0,Breaux,NA,NA,B,B0,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA13AWAY02,bat,Robinson flied out to lf (0-0).,0,Breaux,NA,NA,B,B0,1,Breaux,NA,NA,B,B1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA13AWAY03,bat,McCullough hit by pitch (0-0);,1,Breaux,NA,NA,B,B1,1,Mccullough,NA,NA,B,B1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA13AWAY03,br,Breaux advanced to second.,1,Breaux,NA,NA,B,B1,1,Mccullough,Breaux,NA,E,E1,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA13AWAY04,bat,Holcombe flied out to cf (0-2);,1,Mccullough,Breaux,NA,E,E1,2,Mccullough,Breaux,NA,E,E2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA13AWAY04,br,Breaux advanced to third.,1,Mccullough,Breaux,NA,E,E1,2,Mccullough,NA,Breaux,F,F2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA13AWAY05,br,McCullough advanced to second on a passed ball;,2,Mccullough,NA,Breaux,F,F2,2,NA,Mccullough,Breaux,G,G2,0
ABAM_FLOR_0330201901,ABAM_FLOR_0330201901_PA13AWAY05,br,Breaux scored on a passed ball unearned.,2,NA,Mccullough,Breaux,G,G2,2,NA,Mccullough,NA,C,C2,1
