GameID,PlateAppID,HomeAway,RunnerName,Hole,Action,StartBase,EndBase,BasesAdded,SB,SBA,OutsAdded,Fielder1,Fielder2,RunsAdded,PO,POA,WP,PB,AOE,bostartOuts,bostartOnFirst,bostartOnSecond,bostartOnThird,bostartBaseState,bostartBaseOutState,boendOuts,boendOnFirst,boendOnSecond,boendOnThird,boendBaseState,boendBaseOutState
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA04HOME02,home,Talley,4,out,1,0,-1,0,0,1,NA,NA,0,0,0,0,0,0,0,Talley,NA,NA,B,B0,2,NA,NA,NA,A,A2
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA05AWAY02,away,King,7,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0,0,King,NA,NA,B,B0,0,Robinson,King,NA,E,E0
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA05AWAY03,away,Morris,9,out,0,0,0,0,0,1,p,2b,0,0,0,0,0,0,0,Robinson,King,NA,E,E0,1,Robinson,King,NA,E,E1
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA05AWAY03,away,Robinson,8,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0,0,Robinson,King,NA,E,E0,1,NA,Robinson,NA,C,C1
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA05AWAY03,away,King,7,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0,0,Robinson,King,NA,E,E0,1,NA,Robinson,King,G,G1
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA05AWAY04,away,King,7,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0,1,NA,Robinson,King,G,G1,2,NA,Robinson,NA,C,C2
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA06HOME03,home,Rogers,9,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0,1,Rogers,NA,NA,B,B1,1,King,Rogers,NA,E,E1
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA06HOME04,home,King,2,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0,1,King,Rogers,NA,E,E1,1,NA,Schunk,King,G,G1
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA06HOME04,home,Rogers,9,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0,1,King,Rogers,NA,E,E1,1,NA,Schunk,King,G,G1
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA06HOME05,home,Schunk,3,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0,1,NA,Schunk,King,G,G1,2,NA,NA,Schunk,D,D2
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA06HOME05,home,King,2,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0,1,NA,Schunk,King,G,G1,2,NA,NA,Schunk,D,D2
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA06HOME06,home,Cable,5,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,1,2,NA,NA,Schunk,D,D2,2,NA,Cable,Schunk,G,G2
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA06HOME06,home,Schunk,3,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0,2,NA,NA,Schunk,D,D2,2,NA,Cable,NA,C,C2
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA07AWAY04,away,Reeves,5,stole,1,2,1,1,1,0,NA,NA,0,0,0,0,0,0,2,Reeves,NA,NA,B,B2,2,NA,Reeves,NA,C,C2
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA07AWAY05,away,Reeves,5,advanced,2,3,1,0,0,0,NA,NA,0,0,0,1,0,0,2,NA,Reeves,NA,C,C2,2,NA,NA,Reeves,D,D2
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA08HOME03,home,Meadows,8,advanced,1,2,1,0,0,0,NA,NA,0,0,0,1,0,0,1,Meadows,NA,NA,B,B1,1,NA,Meadows,NA,C,C1
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA11AWAY03,away,Mccullough,2,stole,1,2,1,1,1,0,NA,NA,0,0,0,0,0,0,1,Mccullough,NA,NA,B,B1,2,NA,Mccullough,NA,C,C2
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA11AWAY05,away,Reeves,5,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0,2,Reeves,Mccullough,NA,E,E2,2,Breaux,Reeves,NA,E,E2
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA11AWAY05,away,Mccullough,2,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0,2,Reeves,Mccullough,NA,E,E2,2,Breaux,Reeves,NA,E,E2
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA12HOME02,home,Shepherd,6,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,Shepherd,NA,C,C0,0,Sullivan,NA,Shepherd,F,F0
ABAM_GEOR_0516201901,ABAM_GEOR_0516201901_PA12HOME03,home,Sullivan,7,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0,0,Sullivan,NA,Shepherd,F,F0,0,Meadows,Sullivan,Shepherd,H,H0
