GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA01AWAY01,bat,Auerbach flied out to cf (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA01AWAY02,bat,McCullough walked (3-2).,1,NA,NA,NA,A,A1,1,Mccullough,NA,NA,B,B1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA01AWAY03,bat,Gentry hit by pitch (2-1);,1,Mccullough,NA,NA,B,B1,1,Gentry,NA,NA,B,B1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA01AWAY03,br,McCullough advanced to second.,1,Mccullough,NA,NA,B,B1,1,Gentry,Mccullough,NA,E,E1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA01AWAY04,bat,Williamson grounded into double play 2b to ss to 1b (2-1);,1,Gentry,Mccullough,NA,E,E1,2,Gentry,Mccullough,NA,E,E2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA01AWAY04,br,Gentry out on the play;,1,Gentry,Mccullough,NA,E,E1,3,NA,Mccullough,NA,C,C3,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA01AWAY04,br,McCullough advanced to third.,1,Gentry,Mccullough,NA,E,E1,3,NA,NA,Mccullough,D,D3,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA02HOME01,bat,Maxwell popped up to 2b (2-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA02HOME02,bat,King  R. flied out to rf (1-1).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA02HOME03,bat,Schunk grounded out to 3b (0-0).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA03AWAY01,batbr,Reeves struck out out at first c to 1b (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA03AWAY01,batbr,Reeves struck out out at first c to 1b (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA03AWAY02,bat,Breaux singled to left field (0-1).,1,NA,NA,NA,A,A1,1,Breaux,NA,NA,B,B1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA03AWAY03,bat,Robinson singled to right field (0-1);,1,Breaux,NA,NA,B,B1,1,Robinson,NA,NA,B,B1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA03AWAY03,br,Breaux advanced to second.,1,Breaux,NA,NA,B,B1,1,Robinson,Breaux,NA,E,E1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA03AWAY04,bat,Ras struck out looking (0-2).,1,Robinson,Breaux,NA,E,E1,2,Robinson,Breaux,NA,E,E2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA03AWAY05,bat,Morris popped up to lf (2-2).,2,Robinson,Breaux,NA,E,E2,3,Robinson,Breaux,NA,E,E3,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA04HOME01,bat,Talley singled to center field (1-2).,0,NA,NA,NA,A,A0,0,Talley,NA,NA,B,B0,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA04HOME02,bat,Cable doubled to center field  RBI (3-1);,0,Talley,NA,NA,B,B0,0,Talley,Cable,NA,E,E0,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA04HOME02,br,Talley scored.,0,Talley,NA,NA,B,B0,0,NA,Cable,NA,C,C0,1
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA04HOME03,bat,Shepherd grounded out to 2b (0-2);,0,NA,Cable,NA,C,C0,1,NA,Cable,NA,C,C1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA04HOME03,br,Cable advanced to third.,0,NA,Cable,NA,C,C0,1,NA,NA,Cable,D,D1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA04HOME04,bat,Sullivan popped up to ss (1-0).,1,NA,NA,Cable,D,D1,2,NA,NA,Cable,D,D2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA04HOME05,bat,Marshall singled to center field  RBI (2-2);,2,NA,NA,Cable,D,D2,2,Marshall,NA,Cable,F,F2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA04HOME05,br,Cable scored.,2,NA,NA,Cable,D,D2,2,Marshall,NA,NA,B,B2,1
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA04HOME06,bat,Rogers struck out swinging (0-2).,2,Marshall,NA,NA,B,B2,3,Marshall,NA,NA,B,B3,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA05AWAY01,bat,Auerbach walked (3-1).,0,NA,NA,NA,A,A0,0,Auerbach,NA,NA,B,B0,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA05AWAY02,bat,McCullough grounded into double play 2b to ss to 1b (0-2);,0,Auerbach,NA,NA,B,B0,1,Auerbach,NA,NA,B,B1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA05AWAY02,br,Auerbach out on the play.,0,Auerbach,NA,NA,B,B0,2,NA,NA,NA,A,A2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA05AWAY03,bat,Gentry homered to left field  RBI (0-0).,2,NA,NA,NA,A,A2,2,NA,NA,NA,A,A2,1
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA05AWAY04,bat,Williamson singled to right field (0-0).,2,NA,NA,NA,A,A2,2,Williamson,NA,NA,B,B2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA05AWAY05,br,Williamson advanced to second on a wild pitch.,2,Williamson,NA,NA,B,B2,2,NA,Williamson,NA,C,C2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA05AWAY06,bat,Reeves popped up to cf (1-2).,2,NA,Williamson,NA,C,C2,3,NA,Williamson,NA,C,C3,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA06HOME01,bat,Maxwell walked (3-2).,0,NA,NA,NA,A,A0,0,Maxwell,NA,NA,B,B0,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA06HOME02,bat,King  R. homered to left field  2 RBI (3-1);,0,Maxwell,NA,NA,B,B0,0,NA,NA,NA,A,A0,1
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA06HOME02,br,Maxwell scored.,0,Maxwell,NA,NA,B,B0,0,NA,NA,NA,A,A0,1
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA06HOME03,bat,Schunk flied out to cf (2-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA06HOME04,bat,Talley popped up to 2b (1-0).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA06HOME05,bat,Cable singled to right field (2-1).,2,NA,NA,NA,A,A2,2,Cable,NA,NA,B,B2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA06HOME06,bat,Shepherd flied out to cf (0-1).,2,Cable,NA,NA,B,B2,3,Cable,NA,NA,B,B3,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA07AWAY01,bat,Breaux walked (3-1).,0,NA,NA,NA,A,A0,0,Breaux,NA,NA,B,B0,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA07AWAY02,bat,Robinson popped up to lf (0-0).,0,Breaux,NA,NA,B,B0,1,Breaux,NA,NA,B,B1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA07AWAY03,br,Breaux advanced to second on a wild pitch.,1,Breaux,NA,NA,B,B1,1,NA,Breaux,NA,C,C1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA07AWAY04,bat,Ras struck out swinging (1-2).,1,NA,Breaux,NA,C,C1,2,NA,Breaux,NA,C,C2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA07AWAY05,bat,Morris flied out to cf (3-2).,2,NA,Breaux,NA,C,C2,3,NA,Breaux,NA,C,C3,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA08HOME01,bat,Sullivan singled to right field (1-0).,0,NA,NA,NA,A,A0,0,Sullivan,NA,NA,B,B0,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA08HOME02,bat,Marshall walked (3-1);,0,Sullivan,NA,NA,B,B0,0,Marshall,NA,NA,B,B0,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA08HOME02,br,Sullivan advanced to second.,0,Sullivan,NA,NA,B,B0,0,Marshall,Sullivan,NA,E,E0,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA08HOME03,bat,Rogers struck out swinging (0-2).,0,Marshall,Sullivan,NA,E,E0,1,Marshall,Sullivan,NA,E,E1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA08HOME04,bat,Maxwell struck out looking (3-2).,1,Marshall,Sullivan,NA,E,E1,2,Marshall,Sullivan,NA,E,E2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA08HOME05,bat,King  R. walked (3-2);,2,Marshall,Sullivan,NA,E,E2,2,King,Sullivan,NA,E,E2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA08HOME05,br,Marshall advanced to second;,2,Marshall,Sullivan,NA,E,E2,2,King,Marshall,NA,E,E2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA08HOME05,br,Sullivan advanced to third.,2,Marshall,Sullivan,NA,E,E2,2,King,Marshall,Sullivan,H,H2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA08HOME06,sub,Cobb to p for Love.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA08HOME07,bat,Schunk struck out swinging (0-2).,2,King,Marshall,Sullivan,H,H2,3,King,Marshall,Sullivan,H,H3,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA09AWAY01,bat,Auerbach flied out to lf (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA09AWAY02,bat,McCullough flied out to rf (3-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA09AWAY03,bat,Gentry walked (3-0).,2,NA,NA,NA,A,A2,2,Gentry,NA,NA,B,B2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA09AWAY04,bat,Williamson grounded out to 2b (1-0);,2,Gentry,NA,NA,B,B2,3,Gentry,NA,NA,B,B3,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA09AWAY04,br,Gentry advanced to second.,2,Gentry,NA,NA,B,B2,3,NA,Gentry,NA,C,C3,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA10HOME01,bat,Talley struck out swinging (1-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA10HOME02,bat,Cable singled to center field (3-2).,1,NA,NA,NA,A,A1,1,Cable,NA,NA,B,B1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA10HOME03,bat,Shepherd doubled to left field (2-2);,1,Cable,NA,NA,B,B1,1,Cable,Shepherd,NA,E,E1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA10HOME03,br,Cable advanced to third.,1,Cable,NA,NA,B,B1,1,NA,Shepherd,Cable,G,G1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA10HOME04,bat,Sullivan flied out to cf  SF  RBI (1-2);,1,NA,Shepherd,Cable,G,G1,2,NA,Shepherd,Cable,G,G2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA10HOME04,br,Cable scored.,1,NA,Shepherd,Cable,G,G1,2,NA,Shepherd,NA,C,C2,1
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA10HOME05,br,Shepherd stole third.,2,NA,Shepherd,NA,C,C2,2,NA,NA,Shepherd,D,D2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA10HOME06,bat,Marshall hit by pitch (2-2).,2,NA,NA,Shepherd,D,D2,2,Marshall,NA,Shepherd,F,F2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA10HOME07,bat,Rogers singled to center field  RBI (0-1);,2,Marshall,NA,Shepherd,F,F2,2,Rogers,NA,Shepherd,F,F2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA10HOME07,br,Marshall advanced to second;,2,Marshall,NA,Shepherd,F,F2,2,Rogers,Marshall,Shepherd,H,H2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA10HOME07,br,Shepherd scored.,2,Marshall,NA,Shepherd,F,F2,2,Rogers,Marshall,NA,E,E2,1
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA10HOME08,bat,Maxwell struck out swinging (3-2).,2,Rogers,Marshall,NA,E,E2,3,Rogers,Marshall,NA,E,E3,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA11AWAY01,bat,Reeves grounded out to ss (2-1).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA11AWAY02,batbr,Breaux out at first 1b to p (0-0).,1,NA,NA,NA,A,A1,1,NA,NA,NA,A,A1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA11AWAY02,batbr,Breaux out at first 1b to p (0-0).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA11AWAY03,bat,Robinson struck out swinging (2-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA12HOME01,bat,King  R. flied out to rf (0-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA12HOME02,bat,Schunk reached on an error by ss (2-2).,1,NA,NA,NA,A,A1,1,Schunk,NA,NA,B,B1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA12HOME03,bat,Talley singled to right field (1-0);,1,Schunk,NA,NA,B,B1,1,Talley,NA,NA,B,B1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA12HOME03,br,Schunk advanced to second.,1,Schunk,NA,NA,B,B1,1,Talley,Schunk,NA,E,E1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA12HOME04,bat,Cable singled to right field  RBI (2-2);,1,Talley,Schunk,NA,E,E1,1,Cable,Schunk,NA,E,E1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA12HOME04,br,Talley advanced to second;,1,Talley,Schunk,NA,E,E1,1,Cable,Talley,NA,E,E1,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA12HOME04,br,Schunk scored unearned.,1,Talley,Schunk,NA,E,E1,1,Cable,Talley,NA,E,E1,1
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA12HOME05,bat,Shepherd flied out to rf (1-2);,1,Cable,Talley,NA,E,E1,2,Cable,Talley,NA,E,E2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA12HOME05,br,Talley advanced to third.,1,Cable,Talley,NA,E,E1,2,Cable,NA,Talley,F,F2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA12HOME06,bat,Sullivan singled to right field  RBI (2-1);,2,Cable,NA,Talley,F,F2,2,Sullivan,NA,Talley,F,F2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA12HOME06,br,Cable advanced to second;,2,Cable,NA,Talley,F,F2,2,Sullivan,Cable,Talley,H,H2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA12HOME06,br,Talley scored unearned.,2,Cable,NA,Talley,F,F2,2,Sullivan,Cable,NA,E,E2,1
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA12HOME07,sub,Rukes to p for Cobb.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA12HOME08,bat,Marshall hit by pitch (1-1);,2,Sullivan,Cable,NA,E,E2,2,Marshall,Cable,NA,E,E2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA12HOME08,br,Sullivan advanced to second;,2,Sullivan,Cable,NA,E,E2,2,Marshall,Sullivan,NA,E,E2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA12HOME08,br,Cable advanced to third.,2,Sullivan,Cable,NA,E,E2,2,Marshall,Sullivan,Cable,H,H2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA12HOME09,sub,Tate Connor pinch hit for Rogers.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA12HOME10,bat,"Tate  Connor reached on a fielders choice (0-0);,2,Marshall,Sullivan,Cable,H,H2,2,Tate,Sullivan,Cable,H,H2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA12HOME10,br,Marshall advanced to second;,2,Marshall,Sullivan,Cable,H,H2,2,Tate,Marshall,Cable,H,H2,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA12HOME10,br,Sullivan out at third 3b unassisted.",2,Marshall,Sullivan,Cable,H,H2,3,Tate,Marshall,Cable,H,H3,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA13AWAY01,sub,Tate Connor to rf.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA13AWAY02,sub,Webb Ryan to p for Locey.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA13AWAY03,bat,Ras singled to left field (0-0).,0,NA,NA,NA,A,A0,0,Ras,NA,NA,B,B0,0
ABAM_GEOR_0517201901,ABAM_GEOR_0517201901_PA13AWAY04,bat,Morris popped up to 3b (3-1).,0,Ras,NA,NA,B,B0,1,Ras,NA,NA,B,B1,0
