GameID,PlateAppID,HomeAway,RunnerName,Hole,Action,StartBase,EndBase,BasesAdded,SB,SBA,OutsAdded,Fielder1,Fielder2,RunsAdded,PO,POA,WP,PB,AOE
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA02HOME04,home,Allen,3,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA04HOME02,home,Jordan,6,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA04HOME03,home,Cumbest,8,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA04HOME03,home,Jordan,6,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA04HOME04,home,Cumbest,8,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA04HOME05,home,Halter,9,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA04HOME05,home,Cumbest,8,out,3,0,-3,0,0,1,p,c.,0,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA04HOME07,home,Mangum,1,scored,1,4,3,0,0,0,NA,NA,1,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA04HOME07,home,Halter,9,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA05AWAY02,away,Hawk,8,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA08HOME03,home,Mangum,1,out,0,0,0,0,0,0,c,1b,0,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA11AWAY02,away,Mccullough,3,out,1,0,-1,0,0,1,3b,2b,0,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA12HOME04,home,Skelton,7,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA14HOME03,home,Mangum,1,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA14HOME05,home,Allen,3,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA14HOME05,home,Mangum,1,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA14HOME06,home,Macnamee,4,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA14HOME06,home,Allen,3,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA15AWAY02,away,Reeves,2,out,0,0,0,0,0,1,1b,p ,0,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA15AWAY02,away,Holcombe,1,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA17AWAY05,away,Breaux,7,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA17AWAY06,away,Breaux,7,advanced,2,3,1,0,0,0,NA,NA,0,0,0,1,0,0
