GameID,PlateAppID,AUType,AUString,startOuts,startOnFirst,startOnSecond,startOnThird,startBaseState,startBaseOutState,endOuts,endOnFirst,endOnSecond,endOnThird,endBaseState,endBaseOutState,RPrime
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA01AWAY01,bat,Holcombe struck out swinging (0-2).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA01AWAY02,bat,Reeves struck out swinging (2-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA01AWAY03,bat,McCullough struck out swinging (2-2).,2,NA,NA,NA,A,A2,3,NA,NA,NA,A,A3,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA02HOME01,bat,Mangum flied out to rf (1-0).,0,NA,NA,NA,A,A0,1,NA,NA,NA,A,A1,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA02HOME02,bat,Westburg struck out looking (3-2).,1,NA,NA,NA,A,A1,2,NA,NA,NA,A,A2,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA02HOME03,bat,Allen singled to third base (0-0).,2,NA,NA,NA,A,A2,2,Allen,NA,NA,B,B2,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA02HOME04,bat,MacNamee singled through the right side (0-1);,2,Allen,NA,NA,B,B2,2,Macnamee,NA,NA,B,B2,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA02HOME04,br,Allen advanced to second.,2,Allen,NA,NA,B,B2,2,Macnamee,Allen,NA,E,E2,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA02HOME05,bat,Foscue lined out to 3b (2-2).,2,Macnamee,Allen,NA,E,E2,3,Macnamee,Allen,NA,E,E3,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA03AWAY01,bat,Gentry doubled down the rf line (1-2).,0,NA,NA,NA,A,A0,0,NA,Gentry,NA,C,C0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA03AWAY02,bat,Williamson struck out swinging (1-2).,0,NA,Gentry,NA,C,C0,1,NA,Gentry,NA,C,C1,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA03AWAY03,bat,Auerbach struck out swinging (2-2).,1,NA,Gentry,NA,C,C1,2,NA,Gentry,NA,C,C2,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA03AWAY04,bat,Breaux grounded out to 3b (0-2).,2,NA,Gentry,NA,C,C2,3,NA,Gentry,NA,C,C3,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA04HOME01,bat,Jordan  R. singled to right field (2-1).,0,NA,NA,NA,A,A0,0,Jordan,NA,NA,B,B0,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA04HOME02,bat,Skelton grounded out to 3b (3-2);,0,Jordan,NA,NA,B,B0,1,Jordan,NA,NA,B,B1,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA04HOME02,br,Jordan R. advanced to second.,0,Jordan,NA,NA,B,B0,1,NA,Jordan,NA,C,C1,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA04HOME03,batbr,Cumbest singled advanced to second on the throw RBI (1-2);,1,NA,Jordan,NA,C,C1,1,Cumbest,Jordan,NA,E,E1,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA04HOME03,batbr,Cumbest singled advanced to second on the throw RBI (1-2);,1,NA,Jordan,NA,C,C1,1,NA,Cumbest,NA,C,C1,0
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA04HOME03,br,Jordan R. scored.,1,NA,Jordan,NA,C,C1,1,NA,Cumbest,NA,C,C1,1
ABAM_MSST_0412201901,ABAM_MSST_0412201901_PA04HOME04,bat,Halter singled to shortstop (1-1);,1,NA,Cumbest,NA,C,C1,1,Halter,Cumbest,NA,E,E1,0
