"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
4,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
5,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
6,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",2,"Allen",NA,NA,"B","B2",0,0
7,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA02HOME04",1,2,"Allen",NA,NA,"B","B2",3,"Allen",NA,NA,"B","B3",0,0
8,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",0,"Gentry",NA,NA,"B","B0",0,0
9,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA03AWAY02",2,0,"Gentry",NA,NA,"B","B0",2,NA,NA,NA,"A","A2",0,0
10,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA03AWAY03",2,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
11,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
12,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
13,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA04HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
14,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
15,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA05AWAY02",1,1,NA,NA,NA,"A","A1",1,"Robinson",NA,NA,"B","B1",0,0
16,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA05AWAY03",2,1,"Robinson",NA,NA,"B","B1",1,"Trousdale","Robinson",NA,"E","E1",0,0
17,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA05AWAY04",1,1,"Trousdale","Robinson",NA,"E","E1",2,"Trousdale","Robinson",NA,"E","E2",0,0
18,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA05AWAY05",1,2,"Trousdale","Robinson",NA,"E","E2",3,"Trousdale","Robinson",NA,"E","E3",0,0
19,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
20,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA06HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
21,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA06HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
22,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",0,"Mccullough",NA,NA,"B","B0",0,0
23,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA07AWAY02",1,0,"Mccullough",NA,NA,"B","B0",1,"Mccullough",NA,NA,"B","B1",0,0
24,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA07AWAY03",1,1,"Mccullough",NA,NA,"B","B1",2,NA,NA,NA,"A","A2",0,0
25,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA07AWAY04",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
26,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",0,"Westburg",NA,NA,"B","B0",0,2
27,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA08HOME02",2,0,"Westburg",NA,NA,"B","B0",0,"Allen","Westburg",NA,"E","E0",0,2
28,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA08HOME03",2,0,"Allen","Westburg",NA,"E","E0",0,NA,"Allen","Westburg","G","G0",0,2
29,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA08HOME04",1,0,NA,"Allen","Westburg","G","G0",0,"Macnamee","Allen","Westburg","H","H0",0,2
30,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA08HOME05",1,0,"Macnamee","Allen","Westburg","H","H0",0,"Macnamee","Allen","Westburg","H","H0",0,2
31,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA08HOME06",4,0,"Macnamee","Allen","Westburg","H","H0",0,"Jordan","Macnamee",NA,"E","E0",2,2
32,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA08HOME07",1,0,"Jordan","Macnamee",NA,"E","E0",1,"Jordan","Macnamee",NA,"E","E1",0,0
33,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA08HOME08",1,1,"Jordan","Macnamee",NA,"E","E1",2,"Jordan","Macnamee",NA,"E","E2",0,0
34,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA09AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
35,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA09AWAY02",1,1,NA,NA,NA,"A","A1",1,"Breaux",NA,NA,"B","B1",0,0
36,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA09AWAY03",2,1,"Breaux",NA,NA,"B","B1",1,"Robinson","Breaux",NA,"E","E1",0,0
37,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA09AWAY04",1,1,"Robinson","Breaux",NA,"E","E1",2,"Robinson","Breaux",NA,"E","E2",0,0
38,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA09AWAY05",1,2,"Robinson","Breaux",NA,"E","E2",3,"Robinson","Breaux",NA,"E","E3",0,0
39,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA10HOME01",1,0,NA,NA,NA,"A","A0",0,"Gilbert",NA,NA,"B","B0",0,1
40,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA10HOME03",2,0,"Gilbert",NA,NA,"B","B0",0,"Mangum","Gilbert",NA,"E","E0",0,1
41,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA10HOME04",3,0,"Mangum","Gilbert",NA,"E","E0",0,"Westburg","Mangum",NA,"E","E0",1,1
42,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA10HOME05",1,0,"Westburg","Mangum",NA,"E","E0",1,"Westburg","Mangum",NA,"E","E1",0,0
43,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA10HOME06",2,1,"Westburg","Mangum",NA,"E","E1",2,"Westburg",NA,"Mangum","F","F2",0,0
44,"ABAM_MSST_0413201901","ABAM_MSST_0413201901_PA10HOME07",1,2,"Westburg",NA,"Mangum","F","F2",3,"Westburg",NA,"Mangum","F","F3",0,0
