"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",2,"Mccullough",NA,NA,"B","B2",0,0
4,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA01AWAY04",1,2,"Mccullough",NA,NA,"B","B2",3,"Mccullough",NA,NA,"B","B3",0,0
5,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
6,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
7,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
8,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
9,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
10,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA03AWAY03",1,2,NA,NA,NA,"A","A2",2,"Williamson",NA,NA,"B","B2",0,0
11,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA03AWAY04",1,2,"Williamson",NA,NA,"B","B2",3,"Williamson",NA,NA,"B","B3",0,0
12,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA04HOME01",2,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
13,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
14,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA04HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
15,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
16,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA05AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
17,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA05AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
18,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,7
19,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA06HOME02",1,1,NA,NA,NA,"A","A1",1,"Elko",NA,NA,"B","B1",0,7
20,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA06HOME03",1,1,"Elko",NA,NA,"B","B1",1,NA,"Elko",NA,"C","C1",0,7
21,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA06HOME04",1,1,NA,"Elko",NA,"C","C1",1,"Adams","Elko",NA,"E","E1",0,7
22,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA06HOME05",3,1,"Adams","Elko",NA,"E","E1",1,"Servideo",NA,"Adams","F","F1",1,7
23,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA06HOME06",3,1,"Servideo",NA,"Adams","F","F1",1,NA,"Kessinger",NA,"C","C1",2,6
24,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA06HOME08",1,1,NA,"Kessinger",NA,"C","C1",1,"Zabowski","Kessinger",NA,"E","E1",0,4
25,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA06HOME09",3,1,"Zabowski","Kessinger",NA,"E","E1",1,"Dillard","Zabowski",NA,"E","E1",1,4
26,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA06HOME10",3,1,"Dillard","Zabowski",NA,"E","E1",1,"Olenek","Dillard","Zabowski","H","H1",0,3
27,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA06HOME11",4,1,"Olenek","Dillard","Zabowski","H","H1",1,"Keenan",NA,"Olenek","F","F1",2,3
28,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA06HOME12",2,1,"Keenan",NA,"Olenek","F","F1",2,"Keenan",NA,NA,"B","B2",1,1
29,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA06HOME15",1,2,"Keenan",NA,NA,"B","B2",3,"Keenan",NA,NA,"B","B3",0,0
30,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
31,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA07AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
32,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA07AWAY03",1,2,NA,NA,NA,"A","A2",2,NA,"Holcombe",NA,"C","C2",0,0
33,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA07AWAY04",1,2,NA,"Holcombe",NA,"C","C2",3,NA,"Holcombe",NA,"C","C3",0,0
34,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
35,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA08HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
36,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA08HOME03",1,2,NA,NA,NA,"A","A2",2,NA,"Kessinger",NA,"C","C2",0,0
37,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA08HOME04",1,2,NA,"Kessinger",NA,"C","C2",3,NA,"Kessinger",NA,"C","C3",0,0
38,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA09AWAY01",1,0,NA,NA,NA,"A","A0",0,"Williamson",NA,NA,"B","B0",0,0
39,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA09AWAY03",1,0,"Williamson",NA,NA,"B","B0",1,"Robinson",NA,NA,"B","B1",0,0
40,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA09AWAY05",2,1,"Robinson",NA,NA,"B","B1",2,NA,"Robinson",NA,"C","C2",0,0
41,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA09AWAY06",1,2,NA,"Robinson",NA,"C","C2",3,NA,"Robinson",NA,"C","C3",0,0
42,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA10HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,5
43,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA10HOME02",1,1,NA,NA,NA,"A","A1",1,"Olenek",NA,NA,"B","B1",0,5
44,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA10HOME03",2,1,"Olenek",NA,NA,"B","B1",1,"Keenan","Olenek",NA,"E","E1",0,5
45,"ABAM_OMSS_0317201901","ABAM_OMSS_0317201901_PA10HOME04",3,1,"Keenan","Olenek",NA,"E","E1",1,"Johnson","Keenan",NA,"E","E1",1,5
