"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",0,NA,NA,NA,"A","A0",1,2
2,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA01AWAY02",1,0,NA,NA,NA,"A","A0",0,NA,"Kjerstad",NA,"C","C0",0,1
3,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA01AWAY03",1,0,NA,"Kjerstad",NA,"C","C0",0,"Ezell","Kjerstad",NA,"E","E0",0,1
4,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA01AWAY04",3,0,"Ezell","Kjerstad",NA,"E","E0",0,"Fletcher","Ezell","Kjerstad","H","H0",0,1
5,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA01AWAY06",4,0,"Fletcher","Ezell","Kjerstad","H","H0",2,NA,NA,"Ezell","D","D2",1,1
6,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA01AWAY07",1,2,NA,NA,"Ezell","D","D2",2,"Goodheart",NA,"Ezell","F","F2",0,0
7,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA01AWAY08",1,2,"Goodheart",NA,"Ezell","F","F2",3,"Goodheart",NA,"Ezell","F","F3",0,0
8,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",0,"Breaux",NA,NA,"B","B0",0,0
9,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA02HOME02",2,0,"Breaux",NA,NA,"B","B0",1,NA,"Breaux",NA,"C","C1",0,0
10,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA02HOME03",2,1,NA,"Breaux",NA,"C","C1",2,NA,NA,"Breaux","D","D2",0,0
11,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA02HOME04",1,2,NA,NA,"Breaux","D","D2",3,NA,NA,"Breaux","D","D3",0,0
12,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
13,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
14,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA03AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
15,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
16,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",1,"Trousdale",NA,NA,"B","B1",0,0
17,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA04HOME03",1,1,"Trousdale",NA,NA,"B","B1",2,"Auerbach",NA,NA,"B","B2",0,0
18,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA04HOME04",2,2,"Auerbach",NA,NA,"B","B2",2,"Williamson","Auerbach",NA,"E","E2",0,0
19,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA04HOME05",1,2,"Williamson","Auerbach",NA,"E","E2",3,"Williamson","Auerbach",NA,"E","E3",0,0
20,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA05AWAY02",1,0,NA,NA,NA,"A","A0",0,"Kjerstad",NA,NA,"B","B0",0,2
21,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA05AWAY03",2,0,"Kjerstad",NA,NA,"B","B0",0,NA,"Ezell","Kjerstad","G","G0",0,2
22,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA05AWAY04",3,0,NA,"Ezell","Kjerstad","G","G0",1,NA,NA,"Ezell","D","D1",1,2
23,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA05AWAY05",2,1,NA,NA,"Ezell","D","D1",2,NA,NA,NA,"A","A2",1,1
24,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA05AWAY06",1,2,NA,NA,NA,"A","A2",2,"Goodheart",NA,NA,"B","B2",0,0
25,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA05AWAY07",1,2,"Goodheart",NA,NA,"B","B2",2,NA,"Goodheart",NA,"C","C2",0,0
26,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA05AWAY08",1,2,NA,"Goodheart",NA,"C","C2",3,NA,"Goodheart",NA,"C","C3",0,0
27,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
28,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA06HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
29,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA06HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
30,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA07AWAY03",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
31,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA07AWAY04",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
32,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA07AWAY05",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
33,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",0,"Gentry",NA,NA,"B","B0",0,2
34,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA08HOME02",2,0,"Gentry",NA,NA,"B","B0",0,"Reeves",NA,"Gentry","F","F0",0,2
35,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA08HOME03",2,0,"Reeves",NA,"Gentry","F","F0",1,"Reeves",NA,NA,"B","B1",1,2
36,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA08HOME04",1,1,"Reeves",NA,NA,"B","B1",1,NA,NA,"Reeves","D","D1",0,1
37,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA08HOME05",2,1,NA,NA,"Reeves","D","D1",1,"Auerbach",NA,NA,"B","B1",1,1
38,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA08HOME06",1,1,"Auerbach",NA,NA,"B","B1",2,"Auerbach",NA,NA,"B","B2",0,0
39,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA08HOME07",1,2,"Auerbach",NA,NA,"B","B2",3,NA,NA,NA,"A","A3",0,0
40,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA09AWAY01",1,0,NA,NA,NA,"A","A0",0,"Kjerstad",NA,NA,"B","B0",0,4
41,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA09AWAY02",3,0,"Kjerstad",NA,NA,"B","B0",0,NA,NA,"Ezell","D","D0",1,4
42,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA09AWAY03",2,0,NA,NA,"Ezell","D","D0",0,"Fletcher",NA,NA,"B","B0",1,3
43,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA09AWAY04",2,0,"Fletcher",NA,NA,"B","B0",0,"Opitz",NA,"Fletcher","F","F0",0,2
44,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA09AWAY06",3,0,"Opitz",NA,"Fletcher","F","F0",0,NA,"Goodheart","Opitz","G","G0",1,2
45,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA09AWAY07",2,0,NA,"Goodheart","Opitz","G","G0",1,NA,"Goodheart",NA,"C","C1",1,1
46,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA09AWAY08",2,1,NA,"Goodheart",NA,"C","C1",1,"Nesbit",NA,"Goodheart","F","F1",0,0
47,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA09AWAY10",2,1,"Nesbit",NA,"Goodheart","F","F1",2,NA,"Nesbit","Goodheart","G","G2",0,0
48,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA09AWAY11",1,2,NA,"Nesbit","Goodheart","G","G2",3,NA,"Nesbit","Goodheart","G","G3",0,0
49,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA10HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
50,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA10HOME02",1,1,NA,NA,NA,"A","A1",1,"Breaux",NA,NA,"B","B1",0,0
51,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA10HOME03",2,1,"Breaux",NA,NA,"B","B1",1,"Robinson","Breaux",NA,"E","E1",0,0
52,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA10HOME04",1,1,"Robinson","Breaux",NA,"E","E1",2,"Robinson","Breaux",NA,"E","E2",0,0
53,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA10HOME05",1,2,"Robinson","Breaux",NA,"E","E2",3,"Robinson","Breaux",NA,"E","E3",0,0
54,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA11AWAY01",1,0,NA,NA,NA,"A","A0",0,"Kjerstad",NA,NA,"B","B0",0,0
55,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA11AWAY02",1,0,"Kjerstad",NA,NA,"B","B0",1,"Kjerstad",NA,NA,"B","B1",0,0
56,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA11AWAY03",1,1,"Kjerstad",NA,NA,"B","B1",2,"Kjerstad",NA,NA,"B","B2",0,0
57,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA11AWAY04",1,2,"Kjerstad",NA,NA,"B","B2",3,"Kjerstad",NA,NA,"B","B3",0,0
58,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA12HOME02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
59,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA12HOME03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
60,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA12HOME04",1,2,NA,NA,NA,"A","A2",2,"Auerbach",NA,NA,"B","B2",0,0
61,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA12HOME05",2,2,"Auerbach",NA,NA,"B","B2",2,"Williamson","Auerbach",NA,"E","E2",0,0
62,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA12HOME06",1,2,"Williamson","Auerbach",NA,"E","E2",3,"Williamson","Auerbach",NA,"E","E3",0,0
63,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA13AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
64,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA13AWAY02",1,1,NA,NA,NA,"A","A1",1,"Kenley",NA,NA,"B","B1",0,0
65,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA13AWAY03",1,1,"Kenley",NA,NA,"B","B1",2,"Kenley",NA,NA,"B","B2",0,0
66,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA13AWAY04",1,2,"Kenley",NA,NA,"B","B2",2,NA,"Kenley",NA,"C","C2",0,0
67,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA13AWAY05",1,2,NA,"Kenley",NA,"C","C2",3,NA,"Kenley",NA,"C","C3",0,0
68,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA14HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
69,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA14HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
70,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA14HOME03",1,2,NA,NA,NA,"A","A2",2,"Mccullough",NA,NA,"B","B2",0,0
71,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA14HOME04",2,2,"Mccullough",NA,NA,"B","B2",2,"Gentry",NA,"Mccullough","F","F2",0,0
72,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA14HOME05",2,2,"Gentry",NA,"Mccullough","F","F2",2,"Reeves","Gentry","Mccullough","H","H2",0,0
73,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA14HOME07",1,2,"Reeves","Gentry","Mccullough","H","H2",3,"Reeves","Gentry","Mccullough","H","H3",0,0
74,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA15AWAY02",1,0,NA,NA,NA,"A","A0",0,"Martin",NA,NA,"B","B0",0,2
75,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA15AWAY03",1,0,"Martin",NA,NA,"B","B0",1,"Martin",NA,NA,"B","B1",0,2
76,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA15AWAY04",1,1,"Martin",NA,NA,"B","B1",1,NA,NA,"Martin","D","D1",0,2
77,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA15AWAY05",1,1,NA,NA,"Martin","D","D1",1,NA,NA,NA,"A","A1",1,2
78,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA15AWAY06",2,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,1
79,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA15AWAY07",1,2,NA,NA,NA,"A","A2",2,NA,NA,NA,"A","A2",1,1
80,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA15AWAY08",1,2,NA,NA,NA,"A","A2",2,"Opitz",NA,NA,"B","B2",0,0
81,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA15AWAY09",2,2,"Opitz",NA,NA,"B","B2",2,"Goodheart","Opitz",NA,"E","E2",0,0
82,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA15AWAY10",1,2,"Goodheart","Opitz",NA,"E","E2",3,"Goodheart","Opitz",NA,"E","E3",0,0
83,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA16HOME01",2,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
84,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA16HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
85,"ARKS_ABAM_0324201901","ARKS_ABAM_0324201901_PA16HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
