GameID,PlateAppID,HomeAway,RunnerName,Hole,Action,StartBase,EndBase,BasesAdded,SB,SBA,OutsAdded,Fielder1,Fielder2,RunsAdded,PO,POA,WP,PB,AOE
ARKS_AUBN_0406201901,ARKS_AUBN_0406201901_PA02HOME02,home,Ward,1,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
ARKS_AUBN_0406201901,ARKS_AUBN_0406201901_PA02HOME03,home,Ward,1,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
ARKS_AUBN_0406201901,ARKS_AUBN_0406201901_PA03AWAY04,away,Goodheart,5,out,1,0,-1,0,1,1,p,2b,0,0,0,0,0,0
ARKS_AUBN_0406201901,ARKS_AUBN_0406201901_PA05AWAY03,away,Opitz,8,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
ARKS_AUBN_0406201901,ARKS_AUBN_0406201901_PA05AWAY04,away,Franklin,9,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
ARKS_AUBN_0406201901,ARKS_AUBN_0406201901_PA05AWAY05,away,Kjerstad,2,out,1,0,-1,0,0,1,rf,1b,0,0,0,0,0,0
ARKS_AUBN_0406201901,ARKS_AUBN_0406201901_PA05AWAY05,away,Ezell,1,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
ARKS_AUBN_0406201901,ARKS_AUBN_0406201901_PA05AWAY05,away,Franklin,9,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
ARKS_AUBN_0406201901,ARKS_AUBN_0406201901_PA05AWAY05,away,Opitz,8,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
ARKS_AUBN_0406201901,ARKS_AUBN_0406201901_PA07AWAY01,away,Fletcher,4,out,0,0,0,0,0,1,2b,p ,0,0,0,0,0,0
ARKS_AUBN_0406201901,ARKS_AUBN_0406201901_PA09AWAY02,away,Nesbit,7,out,1,0,-1,0,0,1,2b,ss,0,0,0,0,0,0
ARKS_AUBN_0406201901,ARKS_AUBN_0406201901_PA09AWAY03,away,Opitz,8,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
ARKS_AUBN_0406201901,ARKS_AUBN_0406201901_PA09AWAY04,away,Franklin,9,scored,1,4,3,0,0,0,NA,NA,1,0,0,0,0,0
