"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"ARKS_AUBN_0406201901","ARKS_AUBN_0406201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"ARKS_AUBN_0406201901","ARKS_AUBN_0406201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"ARKS_AUBN_0406201901","ARKS_AUBN_0406201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
4,"ARKS_AUBN_0406201901","ARKS_AUBN_0406201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",0,"Ward",NA,NA,"B","B0",0,0
5,"ARKS_AUBN_0406201901","ARKS_AUBN_0406201901_PA02HOME02",2,0,"Ward",NA,NA,"B","B0",1,NA,"Ward",NA,"C","C1",0,0
6,"ARKS_AUBN_0406201901","ARKS_AUBN_0406201901_PA02HOME03",2,1,NA,"Ward",NA,"C","C1",2,NA,NA,"Ward","D","D2",0,0
7,"ARKS_AUBN_0406201901","ARKS_AUBN_0406201901_PA02HOME04",1,2,NA,NA,"Ward","D","D2",2,"Julien",NA,"Ward","F","F2",0,0
8,"ARKS_AUBN_0406201901","ARKS_AUBN_0406201901_PA02HOME05",1,2,"Julien",NA,"Ward","F","F2",3,"Julien",NA,"Ward","F","F3",0,0
9,"ARKS_AUBN_0406201901","ARKS_AUBN_0406201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
10,"ARKS_AUBN_0406201901","ARKS_AUBN_0406201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",1,"Goodheart",NA,NA,"B","B1",0,0
11,"ARKS_AUBN_0406201901","ARKS_AUBN_0406201901_PA03AWAY03",1,1,"Goodheart",NA,NA,"B","B1",2,"Goodheart",NA,NA,"B","B2",0,0
12,"ARKS_AUBN_0406201901","ARKS_AUBN_0406201901_PA03AWAY04",1,2,"Goodheart",NA,NA,"B","B2",3,NA,NA,NA,"A","A3",0,0
13,"ARKS_AUBN_0406201901","ARKS_AUBN_0406201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
14,"ARKS_AUBN_0406201901","ARKS_AUBN_0406201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",1,"Holland",NA,NA,"B","B1",0,0
15,"ARKS_AUBN_0406201901","ARKS_AUBN_0406201901_PA04HOME03",1,1,"Holland",NA,NA,"B","B1",2,"Holland",NA,NA,"B","B2",0,0
16,"ARKS_AUBN_0406201901","ARKS_AUBN_0406201901_PA04HOME04",1,2,"Holland",NA,NA,"B","B2",3,"Holland",NA,NA,"B","B3",0,0
17,"ARKS_AUBN_0406201901","ARKS_AUBN_0406201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,2
18,"ARKS_AUBN_0406201901","ARKS_AUBN_0406201901_PA05AWAY02",1,1,NA,NA,NA,"A","A1",1,"Opitz",NA,NA,"B","B1",0,2
19,"ARKS_AUBN_0406201901","ARKS_AUBN_0406201901_PA05AWAY03",2,1,"Opitz",NA,NA,"B","B1",1,"Franklin",NA,"Opitz","F","F1",0,2
20,"ARKS_AUBN_0406201901","ARKS_AUBN_0406201901_PA05AWAY04",2,1,"Franklin",NA,"Opitz","F","F1",1,"Ezell","Franklin","Opitz","H","H1",0,2
