"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"ARKS_KENT_0505201901","ARKS_KENT_0505201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",0,"Ezell",NA,NA,"B","B0",0,0
2,"ARKS_KENT_0505201901","ARKS_KENT_0505201901_PA01AWAY02",1,0,"Ezell",NA,NA,"B","B0",1,"Ezell",NA,NA,"B","B1",0,0
3,"ARKS_KENT_0505201901","ARKS_KENT_0505201901_PA01AWAY03",1,1,"Ezell",NA,NA,"B","B1",1,NA,"Ezell",NA,"C","C1",0,0
4,"ARKS_KENT_0505201901","ARKS_KENT_0505201901_PA01AWAY04",1,1,NA,"Ezell",NA,"C","C1",2,NA,"Ezell",NA,"C","C2",0,0
5,"ARKS_KENT_0505201901","ARKS_KENT_0505201901_PA01AWAY05",1,2,NA,"Ezell",NA,"C","C2",3,NA,"Ezell",NA,"C","C3",0,0
6,"ARKS_KENT_0505201901","ARKS_KENT_0505201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",0,"Johnson",NA,NA,"B","B0",0,0
7,"ARKS_KENT_0505201901","ARKS_KENT_0505201901_PA02HOME02",1,0,"Johnson",NA,NA,"B","B0",1,"Johnson",NA,NA,"B","B1",0,0
8,"ARKS_KENT_0505201901","ARKS_KENT_0505201901_PA02HOME03",1,1,"Johnson",NA,NA,"B","B1",2,"Johnson",NA,NA,"B","B2",0,0
9,"ARKS_KENT_0505201901","ARKS_KENT_0505201901_PA02HOME04",1,2,"Johnson",NA,NA,"B","B2",3,NA,NA,NA,"A","A3",0,0
10,"ARKS_KENT_0505201901","ARKS_KENT_0505201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",0,"Kjerstad",NA,NA,"B","B0",0,0
