"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA01AWAY01",2,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
3,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA01AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
4,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
5,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",1,"Blaum",NA,NA,"B","B1",0,0
6,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA02HOME03",2,1,"Blaum",NA,NA,"B","B1",3,NA,NA,NA,"A","A3",0,0
7,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
8,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
9,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA03AWAY03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
10,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
11,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA04HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
12,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA04HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
13,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA05AWAY01",1,0,NA,NA,NA,"A","A0",0,NA,"Franklin",NA,"C","C0",0,3
14,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA05AWAY02",2,0,NA,"Franklin",NA,"C","C0",0,"Opitz",NA,"Franklin","F","F0",0,3
15,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA05AWAY03",1,0,"Opitz",NA,"Franklin","F","F0",1,"Opitz",NA,"Franklin","F","F1",0,3
16,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA05AWAY04",3,1,"Opitz",NA,"Franklin","F","F1",1,NA,NA,NA,"A","A1",3,3
17,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA05AWAY05",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
18,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA05AWAY06",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
19,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA06HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
20,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA06HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
21,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA06HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
22,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA07AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
23,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA07AWAY02",1,1,NA,NA,NA,"A","A1",1,"Kjerstad",NA,NA,"B","B1",0,0
24,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA07AWAY03",1,1,"Kjerstad",NA,NA,"B","B1",2,"Kjerstad",NA,NA,"B","B2",0,0
25,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA07AWAY04",2,2,"Kjerstad",NA,NA,"B","B2",2,"Franklin","Kjerstad",NA,"E","E2",0,0
26,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA07AWAY05",1,2,"Franklin","Kjerstad",NA,"E","E2",3,"Franklin","Kjerstad",NA,"E","E3",0,0
27,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA08HOME01",1,0,NA,NA,NA,"A","A0",0,"Shewmake",NA,NA,"B","B0",0,2
28,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA08HOME02",3,0,"Shewmake",NA,NA,"B","B0",0,NA,"Blaum","Shewmake","G","G0",0,2
29,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA08HOME03",1,0,NA,"Blaum","Shewmake","G","G0",1,NA,"Blaum","Shewmake","G","G1",0,2
30,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA08HOME04",3,1,NA,"Blaum","Shewmake","G","G1",1,"Blake",NA,"Blaum","F","F1",1,2
31,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA08HOME05",2,1,"Blake",NA,"Blaum","F","F1",1,NA,"Blake",NA,"C","C1",1,1
32,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA08HOME06",1,1,NA,"Blake",NA,"C","C1",2,NA,NA,NA,"A","A2",0,0
33,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA08HOME07",1,2,NA,NA,NA,"A","A2",2,"Hoehner",NA,NA,"B","B2",0,0
34,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA08HOME08",1,2,"Hoehner",NA,NA,"B","B2",3,"Hoehner",NA,NA,"B","B3",0,0
35,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA09AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,2
36,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA09AWAY02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,2
37,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA09AWAY03",1,2,NA,NA,NA,"A","A2",2,NA,NA,NA,"A","A2",1,2
38,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA09AWAY04",1,2,NA,NA,NA,"A","A2",2,NA,NA,NA,"A","A2",1,1
39,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA09AWAY05",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
40,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA10HOME01",1,0,NA,NA,NA,"A","A0",0,"Coleman",NA,NA,"B","B0",0,0
41,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA10HOME02",1,0,"Coleman",NA,NA,"B","B0",1,"Coleman",NA,NA,"B","B1",0,0
42,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA10HOME03",1,1,"Coleman",NA,NA,"B","B1",2,"Coleman",NA,NA,"B","B2",0,0
43,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA10HOME04",1,2,"Coleman",NA,NA,"B","B2",3,"Coleman",NA,NA,"B","B3",0,0
44,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA11AWAY03",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
45,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA11AWAY04",1,1,NA,NA,NA,"A","A1",1,NA,NA,NA,"A","A1",1,1
46,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA11AWAY05",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
47,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA11AWAY06",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
48,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA12HOME01",1,0,NA,NA,NA,"A","A0",0,"Blaum",NA,NA,"B","B0",0,0
49,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA12HOME02",2,0,"Blaum",NA,NA,"B","B0",1,NA,"Blaum",NA,"C","C1",0,0
50,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA12HOME03",2,1,NA,"Blaum",NA,"C","C1",2,NA,NA,"Blaum","D","D2",0,0
51,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA12HOME04",1,2,NA,NA,"Blaum","D","D2",3,NA,NA,"Blaum","D","D3",0,0
52,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA13AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
53,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA13AWAY02",1,1,NA,NA,NA,"A","A1",1,NA,"Ezell",NA,"C","C1",0,0
54,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA13AWAY03",1,1,NA,"Ezell",NA,"C","C1",2,NA,"Ezell",NA,"C","C2",0,0
55,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA13AWAY04",1,2,NA,"Ezell",NA,"C","C2",2,"Goodheart","Ezell",NA,"E","E2",0,0
56,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA13AWAY05",1,2,"Goodheart","Ezell",NA,"E","E2",3,"Goodheart","Ezell",NA,"E","E3",0,0
57,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA14HOME02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
58,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA14HOME03",1,1,NA,NA,NA,"A","A1",1,NA,"Coleman",NA,"C","C1",0,0
59,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA14HOME04",1,1,NA,"Coleman",NA,"C","C1",2,NA,"Coleman",NA,"C","C2",0,0
60,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA14HOME05",1,2,NA,"Coleman",NA,"C","C2",3,NA,"Coleman",NA,"C","C3",0,0
61,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA15AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
62,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA15AWAY02",1,1,NA,NA,NA,"A","A1",1,NA,"Kenley",NA,"C","C1",0,0
63,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA15AWAY04",1,1,NA,"Kenley",NA,"C","C1",2,NA,"Kenley",NA,"C","C2",0,0
64,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA15AWAY05",1,2,NA,"Kenley",NA,"C","C2",3,NA,"Kenley",NA,"C","C3",0,0
65,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA16HOME01",1,0,NA,NA,NA,"A","A0",0,NA,"Shewmake",NA,"C","C0",0,1
66,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA16HOME02",2,0,NA,"Shewmake",NA,"C","C0",1,NA,NA,"Shewmake","D","D1",0,1
67,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA16HOME03",2,1,NA,NA,"Shewmake","D","D1",1,"Deloach",NA,NA,"B","B1",1,1
68,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA16HOME05",2,1,"Deloach",NA,NA,"B","B1",1,"Blake","Deloach",NA,"E","E1",0,0
69,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA16HOME06",2,1,"Blake","Deloach",NA,"E","E1",2,"Blake",NA,"Deloach","F","F2",0,0
70,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA16HOME07",1,2,"Blake",NA,"Deloach","F","F2",3,"Blake",NA,"Deloach","F","F3",0,0
71,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA17AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
72,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA17AWAY03",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,1
73,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA17AWAY04",1,2,NA,NA,NA,"A","A2",2,NA,NA,NA,"A","A2",1,1
74,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA17AWAY05",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
75,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA18HOME02",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
76,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA18HOME03",1,1,NA,NA,NA,"A","A1",1,"Foster",NA,NA,"B","B1",0,0
77,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA18HOME04",1,1,"Foster",NA,NA,"B","B1",2,"Foster",NA,NA,"B","B2",0,0
78,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA18HOME05",1,2,"Foster",NA,NA,"B","B2",2,NA,"Foster",NA,"C","C2",0,0
79,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA18HOME06",1,2,NA,"Foster",NA,"C","C2",2,"Shewmake","Foster",NA,"E","E2",0,0
80,"ARKS_TXAM_0516201901","ARKS_TXAM_0516201901_PA18HOME07",1,2,"Shewmake","Foster",NA,"E","E2",3,"Shewmake","Foster",NA,"E","E3",0,0
