"Sequence","GameID","PlateAppID","NumComponents","startOuts","startOnFirst","startOnSecond","startOnThird","startBaseState","startBaseOutState","endOuts","endOnFirst","endOnSecond","endOnThird","endBaseState","FinalBaseOutState","TotalRPrime","R"
1,"AUBN_LSTU_0516201901","AUBN_LSTU_0516201901_PA01AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
2,"AUBN_LSTU_0516201901","AUBN_LSTU_0516201901_PA01AWAY02",1,1,NA,NA,NA,"A","A1",1,"Bliss",NA,NA,"B","B1",0,0
3,"AUBN_LSTU_0516201901","AUBN_LSTU_0516201901_PA01AWAY03",1,1,"Bliss",NA,NA,"B","B1",1,NA,"Bliss",NA,"C","C1",0,0
4,"AUBN_LSTU_0516201901","AUBN_LSTU_0516201901_PA01AWAY04",1,1,NA,"Bliss",NA,"C","C1",1,"Davis","Bliss",NA,"E","E1",0,0
5,"AUBN_LSTU_0516201901","AUBN_LSTU_0516201901_PA01AWAY05",1,1,"Davis","Bliss",NA,"E","E1",2,"Davis","Bliss",NA,"E","E2",0,0
6,"AUBN_LSTU_0516201901","AUBN_LSTU_0516201901_PA01AWAY06",1,2,"Davis","Bliss",NA,"E","E2",3,"Davis","Bliss",NA,"E","E3",0,0
7,"AUBN_LSTU_0516201901","AUBN_LSTU_0516201901_PA02HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
8,"AUBN_LSTU_0516201901","AUBN_LSTU_0516201901_PA02HOME02",1,1,NA,NA,NA,"A","A1",2,NA,NA,NA,"A","A2",0,0
9,"AUBN_LSTU_0516201901","AUBN_LSTU_0516201901_PA02HOME03",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
10,"AUBN_LSTU_0516201901","AUBN_LSTU_0516201901_PA03AWAY01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,1
11,"AUBN_LSTU_0516201901","AUBN_LSTU_0516201901_PA03AWAY02",1,1,NA,NA,NA,"A","A1",1,NA,NA,"Williams","D","D1",0,1
12,"AUBN_LSTU_0516201901","AUBN_LSTU_0516201901_PA03AWAY03",2,1,NA,NA,"Williams","D","D1",2,NA,NA,NA,"A","A2",1,1
13,"AUBN_LSTU_0516201901","AUBN_LSTU_0516201901_PA03AWAY04",1,2,NA,NA,NA,"A","A2",3,NA,NA,NA,"A","A3",0,0
14,"AUBN_LSTU_0516201901","AUBN_LSTU_0516201901_PA04HOME01",1,0,NA,NA,NA,"A","A0",1,NA,NA,NA,"A","A1",0,0
